model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-23T18:03:42.107838

Build Times
provider,build_time_s
torchinferno,331.2
vllm,1289.8
sglang,202.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,291.04,173.97,141.79,sglang
ttft_p99_ms,2072.31,495.71,6778.32,vllm
tpot_median_ms,156.32,65.90,77.02,vllm
tpot_p99_ms,222.92,156.51,7426.37,vllm
e2e_median_ms,391.85,228.40,214.08,sglang
e2e_p99_ms,2269.58,605.51,14174.37,vllm
throughput_median_tps,3.84,6.25,5.42,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,290.39,184.22,196.49,vllm
ttft_p99_ms,1808.26,412.14,71202.46,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,319.48,204.31,328.74,vllm
e2e_p99_ms,1852.18,454.95,71330.53,vllm
throughput_median_tps,3.13,4.89,3.04,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,785.30,173.79,156.83,sglang
ttft_p99_ms,2258.89,312.11,817.97,vllm
tpot_median_ms,153.37,47.12,102.64,vllm
tpot_p99_ms,534.88,177.19,272.93,vllm
e2e_median_ms,903.67,219.79,259.32,vllm
e2e_p99_ms,2383.09,405.78,851.29,vllm
throughput_median_tps,1.43,6.44,5.04,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1114.12,148.29,108.11,sglang
ttft_last_turn_ms,571.00,158.43,188.73,vllm
ttft_growth_ratio,0.51,1.07,1.75,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,310.96,59.32,76.31,vllm
ttft_p99_ms,1657.10,116.61,705.47,vllm
tpot_median_ms,132.94,27.18,49.52,vllm
tpot_p99_ms,155.40,46.93,149.93,vllm
e2e_median_ms,408.80,79.81,136.41,vllm
e2e_p99_ms,1759.60,151.48,738.39,vllm
throughput_median_tps,3.63,15.38,10.30,vllm
total_output_tokens,1465,1474,1491,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,888.13,67.93,66.41,sglang
ttft_p99_ms,2432.35,120.14,107.03,sglang
tpot_median_ms,16.61,15.08,22.62,vllm
tpot_p99_ms,51.99,18.67,27.10,vllm
e2e_median_ms,1607.42,613.40,829.92,vllm
e2e_p99_ms,3791.74,1025.40,1581.78,vllm
throughput_median_tps,20.90,59.03,41.61,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,894.47,263.31,1157.79,2,1.73,1
torchinferno,few_shot,1,2061.95,0.00,2153.90,1,0.46,1
torchinferno,few_shot,2,2080.26,0.00,2158.02,1,0.46,1
torchinferno,few_shot,3,2069.80,0.00,2158.62,1,0.46,1
torchinferno,few_shot,4,2061.39,0.00,2160.55,1,0.46,1
torchinferno,few_shot,5,2069.87,0.00,2161.59,1,0.46,1
torchinferno,few_shot,6,2065.14,0.00,2161.51,1,0.46,1
torchinferno,few_shot,7,2069.49,0.00,2168.17,1,0.46,1
torchinferno,few_shot,8,2061.50,0.00,2165.63,1,0.46,1
torchinferno,few_shot,9,2075.16,0.00,2166.14,1,0.46,1
torchinferno,few_shot,10,2063.73,0.00,2165.42,1,0.46,1
torchinferno,few_shot,11,2058.85,0.00,2164.66,1,0.46,1
torchinferno,few_shot,12,2063.30,0.00,2175.09,1,0.46,1
torchinferno,few_shot,13,2056.17,0.00,2169.32,1,0.46,1
torchinferno,few_shot,14,2066.69,0.00,2172.32,1,0.46,1
torchinferno,few_shot,15,2073.10,0.00,2178.06,1,0.46,1
torchinferno,few_shot,16,2061.56,0.00,2179.21,1,0.46,1
torchinferno,few_shot,17,2057.87,0.00,2182.05,1,0.46,1
torchinferno,few_shot,18,2068.83,0.00,2182.21,1,0.46,1
torchinferno,few_shot,19,2061.23,0.00,2190.42,1,0.46,1
torchinferno,few_shot,20,919.13,0.00,1035.84,1,0.97,1
torchinferno,few_shot,21,2069.12,0.00,2185.63,1,0.46,1
torchinferno,few_shot,22,2074.96,0.00,2196.91,1,0.46,1
torchinferno,few_shot,23,2067.58,0.00,2190.31,1,0.46,1
torchinferno,few_shot,24,2063.71,0.00,2191.39,1,0.46,1
torchinferno,few_shot,25,2059.98,0.00,2192.37,1,0.46,1
torchinferno,few_shot,26,2076.62,0.00,2200.61,1,0.45,1
torchinferno,few_shot,27,2068.04,0.00,2202.73,1,0.45,1
torchinferno,few_shot,28,2065.66,0.00,2200.41,1,0.45,1
torchinferno,few_shot,29,2064.24,0.00,2199.44,1,0.45,1
torchinferno,few_shot,30,2058.45,0.00,2199.48,1,0.45,1
torchinferno,few_shot,31,2061.09,0.00,2203.50,1,0.45,1
torchinferno,few_shot,32,2076.16,0.00,2224.35,1,0.45,1
torchinferno,few_shot,33,2068.30,0.00,2224.11,1,0.45,1
torchinferno,few_shot,34,2071.23,164.89,2236.12,2,0.89,1
torchinferno,few_shot,35,2062.88,179.58,2242.47,2,0.89,1
torchinferno,few_shot,36,2059.92,184.53,2244.46,2,0.89,1
torchinferno,few_shot,37,2071.35,170.42,2241.77,2,0.89,1
torchinferno,few_shot,38,2063.51,178.32,2241.83,2,0.89,1
torchinferno,few_shot,39,2066.78,180.82,2247.59,2,0.89,1
torchinferno,few_shot,40,2060.46,188.77,2249.23,2,0.89,1
torchinferno,few_shot,41,2060.35,185.61,2245.96,2,0.89,1
torchinferno,few_shot,42,2063.60,191.46,2255.06,2,0.89,1
torchinferno,few_shot,43,2066.63,183.57,2250.20,2,0.89,1
torchinferno,few_shot,44,2063.39,187.65,2251.03,2,0.89,1
torchinferno,few_shot,45,2058.96,197.19,2256.15,2,0.89,1
