model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-17T20:09:28.285094

Build Times
provider,build_time_s
torchinferno,409.3
vllm,1089.1
sglang,166.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,288.93,160.06,140.21,sglang
ttft_p99_ms,1394.44,921.66,6554.03,vllm
tpot_median_ms,149.59,57.14,74.74,vllm
tpot_p99_ms,206.30,147.21,7307.92,vllm
e2e_median_ms,392.74,214.89,206.77,sglang
e2e_p99_ms,1572.78,958.71,13829.46,vllm
throughput_median_tps,3.93,7.12,5.83,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,284.59,199.59,205.62,vllm
ttft_p99_ms,1450.03,468.39,70095.73,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,308.16,219.15,341.97,vllm
e2e_p99_ms,1528.59,478.35,70210.82,vllm
throughput_median_tps,3.25,4.56,2.92,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,529.95,170.88,153.92,sglang
ttft_p99_ms,1342.32,339.22,275.98,sglang
tpot_median_ms,118.62,59.40,101.77,vllm
tpot_p99_ms,413.93,188.25,509.18,vllm
e2e_median_ms,626.66,226.21,249.76,vllm
e2e_p99_ms,1468.66,426.61,697.05,vllm
throughput_median_tps,2.03,6.35,5.26,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,718.84,142.01,112.34,sglang
ttft_last_turn_ms,504.61,168.89,183.56,vllm
ttft_growth_ratio,0.70,1.19,1.63,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,364.18,57.82,72.30,vllm
ttft_p99_ms,903.54,120.17,467.08,vllm
tpot_median_ms,127.60,27.34,67.86,vllm
tpot_p99_ms,158.01,55.88,169.73,vllm
e2e_median_ms,462.16,78.62,154.74,vllm
e2e_p99_ms,1030.43,158.60,520.15,vllm
throughput_median_tps,2.88,15.56,9.36,vllm
total_output_tokens,1472,1454,1463,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,68.88,63.49,sglang
ttft_p99_ms,,133.51,106.26,sglang
tpot_median_ms,,15.17,22.55,vllm
tpot_p99_ms,,20.02,27.78,vllm
e2e_median_ms,,621.98,843.50,vllm
e2e_p99_ms,,1019.45,1585.10,vllm
throughput_median_tps,,58.53,42.11,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,752.02,195.33,947.35,2,2.11,1
torchinferno,few_shot,1,1391.08,0.00,1466.66,1,0.68,1
torchinferno,few_shot,2,1382.44,0.00,1467.14,1,0.68,1
torchinferno,few_shot,3,1394.36,0.00,1469.89,1,0.68,1
torchinferno,few_shot,4,1381.35,0.00,1471.14,1,0.68,1
torchinferno,few_shot,5,1380.78,0.00,1471.74,1,0.68,1
torchinferno,few_shot,6,1381.84,0.00,1476.77,1,0.68,1
torchinferno,few_shot,7,1394.21,0.00,1486.20,1,0.67,1
torchinferno,few_shot,8,1385.00,0.00,1486.81,1,0.67,1
torchinferno,few_shot,9,1391.21,0.00,1487.78,1,0.67,1
torchinferno,few_shot,10,1387.28,0.00,1486.42,1,0.67,1
torchinferno,few_shot,11,1391.01,0.00,1492.93,1,0.67,1
torchinferno,few_shot,12,1387.93,0.00,1486.86,1,0.67,1
torchinferno,few_shot,13,1384.76,0.00,1488.53,1,0.67,1
torchinferno,few_shot,14,1394.44,0.00,1493.77,1,0.67,1
torchinferno,few_shot,15,1379.27,0.00,1496.49,1,0.67,1
torchinferno,few_shot,16,1392.43,0.00,1494.39,1,0.67,1
torchinferno,few_shot,17,1381.08,0.00,1496.43,1,0.67,1
torchinferno,few_shot,18,1380.05,0.00,1502.65,1,0.67,1
torchinferno,few_shot,19,1386.56,0.00,1502.55,1,0.67,1
torchinferno,few_shot,20,1395.09,0.00,1505.56,1,0.66,1
torchinferno,few_shot,21,1390.51,0.00,1507.79,1,0.66,1
torchinferno,few_shot,22,1398.44,0.00,1512.12,1,0.66,1
torchinferno,few_shot,23,1398.01,0.00,1512.26,1,0.66,1
torchinferno,few_shot,24,1398.61,0.00,1513.30,1,0.66,1
torchinferno,few_shot,25,1384.33,0.00,1519.62,1,0.66,1
torchinferno,few_shot,26,1390.60,0.00,1515.31,1,0.66,1
torchinferno,few_shot,27,1381.34,0.00,1519.21,1,0.66,1
torchinferno,few_shot,28,449.97,0.00,577.29,1,1.73,1
torchinferno,few_shot,29,1381.70,0.00,1520.12,1,0.66,1
torchinferno,few_shot,30,1388.21,0.00,1522.76,1,0.66,1
torchinferno,few_shot,31,1394.89,0.00,1527.77,1,0.65,1
torchinferno,few_shot,32,1381.49,0.00,1531.04,1,0.65,1
torchinferno,few_shot,33,1381.26,0.00,1526.62,1,0.66,1
torchinferno,few_shot,34,1385.94,153.53,1539.47,2,1.30,1
torchinferno,few_shot,35,1382.83,153.76,1536.59,2,1.30,1
torchinferno,few_shot,36,1396.16,143.50,1539.65,2,1.30,1
torchinferno,few_shot,37,1387.73,152.17,1539.90,2,1.30,1
torchinferno,few_shot,38,1401.84,146.76,1548.60,2,1.29,1
torchinferno,few_shot,39,1375.93,168.87,1544.80,2,1.29,1
torchinferno,few_shot,40,1390.77,154.49,1545.26,2,1.29,1
torchinferno,few_shot,41,1386.82,169.60,1556.42,2,1.28,1
torchinferno,few_shot,42,1395.33,159.56,1554.89,2,1.29,1
torchinferno,few_shot,43,1392.26,162.53,1554.79,2,1.29,1
torchinferno,few_shot,44,1381.36,176.62,1557.99,2,1.28,1
torchinferno,few_shot,45,1385.48,167.17,1552.65,2,1.29,1
torchinferno,few_shot,46,1388.42,167.35,1555.77,2,1.29,1
torchinferno,few_shot,47,1382.08,180.32,1562.40,2,1.28,1
torchinferno,few_shot,48,1383.59,179.91,1563.49,2,1.28,1
torchinferno,few_shot,49,1391.86,177.07,1568.93,2,1.27,1
torchinferno,few_shot,50,1393.37,171.20,1564.56,2,1.28,1
torchinferno,few_shot,51,1376.21,184.65,1560.86,2,1.28,1
torchinferno,few_shot,52,1382.12,189.39,1571.51,2,1.27,1
torchinferno,few_shot,53,1394.86,171.08,1565.94,2,1.28,1
torchinferno,few_shot,54,1394.05,172.01,1566.06,2,1.28,1
torchinferno,few_shot,55,1379.70,193.26,1572.96,2,1.27,1
torchinferno,few_shot,56,1392.88,180.96,1573.84,2,1.27,1
torchinferno,few_shot,57,1381.01,191.77,1572.78,2,1.27,1
torchinferno,few_shot,58,1392.89,190.52,1583.41,2,1.26,1
torchinferno,few_shot,59,1387.43,197.84,1585.27,2,1.26,1
torchinferno,few_shot,60,1377.43,205.54,1582.97,2,1.26,1
torchinferno,few_shot,61,1381.00,207.96,1588.96,2,1.26,1
torchinferno,few_shot,62,1387.51,207.73,1595.24,2,1.25,1
torchinferno,few_shot,63,1392.36,202.63,1594.99,2,1.25,1
torchinferno,few_shot,64,1384.28,214.09,1598.36,2,1.25,1
torchinferno,few_shot,65,192.95,0.00,254.49,1,3.93,1
torchinferno,few_shot,66,180.71,0.00,244.52,1,4.09,1
torchinferno,few_shot,67,154.55,0.00,218.37,1,4.58,1
torchinferno,few_shot,68,195.41,0.00,260.92,1,3.83,1
torchinferno,few_shot,69,192.22,0.00,258.24,1,3.87,1
torchinferno,few_shot,70,178.80,0.00,248.36,1,4.03,1
torchinferno,few_shot,71,171.12,124.41,295.53,2,6.77,1
torchinferno,few_shot,72,184.73,125.96,310.69,2,6.44,1
torchinferno,few_shot,73,223.66,0.00,273.28,1,3.66,1
torchinferno,few_shot,74,474.14,0.00,531.48,1,1.88,1
torchinferno,few_shot,75,378.61,0.00,446.90,1,2.24,1
torchinferno,few_shot,76,471.77,0.00,537.59,1,1.86,1
torchinferno,few_shot,77,395.16,0.00,461.83,1,2.17,1
torchinferno,few_shot,78,211.72,0.00,285.66,1,3.50,1
torchinferno,few_shot,79,368.16,0.00,445.58,1,2.24,1
torchinferno,few_shot,80,418.16,0.00,496.22,1,2.02,1
torchinferno,few_shot,81,434.62,0.00,522.46,1,1.91,1
torchinferno,few_shot,82,453.39,0.00,522.57,1,1.91,1
torchinferno,few_shot,83,227.68,0.00,296.82,1,3.37,1
torchinferno,few_shot,84,437.90,0.00,524.56,1,1.91,1
torchinferno,few_shot,85,430.76,0.00,515.07,1,1.94,1
torchinferno,few_shot,86,420.86,0.00,502.18,1,1.99,1
torchinferno,few_shot,87,451.56,0.00,542.05,1,1.84,1
torchinferno,few_shot,88,417.81,0.00,512.76,1,1.95,1
torchinferno,few_shot,89,394.67,0.00,475.04,1,2.11,1
