model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-18T19:09:32.490456

Build Times
provider,build_time_s
torchinferno,263.4
vllm,1079.1
sglang,167.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,249.95,159.15,141.32,sglang
ttft_p99_ms,1462.26,542.33,4084.27,vllm
tpot_median_ms,148.27,56.04,72.27,vllm
tpot_p99_ms,203.81,138.19,7305.95,vllm
e2e_median_ms,355.94,215.43,208.18,sglang
e2e_p99_ms,1652.57,577.06,11362.72,vllm
throughput_median_tps,4.23,6.60,5.84,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,268.84,168.71,202.86,vllm
ttft_p99_ms,1588.82,427.70,70358.40,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,297.27,190.63,338.25,vllm
e2e_p99_ms,1676.64,453.72,70438.66,vllm
throughput_median_tps,3.36,5.25,2.96,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,530.62,175.87,160.19,sglang
ttft_p99_ms,1672.91,337.96,755.34,vllm
tpot_median_ms,111.71,59.35,99.82,vllm
tpot_p99_ms,518.66,193.55,213.69,vllm
e2e_median_ms,611.16,227.00,260.77,vllm
e2e_p99_ms,1900.58,439.07,823.47,vllm
throughput_median_tps,2.08,6.22,5.26,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,874.89,141.34,111.20,sglang
ttft_last_turn_ms,509.34,168.82,189.28,vllm
ttft_growth_ratio,0.58,1.19,1.70,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,338.68,58.30,72.59,vllm
ttft_p99_ms,894.33,120.28,506.13,vllm
tpot_median_ms,130.11,26.75,57.35,vllm
tpot_p99_ms,148.03,96.48,154.58,vllm
e2e_median_ms,436.39,79.43,138.30,vllm
e2e_p99_ms,1012.62,165.79,550.63,vllm
throughput_median_tps,2.84,15.37,10.32,vllm
total_output_tokens,1472,1451,1456,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,732.94,70.96,64.71,sglang
ttft_p99_ms,2350.26,189.06,120.63,sglang
tpot_median_ms,16.54,14.97,22.41,vllm
tpot_p99_ms,33.29,22.65,27.00,vllm
e2e_median_ms,1290.02,609.73,834.56,vllm
e2e_p99_ms,3102.26,1015.26,1570.40,vllm
throughput_median_tps,26.55,58.93,42.05,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,759.82,0.00,943.47,1,1.06,1
torchinferno,few_shot,1,1465.17,0.00,1541.42,1,0.65,1
torchinferno,few_shot,2,1455.69,0.00,1543.50,1,0.65,1
torchinferno,few_shot,3,1447.94,0.00,1539.04,1,0.65,1
torchinferno,few_shot,4,1450.01,0.00,1541.37,1,0.65,1
torchinferno,few_shot,5,1457.90,0.00,1544.05,1,0.65,1
torchinferno,few_shot,6,1453.25,0.00,1543.02,1,0.65,1
torchinferno,few_shot,7,1453.84,0.00,1553.11,1,0.64,1
torchinferno,few_shot,8,1446.74,0.00,1547.93,1,0.65,1
torchinferno,few_shot,9,1456.35,0.00,1548.04,1,0.65,1
torchinferno,few_shot,10,1459.93,0.00,1553.81,1,0.64,1
torchinferno,few_shot,11,1460.47,0.00,1552.25,1,0.64,1
torchinferno,few_shot,12,1451.55,0.00,1556.42,1,0.64,1
torchinferno,few_shot,13,1463.29,0.00,1561.53,1,0.64,1
torchinferno,few_shot,14,1459.91,0.00,1566.19,1,0.64,1
torchinferno,few_shot,15,1460.67,0.00,1560.35,1,0.64,1
torchinferno,few_shot,16,1453.64,0.00,1570.07,1,0.64,1
torchinferno,few_shot,17,1456.40,0.00,1573.26,1,0.64,1
torchinferno,few_shot,18,1456.26,0.00,1568.14,1,0.64,1
torchinferno,few_shot,19,1451.83,0.00,1572.54,1,0.64,1
torchinferno,few_shot,20,1449.99,0.00,1568.81,1,0.64,1
torchinferno,few_shot,21,1455.46,0.00,1580.20,1,0.63,1
torchinferno,few_shot,22,1462.93,0.00,1583.20,1,0.63,1
torchinferno,few_shot,23,1452.50,0.00,1582.54,1,0.63,1
torchinferno,few_shot,24,1453.35,0.00,1576.04,1,0.63,1
torchinferno,few_shot,25,1454.90,0.00,1582.62,1,0.63,1
torchinferno,few_shot,26,1454.95,0.00,1580.79,1,0.63,1
torchinferno,few_shot,27,1449.21,0.00,1586.50,1,0.63,1
torchinferno,few_shot,28,1451.37,0.00,1585.69,1,0.63,1
torchinferno,few_shot,29,519.48,0.00,650.17,1,1.54,1
torchinferno,few_shot,30,1458.21,0.00,1591.06,1,0.63,1
torchinferno,few_shot,31,1456.28,0.00,1594.72,1,0.63,1
torchinferno,few_shot,32,1462.26,0.00,1595.23,1,0.63,1
torchinferno,few_shot,33,1461.90,161.78,1623.68,2,1.23,1
torchinferno,few_shot,34,1451.63,171.93,1623.56,2,1.23,1
torchinferno,few_shot,35,1457.16,168.95,1626.11,2,1.23,1
torchinferno,few_shot,36,1450.69,171.83,1622.51,2,1.23,1
torchinferno,few_shot,37,1455.39,179.75,1635.14,2,1.22,1
torchinferno,few_shot,38,1453.27,172.26,1625.53,2,1.23,1
torchinferno,few_shot,39,1464.11,166.73,1630.84,2,1.23,1
torchinferno,few_shot,40,1451.93,183.52,1635.45,2,1.22,1
torchinferno,few_shot,41,1462.29,167.95,1630.24,2,1.23,1
torchinferno,few_shot,42,1459.74,170.11,1629.85,2,1.23,1
torchinferno,few_shot,43,1456.31,178.21,1634.52,2,1.22,1
torchinferno,few_shot,44,1460.90,170.17,1631.07,2,1.23,1
torchinferno,few_shot,45,1461.32,179.03,1640.35,2,1.22,1
