model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-15T21:07:59.144697+00:00

Build Times
provider,build_time_s
torchinferno,42.2
vllm,337.1
sglang,207.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.20,85.36,78.23,sglang
ttft_p99_ms,731.05,157.66,491.69,vllm
tpot_median_ms,30.78,38.76,64.53,torchinferno
tpot_p99_ms,40.06,97.35,859.00,torchinferno
e2e_median_ms,166.19,119.31,133.78,vllm
e2e_p99_ms,745.51,197.73,948.28,vllm
throughput_median_tps,6.82,11.87,10.14,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,55.96,73.15,125.51,torchinferno
ttft_p99_ms,241.86,368.68,71437.18,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,75.25,92.90,213.19,torchinferno
e2e_p99_ms,272.99,430.09,71498.28,torchinferno
throughput_median_tps,13.29,10.76,4.69,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.57,76.62,84.39,vllm
ttft_p99_ms,1027.94,177.99,520.07,vllm
tpot_median_ms,34.37,34.94,86.89,torchinferno
tpot_p99_ms,42.36,125.80,907.08,torchinferno
e2e_median_ms,218.45,111.43,153.49,vllm
e2e_p99_ms,1058.47,223.92,939.15,vllm
throughput_median_tps,5.06,12.52,8.93,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,441.18,80.51,65.74,sglang
ttft_last_turn_ms,174.34,88.28,88.93,vllm
ttft_growth_ratio,0.40,1.10,1.35,torchinferno
ttft_first_turn_median_ms,240.65,68.80,59.33,sglang
ttft_first_turn_p99_ms,1109.37,176.12,108.92,sglang
ttft_last_turn_median_ms,187.93,85.73,87.37,vllm
ttft_last_turn_p99_ms,206.37,172.54,116.08,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,51.84,37.34,53.51,vllm
ttft_p99_ms,606.30,91.72,377.05,vllm
tpot_median_ms,34.34,27.20,409.87,vllm
tpot_p99_ms,75.37,37.15,1046.38,vllm
e2e_median_ms,73.08,56.31,449.94,vllm
e2e_p99_ms,769.73,141.77,1148.34,vllm
throughput_median_tps,20.18,22.82,3.18,vllm
total_output_tokens,1478,1485,1462,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,190.08,46.59,51.67,vllm
ttft_p99_ms,402.12,62.31,139.41,vllm
tpot_median_ms,19.30,15.45,25.37,vllm
tpot_p99_ms,26.01,17.73,72.69,vllm
e2e_median_ms,858.03,584.94,971.65,vllm
e2e_p99_ms,1565.18,1048.68,1814.62,vllm
throughput_median_tps,41.12,60.13,38.16,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,788.54,0.00,800.62,1,1.25,1,,,,,,,1,,,
torchinferno,few_shot,0,1,805.92,24.09,830.01,2,2.41,1,,,,,,,0,,,
torchinferno,few_shot,5,2,796.55,0.00,811.45,1,1.23,1,,,,,,,5,,,
torchinferno,few_shot,9,3,731.05,0.00,745.51,1,1.34,1,,,,,,,9,,,
torchinferno,few_shot,28,4,409.52,0.00,424.80,1,2.35,1,,,,,,,28,,,
torchinferno,few_shot,7,5,763.08,0.00,780.01,1,1.28,1,,,,,,,7,,,
torchinferno,few_shot,17,6,597.87,0.00,612.55,1,1.63,1,,,,,,,17,,,
torchinferno,few_shot,8,7,746.42,0.00,764.43,1,1.31,1,,,,,,,8,,,
torchinferno,few_shot,11,8,698.13,0.00,714.73,1,1.40,1,,,,,,,11,,,
torchinferno,few_shot,29,9,393.27,0.00,411.26,1,2.43,1,,,,,,,29,,,
torchinferno,few_shot,10,10,715.26,0.00,733.02,1,1.36,1,,,,,,,10,,,
torchinferno,few_shot,25,11,462.75,0.00,480.38,1,2.08,1,,,,,,,25,,,
torchinferno,few_shot,31,12,358.80,0.00,379.29,1,2.64,1,,,,,,,31,,,
torchinferno,few_shot,24,13,478.08,0.00,498.39,1,2.01,1,,,,,,,24,,,
torchinferno,few_shot,4,14,814.30,0.00,836.62,1,1.20,1,,,,,,,4,,,
torchinferno,few_shot,26,15,444.85,0.00,466.45,1,2.14,1,,,,,,,26,,,
torchinferno,few_shot,12,16,680.50,0.00,706.60,1,1.42,1,,,,,,,12,,,
torchinferno,few_shot,3,17,832.75,27.14,859.89,2,2.33,1,,,,,,,3,,,
torchinferno,few_shot,19,18,563.61,26.91,590.52,2,3.39,1,,,,,,,19,,,
torchinferno,few_shot,18,19,578.55,29.47,608.01,2,3.29,1,,,,,,,18,,,
torchinferno,few_shot,20,20,546.55,28.88,575.43,2,3.48,1,,,,,,,20,,,
torchinferno,few_shot,13,21,662.78,31.71,694.49,2,2.88,1,,,,,,,13,,,
torchinferno,few_shot,14,22,646.69,31.28,677.97,2,2.95,1,,,,,,,14,,,
torchinferno,few_shot,15,23,628.67,32.64,661.31,2,3.02,1,,,,,,,15,,,
torchinferno,few_shot,16,24,611.91,33.16,645.07,2,3.10,1,,,,,,,16,,,
torchinferno,few_shot,6,25,781.61,32.29,813.90,2,2.46,1,,,,,,,6,,,
torchinferno,few_shot,21,26,528.15,33.82,561.97,2,3.56,1,,,,,,,21,,,
torchinferno,few_shot,22,27,513.73,32.80,546.53,2,3.66,1,,,,,,,22,,,
torchinferno,few_shot,2,28,850.84,34.22,885.05,2,2.26,1,,,,,,,2,,,
torchinferno,few_shot,32,29,344.56,35.21,379.78,2,5.27,1,,,,,,,32,,,
torchinferno,few_shot,27,30,426.96,37.65,464.61,2,4.30,1,,,,,,,27,,,
torchinferno,few_shot,33,31,327.13,37.49,364.62,2,5.49,1,,,,,,,33,,,
torchinferno,few_shot,23,32,495.97,39.01,534.98,2,3.74,1,,,,,,,23,,,
torchinferno,few_shot,30,33,377.65,39.31,416.96,2,4.80,1,,,,,,,30,,,
torchinferno,few_shot,34,34,393.74,0.00,405.80,1,2.46,1,,,,,,,34,,,
torchinferno,few_shot,76,35,65.06,0.00,77.30,1,12.94,1,,,,,,,76,,,
torchinferno,few_shot,42,36,256.53,0.00,271.38,1,3.68,1,,,,,,,42,,,
torchinferno,few_shot,71,37,68.79,0.00,81.87,1,12.22,1,,,,,,,71,,,
torchinferno,few_shot,69,38,69.84,0.00,83.76,1,11.94,1,,,,,,,69,,,
