model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-05T07:02:26.192270+00:00

Build Times
provider,build_time_s
torchinferno,38.3
vllm,245.2
sglang,238.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,161.08,160.37,141.76,sglang
ttft_p99_ms,836.78,307.83,619.94,vllm
tpot_median_ms,46.59,66.08,75.11,torchinferno
tpot_p99_ms,105.69,179.36,158.09,torchinferno
e2e_median_ms,212.26,217.27,219.48,torchinferno
e2e_p99_ms,864.72,394.63,707.00,vllm
throughput_median_tps,5.81,6.53,5.63,vllm
total_output_tokens,1461,1461,1460,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,150.22,201.42,201.58,torchinferno
ttft_p99_ms,444.96,541.91,70044.26,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,160.45,234.61,363.07,torchinferno
e2e_p99_ms,454.81,577.10,70157.01,torchinferno
throughput_median_tps,6.23,4.26,2.75,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,327.98,181.15,158.72,sglang
ttft_p99_ms,626.55,412.25,678.77,vllm
tpot_median_ms,58.17,46.14,109.58,vllm
tpot_p99_ms,116.88,202.44,293.43,torchinferno
e2e_median_ms,383.30,227.53,267.52,vllm
e2e_p99_ms,695.88,480.24,752.44,vllm
throughput_median_tps,3.66,6.07,4.93,vllm
total_output_tokens,1448,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,277.45,157.58,106.42,sglang
ttft_last_turn_ms,379.69,175.09,172.99,sglang
ttft_growth_ratio,1.37,1.11,1.63,vllm
ttft_first_turn_median_ms,294.68,145.54,98.22,sglang
ttft_first_turn_p99_ms,564.22,535.77,177.67,sglang
ttft_last_turn_median_ms,377.25,176.19,162.32,sglang
ttft_last_turn_p99_ms,548.46,368.06,320.09,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,123.05,64.08,75.59,vllm
ttft_p99_ms,379.83,2194.02,541.85,torchinferno
tpot_median_ms,37.51,29.94,72.41,vllm
tpot_p99_ms,332.88,1823.44,507.98,torchinferno
e2e_median_ms,151.97,88.28,153.07,vllm
e2e_p99_ms,471.61,2235.71,593.92,torchinferno
throughput_median_tps,8.69,13.66,9.56,vllm
total_output_tokens,1464,1474,1462,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,239.05,85.77,73.27,sglang
ttft_p99_ms,521.99,309.68,409.66,vllm
tpot_median_ms,20.57,14.92,22.18,vllm
tpot_p99_ms,36.40,23.36,33.68,vllm
e2e_median_ms,958.02,658.07,863.51,vllm
e2e_p99_ms,1702.81,1057.48,1621.26,vllm
throughput_median_tps,37.00,56.30,41.86,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,7,0,689.67,0.00,699.22,1,1.43,1,,,,,,,7,,,
torchinferno,few_shot,11,1,687.18,0.00,700.00,1,1.43,1,,,,,,,11,,,
torchinferno,few_shot,5,2,692.91,0.00,703.30,1,1.42,1,,,,,,,5,,,
torchinferno,few_shot,1,3,694.44,0.00,707.11,1,1.41,1,,,,,,,1,,,
torchinferno,few_shot,10,4,690.89,0.00,705.42,1,1.42,1,,,,,,,10,,,
torchinferno,few_shot,8,5,690.96,0.00,707.04,1,1.41,1,,,,,,,8,,,
torchinferno,few_shot,12,6,690.79,0.00,707.45,1,1.41,1,,,,,,,12,,,
torchinferno,few_shot,4,7,688.61,0.00,710.84,1,1.41,1,,,,,,,4,,,
torchinferno,few_shot,6,8,691.66,20.93,712.59,2,2.81,1,,,,,,,6,,,
torchinferno,few_shot,9,9,688.75,0.00,712.90,1,1.40,1,,,,,,,9,,,
torchinferno,few_shot,2,10,688.82,28.19,717.02,2,2.79,1,,,,,,,2,,,
torchinferno,few_shot,16,11,686.63,28.16,714.79,2,2.80,1,,,,,,,16,,,
torchinferno,few_shot,13,12,689.50,27.36,716.87,2,2.79,1,,,,,,,13,,,
torchinferno,few_shot,3,13,689.43,31.40,720.83,2,2.77,1,,,,,,,3,,,
torchinferno,few_shot,14,14,685.84,34.30,720.14,2,2.78,1,,,,,,,14,,,
torchinferno,few_shot,18,15,687.79,32.91,720.70,2,2.78,1,,,,,,,18,,,
torchinferno,few_shot,0,16,690.44,38.52,728.96,2,2.74,1,,,,,,,0,,,
torchinferno,few_shot,15,17,688.15,37.35,725.50,2,2.76,1,,,,,,,15,,,
torchinferno,few_shot,17,18,764.14,0.00,780.94,1,1.28,1,,,,,,,17,,,
torchinferno,few_shot,26,19,757.31,0.00,775.14,1,1.29,1,,,,,,,26,,,
torchinferno,few_shot,43,20,759.70,0.00,772.62,1,1.29,1,,,,,,,43,,,
torchinferno,few_shot,24,21,762.59,0.00,778.94,1,1.28,1,,,,,,,24,,,
torchinferno,few_shot,34,22,757.44,0.00,781.52,1,1.28,1,,,,,,,34,,,
torchinferno,few_shot,38,23,758.74,0.00,781.69,1,1.28,1,,,,,,,38,,,
torchinferno,few_shot,28,24,760.84,0.00,785.35,1,1.27,1,,,,,,,28,,,
torchinferno,few_shot,25,25,759.06,0.00,787.11,1,1.27,1,,,,,,,25,,,
torchinferno,few_shot,19,26,763.89,32.66,796.55,2,2.51,1,,,,,,,19,,,
torchinferno,few_shot,39,27,757.39,0.00,786.90,1,1.27,1,,,,,,,39,,,
torchinferno,few_shot,42,28,759.41,0.00,787.29,1,1.27,1,,,,,,,42,,,
torchinferno,few_shot,48,29,757.36,0.00,789.04,1,1.27,1,,,,,,,48,,,
torchinferno,few_shot,35,30,758.92,0.00,793.54,1,1.26,1,,,,,,,35,,,
torchinferno,few_shot,23,31,757.53,40.42,797.96,2,2.51,1,,,,,,,23,,,
torchinferno,few_shot,36,32,756.47,39.94,796.42,2,2.51,1,,,,,,,36,,,
torchinferno,few_shot,33,33,756.17,42.41,798.58,2,2.50,1,,,,,,,33,,,
torchinferno,few_shot,29,34,757.59,0.00,800.96,1,1.25,1,,,,,,,29,,,
torchinferno,few_shot,49,35,756.62,40.19,796.81,2,2.51,1,,,,,,,49,,,
torchinferno,few_shot,30,36,759.01,43.99,803.00,2,2.49,1,,,,,,,30,,,
torchinferno,few_shot,31,37,755.80,0.00,805.31,1,1.24,1,,,,,,,31,,,
torchinferno,few_shot,37,38,760.84,0.00,805.04,1,1.24,1,,,,,,,37,,,
