model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-05T05:01:56.083792

Build Times
provider,build_time_s
torchinferno,399.7
vllm,1363.1
sglang,193.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,358.67,154.78,147.91,sglang
ttft_p99_ms,1947.68,266.42,1046.04,vllm
tpot_median_ms,59.66,53.89,76.00,vllm
tpot_p99_ms,162.09,141.86,7404.00,vllm
e2e_median_ms,424.10,208.71,219.24,vllm
e2e_p99_ms,1970.17,325.83,8421.69,vllm
throughput_median_tps,3.14,7.16,5.40,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,295.38,199.60,204.79,vllm
ttft_p99_ms,702.74,235.88,70990.49,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,411.88,251.84,337.65,vllm
e2e_p99_ms,806.61,325.80,71090.03,vllm
throughput_median_tps,2.43,3.97,2.96,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,769.42,170.47,166.82,sglang
ttft_p99_ms,3011.77,309.38,620.21,vllm
tpot_median_ms,66.54,55.63,97.69,vllm
tpot_p99_ms,149.53,198.64,223.97,torchinferno
e2e_median_ms,832.14,222.34,259.63,vllm
e2e_p99_ms,3041.47,409.22,787.33,vllm
throughput_median_tps,1.60,6.25,5.11,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,815.43,133.55,114.93,sglang
ttft_last_turn_ms,844.88,163.63,174.68,vllm
ttft_growth_ratio,1.04,1.23,1.52,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,352.77,60.56,89.07,vllm
ttft_p99_ms,1054.00,2023.72,572.71,sglang
tpot_median_ms,32.45,29.05,39.07,vllm
tpot_p99_ms,253.59,1994.99,126.50,sglang
e2e_median_ms,381.07,82.37,142.19,vllm
e2e_p99_ms,1067.95,3722.50,598.99,sglang
throughput_median_tps,3.64,14.69,9.53,vllm
total_output_tokens,1480,1467,1486,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,543.85,68.97,79.13,vllm
ttft_p99_ms,1573.73,111.49,173.07,vllm
tpot_median_ms,32.93,14.82,24.30,vllm
tpot_p99_ms,58.67,19.90,29.86,vllm
e2e_median_ms,1574.11,597.42,914.78,vllm
e2e_p99_ms,3705.34,992.41,1780.31,vllm
throughput_median_tps,21.56,59.46,38.36,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1203.84,0.00,1211.90,1,0.83,1
torchinferno,few_shot,1,1205.29,118.95,1324.25,2,1.51,1
torchinferno,few_shot,2,1682.01,0.00,1699.09,1,0.59,1
torchinferno,few_shot,3,1693.24,0.00,1699.84,1,0.59,1
torchinferno,few_shot,4,1695.14,0.00,1706.32,1,0.59,1
torchinferno,few_shot,5,1673.73,0.00,1692.37,1,0.59,1
torchinferno,few_shot,6,1683.13,0.00,1707.09,1,0.59,1
torchinferno,few_shot,7,1680.49,0.00,1699.40,1,0.59,1
torchinferno,few_shot,8,1687.37,23.72,1711.09,2,1.17,1
torchinferno,few_shot,9,1686.97,0.00,1716.18,1,0.58,1
torchinferno,few_shot,10,1680.66,0.00,1701.22,1,0.59,1
torchinferno,few_shot,11,1676.77,29.32,1706.09,2,1.17,1
torchinferno,few_shot,12,1672.86,0.00,1707.98,1,0.59,1
torchinferno,few_shot,13,1696.70,0.00,1722.29,1,0.58,1
torchinferno,few_shot,14,1673.56,0.00,1710.06,1,0.58,1
torchinferno,few_shot,15,1674.79,0.00,1708.25,1,0.59,1
torchinferno,few_shot,16,1670.35,0.00,1711.70,1,0.58,1
torchinferno,few_shot,17,1671.93,0.00,1716.55,1,0.58,1
torchinferno,few_shot,18,1668.65,46.29,1714.94,2,1.17,1
torchinferno,few_shot,19,1681.47,0.00,1715.72,1,0.58,1
torchinferno,few_shot,20,1669.97,0.00,1717.55,1,0.58,1
torchinferno,few_shot,21,1687.23,0.00,1736.78,1,0.58,1
torchinferno,few_shot,22,1683.63,0.00,1725.91,1,0.58,1
torchinferno,few_shot,23,1679.05,44.28,1723.33,2,1.16,1
torchinferno,few_shot,24,1671.92,0.00,1727.78,1,0.58,1
torchinferno,few_shot,25,1684.33,60.62,1744.95,2,1.15,1
torchinferno,few_shot,26,1674.33,0.00,1730.24,1,0.58,1
torchinferno,few_shot,27,1684.98,49.51,1734.48,2,1.15,1
torchinferno,few_shot,28,1681.45,54.00,1735.46,2,1.15,1
torchinferno,few_shot,29,1673.31,62.04,1735.35,2,1.15,1
torchinferno,few_shot,30,1688.00,65.47,1753.47,2,1.14,1
torchinferno,few_shot,31,1682.15,0.00,1739.61,1,0.57,1
torchinferno,few_shot,32,1680.75,63.30,1744.05,2,1.15,1
torchinferno,few_shot,33,1676.97,66.86,1743.83,2,1.15,1
torchinferno,few_shot,34,1672.02,77.54,1749.56,2,1.14,1
torchinferno,few_shot,35,1678.63,71.44,1750.07,2,1.14,1
torchinferno,few_shot,36,1678.20,75.14,1753.34,2,1.14,1
torchinferno,few_shot,37,1671.79,81.81,1753.60,2,1.14,1
torchinferno,few_shot,38,1680.94,87.17,1768.11,2,1.13,1
torchinferno,few_shot,39,1679.77,0.00,1758.43,1,0.57,1
torchinferno,few_shot,40,1698.66,78.69,1777.36,2,1.13,1
torchinferno,few_shot,41,1681.94,84.72,1766.66,2,1.13,1
torchinferno,few_shot,42,1691.31,0.00,1775.96,1,0.56,1
torchinferno,few_shot,43,1679.97,0.00,1764.81,1,0.57,1
torchinferno,few_shot,44,1681.07,95.85,1776.92,2,1.13,1
torchinferno,few_shot,45,1689.78,86.96,1776.74,2,1.13,1
torchinferno,few_shot,46,1685.17,85.81,1770.98,2,1.13,1
torchinferno,few_shot,47,1673.86,92.73,1766.58,2,1.13,1
torchinferno,few_shot,48,1670.03,100.12,1770.14,2,1.13,1
torchinferno,few_shot,49,1683.12,0.00,1793.56,1,0.56,1
torchinferno,few_shot,50,758.95,0.00,772.21,1,1.29,1
torchinferno,few_shot,51,649.82,0.00,662.18,1,1.51,1
torchinferno,few_shot,52,1952.93,0.00,1967.13,1,0.51,1
torchinferno,few_shot,53,1945.59,0.00,1966.04,1,0.51,1
torchinferno,few_shot,54,1948.02,0.00,1969.10,1,0.51,1
torchinferno,few_shot,55,1951.98,0.00,1970.17,1,0.51,1
torchinferno,few_shot,56,1950.22,19.28,1969.49,2,1.02,1
torchinferno,few_shot,57,1950.79,23.49,1974.28,2,1.01,1
torchinferno,few_shot,58,1947.68,26.95,1974.63,2,1.01,1
torchinferno,few_shot,59,1947.14,33.29,1980.43,2,1.01,1
torchinferno,few_shot,60,1946.68,34.86,1981.54,2,1.01,1
torchinferno,few_shot,61,1947.87,0.00,1981.77,1,0.50,1
torchinferno,few_shot,62,1950.46,0.00,1983.76,1,0.50,1
torchinferno,few_shot,63,1946.14,38.31,1984.45,2,1.01,1
torchinferno,few_shot,64,1949.99,37.50,1987.49,2,1.01,1
torchinferno,few_shot,65,1949.67,40.64,1990.30,2,1.00,1
torchinferno,few_shot,66,357.92,0.00,369.54,1,2.71,1
torchinferno,few_shot,67,299.32,0.00,317.40,1,3.15,1
torchinferno,few_shot,68,269.65,0.00,279.13,1,3.58,1
torchinferno,few_shot,69,355.37,0.00,364.03,1,2.75,1
torchinferno,few_shot,70,298.73,0.00,318.52,1,3.14,1
torchinferno,few_shot,71,347.81,0.00,371.69,1,2.69,1
torchinferno,few_shot,72,305.57,0.00,329.90,1,3.03,1
torchinferno,few_shot,73,359.42,0.00,383.60,1,2.61,1
torchinferno,few_shot,74,321.76,0.00,345.59,1,2.89,1
torchinferno,few_shot,75,362.76,0.00,392.65,1,2.55,1
torchinferno,few_shot,76,333.54,39.70,373.24,2,5.36,1
torchinferno,few_shot,77,330.82,39.67,370.48,2,5.40,1
torchinferno,few_shot,78,289.30,31.45,320.75,2,6.24,1
torchinferno,few_shot,79,316.17,0.00,359.74,1,2.78,1
torchinferno,few_shot,80,335.92,0.00,370.07,1,2.70,1
torchinferno,few_shot,81,266.82,0.00,312.19,1,3.20,1
torchinferno,few_shot,82,309.79,0.00,353.14,1,2.83,1
torchinferno,few_shot,83,336.72,50.83,387.55,2,5.16,1
torchinferno,few_shot,84,290.64,36.35,327.00,2,6.12,1
torchinferno,few_shot,85,324.13,0.00,371.28,1,2.69,1
torchinferno,few_shot,86,317.81,0.00,368.67,1,2.71,1
torchinferno,few_shot,87,278.96,0.00,327.29,1,3.06,1
torchinferno,few_shot,88,321.54,56.78,378.32,2,5.29,1
torchinferno,few_shot,89,297.54,0.00,341.90,1,2.92,1
torchinferno,few_shot,90,283.97,57.11,341.08,2,5.86,1
torchinferno,few_shot,91,313.39,0.00,373.78,1,2.68,1
torchinferno,few_shot,92,342.88,0.00,400.70,1,2.50,1
torchinferno,few_shot,93,284.88,0.00,344.04,1,2.91,1
torchinferno,few_shot,94,331.38,0.00,399.50,1,2.50,1
torchinferno,few_shot,95,336.21,0.00,395.96,1,2.53,1
torchinferno,few_shot,96,334.36,56.51,390.87,2,5.12,1
torchinferno,few_shot,97,286.25,0.00,354.87,1,2.82,1
torchinferno,few_shot,98,352.53,0.00,420.36,1,2.38,1
torchinferno,few_shot,99,275.09,70.35,345.44,2,5.79,1
torchinferno,few_shot,100,303.80,0.00,376.52,1,2.66,1
torchinferno,few_shot,101,317.52,68.83,386.36,2,5.18,1
torchinferno,few_shot,102,283.35,0.00,355.88,1,2.81,1
torchinferno,few_shot,103,315.49,70.16,385.65,2,5.19,1
torchinferno,few_shot,104,294.33,84.25,378.58,2,5.28,1
torchinferno,few_shot,105,155.07,0.00,159.61,1,6.27,1
torchinferno,few_shot,106,288.84,75.23,364.06,2,5.49,1
torchinferno,few_shot,107,370.39,66.16,436.55,2,4.58,1
torchinferno,few_shot,108,332.01,0.00,418.26,1,2.39,1
torchinferno,few_shot,109,141.47,0.00,141.78,1,7.05,1
torchinferno,few_shot,110,142.67,24.82,167.48,2,11.94,1
torchinferno,few_shot,111,154.85,5.65,160.50,2,12.46,1
torchinferno,few_shot,112,302.86,0.00,396.94,1,2.52,1
torchinferno,few_shot,113,140.84,10.44,151.28,2,13.22,1
torchinferno,few_shot,114,134.98,0.00,161.55,1,6.19,1
torchinferno,few_shot,115,331.44,106.51,437.96,2,4.57,1
torchinferno,few_shot,116,305.22,107.87,413.09,2,4.84,1
torchinferno,few_shot,117,173.19,9.93,183.12,2,10.92,1
torchinferno,few_shot,118,278.79,0.00,389.58,1,2.57,1
torchinferno,few_shot,119,180.95,0.00,181.20,1,5.52,1
torchinferno,few_shot,120,127.11,42.18,169.28,2,11.81,1
torchinferno,few_shot,121,332.57,115.88,448.45,2,4.46,1
torchinferno,few_shot,122,144.69,45.41,190.10,2,10.52,1
torchinferno,few_shot,123,313.99,0.00,438.38,1,2.28,1
torchinferno,few_shot,124,176.01,0.00,191.59,1,5.22,1
torchinferno,few_shot,125,174.84,0.00,187.26,1,5.34,1
torchinferno,few_shot,126,183.37,1.61,184.98,2,10.81,1
torchinferno,few_shot,127,142.62,45.99,188.62,2,10.60,1
torchinferno,few_shot,128,116.89,0.00,196.95,1,5.08,1
torchinferno,few_shot,129,137.06,76.19,213.25,2,9.38,1
torchinferno,few_shot,130,302.31,0.00,405.64,1,2.47,1
torchinferno,few_shot,131,427.87,0.00,432.50,1,2.31,1
torchinferno,few_shot,132,416.24,0.00,426.88,1,2.34,1
torchinferno,few_shot,133,455.96,0.00,471.56,1,2.12,1
torchinferno,few_shot,134,440.55,0.00,455.31,1,2.20,1
torchinferno,few_shot,135,475.33,0.00,488.39,1,2.05,1
torchinferno,few_shot,136,494.20,0.00,509.38,1,1.96,1
torchinferno,few_shot,137,446.26,0.00,476.70,1,2.10,1
torchinferno,few_shot,138,412.41,22.81,435.22,2,4.60,1
torchinferno,few_shot,139,473.97,0.00,498.97,1,2.00,1
torchinferno,few_shot,140,436.50,0.00,465.38,1,2.15,1
torchinferno,few_shot,141,469.81,38.70,508.51,2,3.93,1
torchinferno,few_shot,142,468.03,0.00,497.88,1,2.01,1
torchinferno,few_shot,143,459.56,28.26,487.82,2,4.10,1
torchinferno,few_shot,144,478.52,40.95,519.47,2,3.85,1
torchinferno,few_shot,145,454.72,43.97,498.70,2,4.01,1
torchinferno,few_shot,146,396.63,0.00,438.65,1,2.28,1
torchinferno,few_shot,147,396.20,40.61,436.81,2,4.58,1
torchinferno,few_shot,148,380.76,40.56,421.32,2,4.75,1
torchinferno,few_shot,149,459.56,54.00,513.56,2,3.89,1
torchinferno,few_shot,150,479.23,0.00,519.25,1,1.93,1
torchinferno,few_shot,151,401.54,51.83,453.37,2,4.41,1
torchinferno,few_shot,152,495.64,20.72,516.36,2,3.87,1
torchinferno,few_shot,153,414.00,58.61,472.61,2,4.23,1
torchinferno,few_shot,154,433.42,0.00,489.75,1,2.04,1
torchinferno,few_shot,155,404.81,0.00,457.94,1,2.18,1
torchinferno,few_shot,156,436.38,10.59,446.98,2,4.47,1
torchinferno,few_shot,157,454.03,66.13,520.16,2,3.84,1
torchinferno,few_shot,158,420.33,61.63,481.97,2,4.15,1
torchinferno,few_shot,159,449.50,61.56,511.06,2,3.91,1
torchinferno,few_shot,160,486.44,0.00,547.85,1,1.83,1
torchinferno,few_shot,161,417.15,0.00,491.49,1,2.03,1
torchinferno,few_shot,162,484.82,0.00,548.50,1,1.82,1
torchinferno,few_shot,163,442.04,72.05,514.09,2,3.89,1
torchinferno,few_shot,164,463.24,64.13,527.37,2,3.79,1
torchinferno,few_shot,165,407.72,0.00,472.77,1,2.12,1
torchinferno,few_shot,166,423.40,0.00,491.51,1,2.03,1
torchinferno,few_shot,167,385.70,83.57,469.27,2,4.26,1
torchinferno,few_shot,168,446.24,0.00,524.91,1,1.91,1
torchinferno,few_shot,169,371.06,0.00,455.65,1,2.19,1
torchinferno,few_shot,170,398.96,0.00,472.93,1,2.11,1
torchinferno,few_shot,171,451.79,82.61,534.41,2,3.74,1
torchinferno,few_shot,172,400.98,92.26,493.24,2,4.05,1
torchinferno,few_shot,173,446.58,0.00,529.78,1,1.89,1
torchinferno,few_shot,174,463.76,95.19,558.94,2,3.58,1
torchinferno,few_shot,175,465.35,78.48,543.83,2,3.68,1
torchinferno,few_shot,176,428.83,0.00,524.44,1,1.91,1
torchinferno,few_shot,177,446.43,119.30,565.73,2,3.54,1
torchinferno,few_shot,178,452.64,80.16,612.96,3,4.89,0
torchinferno,few_shot,179,216.16,0.00,230.11,1,4.35,1
torchinferno,few_shot,180,186.01,0.00,195.55,1,5.11,1
torchinferno,few_shot,181,211.08,0.00,223.34,1,4.48,1
torchinferno,few_shot,182,218.55,0.00,236.34,1,4.23,1
torchinferno,few_shot,183,301.74,0.00,318.34,1,3.14,1
torchinferno,few_shot,184,664.67,0.00,687.30,1,1.45,1
torchinferno,few_shot,185,150.94,0.00,169.19,1,5.91,1
torchinferno,few_shot,186,191.01,22.64,213.65,2,9.36,1
torchinferno,few_shot,187,159.36,0.00,187.75,1,5.33,1
torchinferno,few_shot,188,619.00,0.00,651.23,1,1.54,1
torchinferno,few_shot,189,207.26,0.00,231.91,1,4.31,1
torchinferno,few_shot,190,133.60,0.00,171.47,1,5.83,1
torchinferno,few_shot,191,171.76,31.23,202.99,2,9.85,1
torchinferno,few_shot,192,619.96,0.00,648.85,1,1.54,1
torchinferno,few_shot,193,632.05,33.62,665.67,2,3.00,1
torchinferno,few_shot,194,173.19,31.11,204.30,2,9.79,1
torchinferno,few_shot,195,182.01,0.00,216.68,1,4.62,1
torchinferno,few_shot,196,647.60,50.16,697.76,2,2.87,1
torchinferno,few_shot,197,162.08,41.88,203.96,2,9.81,1
torchinferno,few_shot,198,590.29,52.38,642.66,2,3.11,1
torchinferno,few_shot,199,605.75,48.95,654.70,2,3.05,1
torchinferno,few_shot,200,142.70,0.00,191.82,1,5.21,1
torchinferno,few_shot,201,177.47,0.00,221.94,1,4.51,1
torchinferno,few_shot,202,194.64,0.00,245.89,1,4.07,1
torchinferno,few_shot,203,652.79,64.70,717.49,2,2.79,1
torchinferno,few_shot,204,200.06,61.01,261.07,2,7.66,1
torchinferno,few_shot,205,141.62,0.00,206.73,1,4.84,1
torchinferno,few_shot,206,188.07,0.00,256.20,1,3.90,1
torchinferno,few_shot,207,176.33,0.00,241.78,1,4.14,1
torchinferno,few_shot,208,598.10,0.00,659.78,1,1.52,1
torchinferno,few_shot,209,216.57,47.96,264.52,2,7.56,1
torchinferno,few_shot,210,631.10,72.21,703.31,2,2.84,1
torchinferno,few_shot,211,167.87,0.00,240.55,1,4.16,1
torchinferno,few_shot,212,601.86,0.00,679.44,1,1.47,1
torchinferno,few_shot,213,155.59,0.00,221.74,1,4.51,1
torchinferno,few_shot,214,194.20,0.00,266.45,1,3.75,1
torchinferno,few_shot,215,583.56,0.00,659.12,1,1.52,1
torchinferno,few_shot,216,641.26,0.00,717.06,1,1.39,1
