model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-09T11:01:54.307748

Build Times
provider,build_time_s
torchinferno,344.3
vllm,1325.0
sglang,193.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,311.91,157.70,156.23,sglang
ttft_p99_ms,2488.23,262.53,1324.30,vllm
tpot_median_ms,94.55,57.29,71.79,vllm
tpot_p99_ms,662.58,141.88,559.84,vllm
e2e_median_ms,392.04,211.95,224.08,vllm
e2e_p99_ms,2600.40,325.27,1700.61,vllm
throughput_median_tps,3.03,7.22,5.29,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,376.60,177.96,198.68,vllm
ttft_p99_ms,1244.78,304.33,70262.70,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,514.54,215.89,336.73,vllm
e2e_p99_ms,1586.47,397.37,70402.47,vllm
throughput_median_tps,1.94,4.63,2.97,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,666.55,172.25,168.47,sglang
ttft_p99_ms,1676.34,326.66,647.22,vllm
tpot_median_ms,69.07,54.55,110.18,vllm
tpot_p99_ms,203.93,174.99,622.58,vllm
e2e_median_ms,736.22,220.03,271.96,vllm
e2e_p99_ms,1777.52,404.04,770.31,vllm
throughput_median_tps,1.68,6.23,4.89,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,894.87,139.58,121.78,sglang
ttft_last_turn_ms,991.41,163.62,197.63,vllm
ttft_growth_ratio,1.11,1.17,1.62,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,322.56,58.34,84.34,vllm
ttft_p99_ms,1081.19,2047.29,532.05,sglang
tpot_median_ms,62.96,28.40,42.98,vllm
tpot_p99_ms,451.02,1734.34,134.09,sglang
e2e_median_ms,381.84,79.73,140.21,vllm
e2e_p99_ms,1311.56,3751.47,552.99,sglang
throughput_median_tps,3.60,15.14,9.83,vllm
total_output_tokens,1462,1469,1458,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,497.12,65.28,78.17,vllm
ttft_p99_ms,1599.88,119.06,162.59,vllm
tpot_median_ms,21.52,15.12,24.16,vllm
tpot_p99_ms,43.33,20.46,28.96,vllm
e2e_median_ms,1120.81,603.82,894.24,vllm
e2e_p99_ms,3125.30,1021.65,1682.92,vllm
throughput_median_tps,28.93,58.94,39.04,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1347.93,0.00,1355.79,1,0.74,1
torchinferno,few_shot,1,1350.13,210.84,1560.97,2,1.28,1
torchinferno,few_shot,2,1948.25,0.00,2479.36,1,0.40,1
torchinferno,few_shot,3,1932.23,0.00,2479.37,1,0.40,1
torchinferno,few_shot,4,1943.19,0.00,2483.50,1,0.40,1
torchinferno,few_shot,5,1933.23,0.00,2483.21,1,0.40,1
torchinferno,few_shot,6,1933.23,0.00,2485.25,1,0.40,1
torchinferno,few_shot,7,1930.28,0.00,2484.87,1,0.40,1
torchinferno,few_shot,8,1943.41,0.00,2493.80,1,0.40,1
torchinferno,few_shot,9,1934.07,0.00,2494.43,1,0.40,1
torchinferno,few_shot,10,1942.38,0.00,2493.01,1,0.40,1
torchinferno,few_shot,11,1941.21,553.94,2495.15,2,0.80,1
torchinferno,few_shot,12,1943.09,558.19,2501.27,2,0.80,1
torchinferno,few_shot,13,1938.27,559.34,2497.61,2,0.80,1
torchinferno,few_shot,14,1932.40,0.00,2502.38,1,0.40,1
torchinferno,few_shot,15,1932.63,572.54,2505.17,2,0.80,1
torchinferno,few_shot,16,2500.84,0.00,2501.16,1,0.40,1
torchinferno,few_shot,17,2502.99,0.41,2503.39,2,0.80,1
torchinferno,few_shot,18,1933.76,0.00,2512.43,1,0.40,1
torchinferno,few_shot,19,1933.53,0.00,2516.47,1,0.40,1
torchinferno,few_shot,20,1932.42,580.33,2512.76,2,0.80,1
torchinferno,few_shot,21,2511.01,0.00,2511.34,1,0.40,1
torchinferno,few_shot,22,1943.98,0.00,2525.77,1,0.40,1
torchinferno,few_shot,23,1939.12,0.00,2516.91,1,0.40,1
torchinferno,few_shot,24,1934.23,587.88,2522.11,2,0.79,1
torchinferno,few_shot,25,1938.05,0.00,2527.88,1,0.40,1
torchinferno,few_shot,26,1944.12,587.60,2531.72,2,0.79,1
torchinferno,few_shot,27,2505.44,0.00,2520.21,1,0.40,1
torchinferno,few_shot,28,1931.98,0.00,2523.06,1,0.40,1
torchinferno,few_shot,29,1941.78,585.57,2527.36,2,0.79,1
torchinferno,few_shot,30,1938.90,589.77,2528.66,2,0.79,1
torchinferno,few_shot,31,2488.23,40.88,2529.10,2,0.79,1
torchinferno,few_shot,32,2530.21,0.47,2530.69,2,0.79,1
torchinferno,few_shot,33,2478.69,0.00,2533.54,1,0.39,1
torchinferno,few_shot,34,1943.88,616.66,2560.55,2,0.78,1
torchinferno,few_shot,35,1938.74,618.46,2557.20,2,0.78,1
torchinferno,few_shot,36,1938.47,0.00,2559.50,1,0.39,1
torchinferno,few_shot,37,1937.73,0.00,2568.10,1,0.39,1
torchinferno,few_shot,38,1928.87,639.11,2567.98,2,0.78,1
torchinferno,few_shot,39,1936.80,636.35,2573.15,2,0.78,1
torchinferno,few_shot,40,2493.00,78.79,2571.78,2,0.78,1
torchinferno,few_shot,41,2491.43,83.39,2574.81,2,0.78,1
torchinferno,few_shot,42,1936.69,651.89,2588.58,2,0.77,1
torchinferno,few_shot,43,1934.99,0.00,2584.17,1,0.39,1
torchinferno,few_shot,44,2543.89,41.00,2584.89,2,0.77,1
torchinferno,few_shot,45,1941.95,0.00,2588.73,1,0.39,1
