model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-27T17:02:54.448579+00:00

Build Times
provider,build_time_s
torchinferno,380.5
vllm,475.1
sglang,227.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,244.70,145.97,140.63,sglang
ttft_p99_ms,2715.33,260.72,624.63,vllm
tpot_median_ms,44.55,46.87,78.71,torchinferno
tpot_p99_ms,786.80,134.88,389.01,vllm
e2e_median_ms,283.38,186.72,212.04,vllm
e2e_p99_ms,2753.52,319.14,884.18,vllm
throughput_median_tps,5.11,7.59,5.74,vllm
total_output_tokens,1466,1463,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,250.51,207.31,214.55,vllm
ttft_p99_ms,514.41,316.60,70047.78,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,267.92,264.48,350.53,vllm
e2e_p99_ms,548.48,388.75,70150.49,vllm
throughput_median_tps,3.73,3.78,2.85,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,375.72,166.25,163.29,sglang
ttft_p99_ms,1138.84,322.96,628.83,vllm
tpot_median_ms,56.10,55.29,107.27,vllm
tpot_p99_ms,116.56,182.62,253.22,torchinferno
e2e_median_ms,436.50,213.51,266.20,vllm
e2e_p99_ms,1180.08,412.91,718.67,vllm
throughput_median_tps,2.64,6.40,5.02,vllm
total_output_tokens,1446,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,653.30,127.74,120.90,sglang
ttft_last_turn_ms,759.19,156.81,191.98,vllm
ttft_growth_ratio,1.16,1.23,1.59,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,286.05,60.71,81.90,vllm
ttft_p99_ms,792.40,252.09,584.27,vllm
tpot_median_ms,43.72,30.53,56.79,vllm
tpot_p99_ms,361.99,118.72,551.24,vllm
e2e_median_ms,337.45,84.35,147.38,vllm
e2e_p99_ms,828.76,293.09,638.48,vllm
throughput_median_tps,3.84,14.34,9.46,vllm
total_output_tokens,1483,1463,1459,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,304.55,70.65,70.82,vllm
ttft_p99_ms,1087.29,170.15,797.73,vllm
tpot_median_ms,21.50,14.85,22.17,vllm
tpot_p99_ms,57.67,19.59,34.85,vllm
e2e_median_ms,1067.25,602.31,817.74,vllm
e2e_p99_ms,2396.41,1002.23,1737.22,vllm
throughput_median_tps,33.26,59.69,41.74,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1238.49,0.00,1682.02,1,0.59,1
torchinferno,few_shot,1,1237.30,0.00,1681.54,1,0.59,1
torchinferno,few_shot,2,1238.90,0.00,1685.62,1,0.59,1
torchinferno,few_shot,3,1236.36,0.00,1684.67,1,0.59,1
torchinferno,few_shot,4,1237.71,0.00,1686.70,1,0.59,1
torchinferno,few_shot,5,1232.69,785.59,2018.28,2,0.99,1
torchinferno,few_shot,6,1239.65,786.43,2026.08,2,0.99,1
torchinferno,few_shot,7,1236.03,786.80,2022.83,2,0.99,1
torchinferno,few_shot,8,1234.91,789.81,2024.72,2,0.99,1
torchinferno,few_shot,9,1233.25,791.78,2025.02,2,0.99,1
torchinferno,few_shot,10,1240.27,794.79,2035.05,2,0.98,1
torchinferno,few_shot,11,1238.54,795.56,2034.10,2,0.98,1
torchinferno,few_shot,12,2275.36,0.00,2641.90,1,0.38,1
torchinferno,few_shot,13,2272.43,0.00,2648.35,1,0.38,1
torchinferno,few_shot,14,2267.57,0.00,2646.48,1,0.38,1
torchinferno,few_shot,15,2270.03,0.00,2654.14,1,0.38,1
torchinferno,few_shot,16,2266.56,0.00,2650.04,1,0.38,1
torchinferno,few_shot,17,2274.40,0.00,2658.16,1,0.38,1
torchinferno,few_shot,18,2268.22,0.00,2658.16,1,0.38,1
torchinferno,few_shot,19,2267.26,0.00,2656.87,1,0.38,1
torchinferno,few_shot,20,2270.17,0.00,2658.55,1,0.38,1
torchinferno,few_shot,21,2275.48,387.78,2663.26,2,0.75,1
torchinferno,few_shot,22,2271.67,391.52,2663.19,2,0.75,1
torchinferno,few_shot,23,2269.54,0.00,2666.01,1,0.38,1
torchinferno,few_shot,24,2274.81,0.00,2673.51,1,0.37,1
torchinferno,few_shot,25,2274.54,392.00,2666.55,2,0.75,1
torchinferno,few_shot,26,2271.61,0.00,2670.24,1,0.37,1
torchinferno,few_shot,27,2264.30,0.00,2668.44,1,0.37,1
torchinferno,few_shot,28,2273.71,401.87,2675.58,2,0.75,1
torchinferno,few_shot,29,2265.87,0.00,2674.79,1,0.37,1
torchinferno,few_shot,30,2269.39,409.38,2678.77,2,0.75,1
torchinferno,few_shot,31,2273.01,0.00,2678.80,1,0.37,1
torchinferno,few_shot,32,2267.67,411.73,2679.40,2,0.75,1
torchinferno,few_shot,33,2264.15,414.38,2678.53,2,0.75,1
torchinferno,few_shot,34,2274.36,408.55,2682.91,2,0.75,1
torchinferno,few_shot,35,2276.52,410.04,2686.56,2,0.74,1
torchinferno,few_shot,36,2270.85,0.00,2685.28,1,0.37,1
torchinferno,few_shot,37,2273.47,0.00,2686.15,1,0.37,1
torchinferno,few_shot,38,2269.96,0.00,2688.55,1,0.37,1
torchinferno,few_shot,39,2273.55,0.00,2696.60,1,0.37,1
torchinferno,few_shot,40,2271.64,423.68,2695.33,2,0.74,1
torchinferno,few_shot,41,2275.51,419.84,2695.36,2,0.74,1
torchinferno,few_shot,42,2277.53,426.29,2703.81,2,0.74,1
torchinferno,few_shot,43,2276.27,441.19,2717.46,2,0.74,1
torchinferno,few_shot,44,1027.51,0.00,1047.16,1,0.95,1
torchinferno,few_shot,45,707.77,0.00,708.10,1,1.41,1
torchinferno,few_shot,46,683.42,0.00,705.64,1,1.42,1
torchinferno,few_shot,47,2709.58,0.00,2728.63,1,0.37,1
torchinferno,few_shot,48,2712.25,0.00,2729.53,1,0.37,1
torchinferno,few_shot,49,2716.88,0.00,2732.39,1,0.37,1
torchinferno,few_shot,50,2712.19,21.86,2734.05,2,0.73,1
torchinferno,few_shot,51,2718.27,0.00,2739.39,1,0.37,1
torchinferno,few_shot,52,2703.26,36.92,2740.18,2,0.73,1
torchinferno,few_shot,53,2717.64,20.99,2738.63,2,0.73,1
torchinferno,few_shot,54,2710.32,0.00,2743.93,1,0.36,1
torchinferno,few_shot,55,710.50,0.00,733.43,1,1.36,1
torchinferno,few_shot,56,2716.83,28.24,2745.07,2,0.73,1
torchinferno,few_shot,57,716.74,10.77,727.51,2,2.75,1
torchinferno,few_shot,58,2730.43,18.43,2748.86,2,0.73,1
torchinferno,few_shot,59,2753.07,0.45,2753.52,2,0.73,1
torchinferno,few_shot,60,1030.19,0.00,1082.21,1,0.92,1
torchinferno,few_shot,61,2708.78,48.08,2756.86,2,0.73,1
torchinferno,few_shot,62,2711.40,47.64,2759.04,2,0.72,1
torchinferno,few_shot,63,2714.72,49.06,2763.79,2,0.72,1
torchinferno,few_shot,64,2717.51,0.00,2762.92,1,0.36,1
torchinferno,few_shot,65,742.65,5.08,747.73,2,2.67,1
torchinferno,few_shot,66,1037.21,0.00,1090.11,1,0.92,1
torchinferno,few_shot,67,704.47,52.17,756.63,2,2.64,1
torchinferno,few_shot,68,687.21,0.00,754.20,1,1.33,1
torchinferno,few_shot,69,1082.03,0.00,1096.86,1,0.91,1
torchinferno,few_shot,70,1047.20,0.00,1108.43,1,0.90,1
torchinferno,few_shot,71,2745.31,0.00,2775.98,1,0.36,1
torchinferno,few_shot,72,2709.52,70.84,2780.37,2,0.72,1
torchinferno,few_shot,73,2715.33,66.41,2781.74,2,0.72,1
torchinferno,few_shot,74,2702.40,87.49,2789.89,2,0.72,1
torchinferno,few_shot,75,107.59,0.00,110.17,1,9.08,1
torchinferno,few_shot,76,145.08,0.00,148.30,1,6.74,1
torchinferno,few_shot,77,137.64,0.00,151.16,1,6.62,1
torchinferno,few_shot,78,2717.46,0.00,2798.85,1,0.36,1
torchinferno,few_shot,79,109.38,0.00,124.90,1,8.01,1
torchinferno,few_shot,80,135.33,0.00,143.70,1,6.96,1
torchinferno,few_shot,81,139.86,23.80,163.65,2,12.22,1
torchinferno,few_shot,82,118.41,0.00,118.71,1,8.42,1
torchinferno,few_shot,83,121.00,20.86,141.86,2,14.10,1
torchinferno,few_shot,84,123.71,0.00,154.78,1,6.46,1
torchinferno,few_shot,85,161.84,0.00,179.63,1,5.57,1
torchinferno,few_shot,86,119.34,34.09,153.43,2,13.04,1
torchinferno,few_shot,87,118.24,0.00,146.09,1,6.85,1
