model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-03T19:02:07.611728+00:00

Build Times
provider,build_time_s
torchinferno,37.7
vllm,193.4
sglang,158.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,152.12,139.94,sglang
ttft_p99_ms,,597.72,544.87,sglang
tpot_median_ms,,56.46,78.72,vllm
tpot_p99_ms,,208.26,152.57,sglang
e2e_median_ms,,204.41,212.63,vllm
e2e_p99_ms,,663.66,582.40,sglang
throughput_median_tps,,7.05,5.85,vllm
total_output_tokens,,1461,1461,
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,138.32,217.91,vllm
ttft_p99_ms,,418.99,69723.07,vllm
tpot_median_ms,,0.00,0.00,
tpot_p99_ms,,0.00,0.00,
e2e_median_ms,,224.88,371.85,vllm
e2e_p99_ms,,567.99,69881.34,vllm
throughput_median_tps,,4.45,2.69,vllm
total_output_tokens,,1000,1000,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,
unique_final_answers,,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,173.18,163.44,sglang
ttft_p99_ms,,367.36,572.26,vllm
tpot_median_ms,,57.24,101.77,vllm
tpot_p99_ms,,219.71,244.01,vllm
e2e_median_ms,,223.37,266.10,vllm
e2e_p99_ms,,426.78,707.66,vllm
throughput_median_tps,,6.26,5.08,vllm
total_output_tokens,,1448,1462,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,129.18,105.87,sglang
ttft_last_turn_ms,,155.71,190.43,vllm
ttft_growth_ratio,,1.21,1.80,vllm
ttft_first_turn_median_ms,,120.95,93.01,sglang
ttft_first_turn_p99_ms,,341.04,200.94,sglang
ttft_last_turn_median_ms,,152.11,191.72,vllm
ttft_last_turn_p99_ms,,284.60,304.34,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,64.81,74.89,vllm
ttft_p99_ms,,2061.52,431.91,sglang
tpot_median_ms,,30.73,63.63,vllm
tpot_p99_ms,,1792.86,168.50,sglang
e2e_median_ms,,87.96,149.80,vllm
e2e_p99_ms,,2098.55,472.59,sglang
throughput_median_tps,,13.60,9.48,vllm
total_output_tokens,,1464,1485,sglang
num_requests,,992,992,
correctness_rate,,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,87.97,72.07,sglang
ttft_p99_ms,,266.01,393.74,vllm
tpot_median_ms,,15.07,21.80,vllm
tpot_p99_ms,,25.87,27.51,vllm
e2e_median_ms,,678.09,806.05,vllm
e2e_p99_ms,,1025.62,1698.82,vllm
throughput_median_tps,,55.98,42.18,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
vllm,few_shot,10,0,390.12,0.00,397.98,1,2.51,1,,,,,,,10,,,
vllm,few_shot,11,1,422.73,0.00,448.76,1,2.23,1,,,,,,,11,,,
vllm,few_shot,1,2,427.13,0.00,455.11,1,2.20,1,,,,,,,1,,,
vllm,few_shot,8,3,427.75,0.00,454.41,1,2.20,1,,,,,,,8,,,
vllm,few_shot,12,4,422.14,0.00,455.09,1,2.20,1,,,,,,,12,,,
vllm,few_shot,9,5,419.51,0.00,458.28,1,2.18,1,,,,,,,9,,,
vllm,few_shot,17,6,411.11,0.00,450.19,1,2.22,1,,,,,,,17,,,
vllm,few_shot,4,7,424.82,0.00,463.16,1,2.16,1,,,,,,,4,,,
vllm,few_shot,16,8,411.88,60.13,472.00,2,4.24,1,,,,,,,16,,,
vllm,few_shot,0,9,428.67,58.90,487.57,2,4.10,1,,,,,,,0,,,
vllm,few_shot,18,10,416.04,58.77,474.81,2,4.21,1,,,,,,,18,,,
vllm,few_shot,26,11,441.18,0.00,474.02,1,2.11,1,,,,,,,26,,,
vllm,few_shot,6,12,434.13,55.54,489.67,2,4.08,1,,,,,,,6,,,
vllm,few_shot,28,13,439.40,0.00,476.49,1,2.10,1,,,,,,,28,,,
vllm,few_shot,14,14,417.08,71.83,488.91,2,4.09,1,,,,,,,14,,,
vllm,few_shot,24,15,442.25,0.00,480.42,1,2.08,1,,,,,,,24,,,
vllm,few_shot,7,16,449.24,0.00,494.09,1,2.02,1,,,,,,,7,,,
vllm,few_shot,13,17,418.12,74.51,492.62,2,4.06,1,,,,,,,13,,,
vllm,few_shot,25,18,437.52,0.00,483.73,1,2.07,1,,,,,,,25,,,
vllm,few_shot,5,19,459.12,0.00,498.61,1,2.01,1,,,,,,,5,,,
vllm,few_shot,2,20,431.71,70.10,501.82,2,3.99,1,,,,,,,2,,,
vllm,few_shot,20,21,417.41,72.55,489.96,2,4.08,1,,,,,,,20,,,
vllm,few_shot,15,22,421.97,77.35,499.32,2,4.01,1,,,,,,,15,,,
vllm,few_shot,31,23,460.89,0.00,491.96,1,2.03,1,,,,,,,31,,,
vllm,few_shot,3,24,430.41,79.66,510.07,2,3.92,1,,,,,,,3,,,
vllm,few_shot,46,25,474.36,0.00,484.81,1,2.06,1,,,,,,,46,,,
vllm,few_shot,22,26,440.92,58.31,499.23,2,4.01,1,,,,,,,22,,,
vllm,few_shot,34,27,464.10,0.00,496.11,1,2.02,1,,,,,,,34,,,
vllm,few_shot,51,28,475.63,143.52,619.15,2,3.23,1,,,,,,,51,,,
vllm,few_shot,23,29,444.61,193.25,637.86,2,3.14,1,,,,,,,23,,,
vllm,few_shot,19,30,438.66,202.00,640.65,2,3.12,1,,,,,,,19,,,
vllm,few_shot,47,31,451.20,0.00,627.83,1,1.59,1,,,,,,,47,,,
vllm,few_shot,32,32,432.21,208.26,640.48,2,3.12,1,,,,,,,32,,,
vllm,few_shot,61,33,598.68,23.60,622.27,2,3.21,1,,,,,,,61,,,
vllm,few_shot,27,34,445.43,199.96,645.39,2,3.10,1,,,,,,,27,,,
vllm,few_shot,35,35,467.15,0.00,642.63,1,1.56,1,,,,,,,35,,,
vllm,few_shot,74,36,150.73,0.00,175.97,1,5.68,1,,,,,,,74,,,
vllm,few_shot,58,37,603.73,0.00,627.98,1,1.59,1,,,,,,,58,,,
vllm,few_shot,54,38,600.58,30.84,631.42,2,3.17,1,,,,,,,54,,,
vllm,few_shot,42,39,462.47,0.00,642.73,1,1.56,1,,,,,,,42,,,
vllm,few_shot,67,40,182.33,0.00,211.92,1,4.72,1,,,,,,,67,,,
vllm,few_shot,69,41,181.97,0.00,208.89,1,4.79,1,,,,,,,69,,,
vllm,few_shot,60,42,597.72,0.00,634.46,1,1.58,1,,,,,,,60,,,
vllm,few_shot,71,43,181.01,0.00,209.13,1,4.78,1,,,,,,,71,,,
vllm,few_shot,70,44,177.32,34.45,211.77,2,9.44,1,,,,,,,70,,,
vllm,few_shot,62,45,607.70,30.01,637.71,2,3.14,1,,,,,,,62,,,
vllm,few_shot,50,46,482.77,163.48,646.25,2,3.09,1,,,,,,,50,,,
vllm,few_shot,53,47,474.49,0.00,642.90,1,1.56,1,,,,,,,53,,,
