model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-14T23:02:17.723304+00:00

Build Times
provider,build_time_s
torchinferno,37.5
vllm,334.4
sglang,160.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,146.20,76.44,80.35,vllm
ttft_p99_ms,741.96,156.10,519.44,vllm
tpot_median_ms,30.69,37.81,66.06,torchinferno
tpot_p99_ms,41.08,95.43,858.19,torchinferno
e2e_median_ms,170.30,103.13,137.39,vllm
e2e_p99_ms,761.76,190.19,966.49,vllm
throughput_median_tps,6.68,13.32,10.10,vllm
total_output_tokens,1461,1460,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,63.65,77.59,121.83,torchinferno
ttft_p99_ms,334.05,325.52,69877.44,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,83.72,94.16,216.06,torchinferno
e2e_p99_ms,351.85,359.71,69923.00,torchinferno
throughput_median_tps,11.94,10.62,4.63,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,190.17,71.13,83.67,vllm
ttft_p99_ms,1018.93,149.44,448.92,vllm
tpot_median_ms,33.96,36.92,70.98,torchinferno
tpot_p99_ms,43.47,96.60,900.90,torchinferno
e2e_median_ms,217.60,97.37,144.09,vllm
e2e_p99_ms,1042.68,196.97,945.24,vllm
throughput_median_tps,5.13,13.21,9.33,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,427.13,76.72,68.59,sglang
ttft_last_turn_ms,173.25,74.34,89.57,vllm
ttft_growth_ratio,0.41,0.97,1.31,torchinferno
ttft_first_turn_median_ms,210.55,70.61,60.04,sglang
ttft_first_turn_p99_ms,1099.90,144.66,109.43,sglang
ttft_last_turn_median_ms,187.38,68.34,90.37,vllm
ttft_last_turn_p99_ms,208.70,138.33,115.53,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.05,36.85,52.28,vllm
ttft_p99_ms,825.98,2042.00,442.71,sglang
tpot_median_ms,34.73,27.04,351.05,vllm
tpot_p99_ms,72.07,125.59,990.01,torchinferno
e2e_median_ms,74.43,55.10,435.86,vllm
e2e_p99_ms,848.28,2103.72,1068.58,torchinferno
throughput_median_tps,19.76,23.13,3.43,vllm
total_output_tokens,1463,1452,1460,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,187.94,47.25,51.83,vllm
ttft_p99_ms,525.32,62.33,100.22,vllm
tpot_median_ms,19.40,15.57,25.00,vllm
tpot_p99_ms,25.80,17.33,94.32,vllm
e2e_median_ms,876.90,581.28,956.69,vllm
e2e_p99_ms,1662.60,1048.93,1762.05,vllm
throughput_median_tps,40.78,59.67,38.53,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,799.20,0.00,811.52,1,1.23,1,,,,,,,1,,,
torchinferno,few_shot,0,1,816.91,23.74,840.65,2,2.38,1,,,,,,,0,,,
torchinferno,few_shot,10,2,726.49,0.00,738.10,1,1.35,1,,,,,,,10,,,
torchinferno,few_shot,12,3,690.06,0.00,705.07,1,1.42,1,,,,,,,12,,,
torchinferno,few_shot,5,4,808.07,0.00,823.29,1,1.21,1,,,,,,,5,,,
torchinferno,few_shot,29,5,404.69,0.00,420.58,1,2.38,1,,,,,,,29,,,
torchinferno,few_shot,24,6,489.66,0.00,504.87,1,1.98,1,,,,,,,24,,,
torchinferno,few_shot,11,7,706.83,0.00,724.08,1,1.38,1,,,,,,,11,,,
torchinferno,few_shot,4,8,826.39,0.00,842.69,1,1.19,1,,,,,,,4,,,
torchinferno,few_shot,31,9,371.77,0.00,389.35,1,2.57,1,,,,,,,31,,,
torchinferno,few_shot,26,10,455.90,0.00,474.48,1,2.11,1,,,,,,,26,,,
torchinferno,few_shot,17,11,606.95,0.00,626.16,1,1.60,1,,,,,,,17,,,
torchinferno,few_shot,28,12,421.76,0.00,441.81,1,2.26,1,,,,,,,28,,,
torchinferno,few_shot,9,13,741.96,0.00,761.76,1,1.31,1,,,,,,,9,,,
torchinferno,few_shot,8,14,757.74,0.00,780.02,1,1.28,1,,,,,,,8,,,
torchinferno,few_shot,25,15,473.52,0.00,494.80,1,2.02,1,,,,,,,25,,,
torchinferno,few_shot,7,16,773.49,0.00,799.00,1,1.25,1,,,,,,,7,,,
torchinferno,few_shot,3,17,844.06,25.37,869.43,2,2.30,1,,,,,,,3,,,
torchinferno,few_shot,6,18,792.66,26.65,819.31,2,2.44,1,,,,,,,6,,,
torchinferno,few_shot,2,19,860.89,26.53,887.42,2,2.25,1,,,,,,,2,,,
torchinferno,few_shot,16,20,622.37,30.03,652.40,2,3.07,1,,,,,,,16,,,
torchinferno,few_shot,32,21,357.18,27.05,384.23,2,5.21,1,,,,,,,32,,,
torchinferno,few_shot,30,22,389.72,28.73,418.45,2,4.78,1,,,,,,,30,,,
torchinferno,few_shot,20,23,556.16,30.93,587.08,2,3.41,1,,,,,,,20,,,
torchinferno,few_shot,27,24,438.54,31.35,469.88,2,4.26,1,,,,,,,27,,,
torchinferno,few_shot,33,25,337.48,32.24,369.71,2,5.41,1,,,,,,,33,,,
torchinferno,few_shot,14,26,657.85,31.56,689.41,2,2.90,1,,,,,,,14,,,
torchinferno,few_shot,22,27,522.81,32.47,555.28,2,3.60,1,,,,,,,22,,,
torchinferno,few_shot,21,28,540.61,32.48,573.09,2,3.49,1,,,,,,,21,,,
torchinferno,few_shot,15,29,641.34,33.22,674.56,2,2.96,1,,,,,,,15,,,
torchinferno,few_shot,18,30,591.26,33.10,624.35,2,3.20,1,,,,,,,18,,,
torchinferno,few_shot,13,31,675.39,33.89,709.28,2,2.82,1,,,,,,,13,,,
torchinferno,few_shot,23,32,508.22,34.29,542.51,2,3.69,1,,,,,,,23,,,
torchinferno,few_shot,19,33,572.17,38.52,610.69,2,3.27,1,,,,,,,19,,,
torchinferno,few_shot,34,34,407.83,0.00,419.63,1,2.38,1,,,,,,,34,,,
torchinferno,few_shot,38,35,339.01,0.00,353.49,1,2.83,1,,,,,,,38,,,
torchinferno,few_shot,68,36,71.97,0.00,84.85,1,11.79,1,,,,,,,68,,,
torchinferno,few_shot,39,37,323.55,0.00,337.95,1,2.96,1,,,,,,,39,,,
torchinferno,few_shot,65,38,140.46,0.00,153.95,1,6.50,1,,,,,,,65,,,
