model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-21T01:02:49.464910+00:00

Build Times
provider,build_time_s
torchinferno,219.4
vllm,216.9
sglang,245.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,50.95,78.66,90.51,torchinferno
ttft_p99_ms,692.76,162.05,563.46,vllm
tpot_median_ms,47.55,37.62,67.48,vllm
tpot_p99_ms,364.58,96.93,895.63,vllm
e2e_median_ms,89.52,107.70,150.86,torchinferno
e2e_p99_ms,996.22,206.56,881.90,vllm
throughput_median_tps,14.18,12.49,8.85,torchinferno
total_output_tokens,1470,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,31.99,72.92,160.88,torchinferno
ttft_p99_ms,140.41,429.87,71328.07,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,47.89,90.90,256.32,torchinferno
e2e_p99_ms,147.65,493.95,71410.34,torchinferno
throughput_median_tps,20.88,11.00,3.90,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,42.24,84.84,106.13,torchinferno
ttft_p99_ms,952.65,197.60,514.34,vllm
tpot_median_ms,37.60,34.63,90.82,vllm
tpot_p99_ms,47.45,125.85,923.91,torchinferno
e2e_median_ms,76.09,109.37,181.10,torchinferno
e2e_p99_ms,965.04,238.72,985.56,vllm
throughput_median_tps,17.43,12.10,7.05,torchinferno
total_output_tokens,1461,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,378.27,87.20,80.16,sglang
ttft_last_turn_ms,39.21,90.11,104.00,torchinferno
ttft_growth_ratio,0.10,1.03,1.30,torchinferno
ttft_first_turn_median_ms,204.11,79.35,79.96,vllm
ttft_first_turn_p99_ms,1014.39,194.29,121.23,sglang
ttft_last_turn_median_ms,39.64,77.76,101.61,torchinferno
ttft_last_turn_p99_ms,49.13,192.36,135.54,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,24.11,37.66,63.12,torchinferno
ttft_p99_ms,113.36,2032.69,164.62,torchinferno
tpot_median_ms,16.33,24.53,393.08,torchinferno
tpot_p99_ms,19.50,1789.54,1046.89,torchinferno
e2e_median_ms,36.30,56.63,495.69,torchinferno
e2e_p99_ms,128.53,3710.18,1157.67,torchinferno
throughput_median_tps,37.79,22.73,2.91,torchinferno
total_output_tokens,1465,1474,1475,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,46.02,49.62,57.57,torchinferno
ttft_p99_ms,319.83,70.54,141.84,vllm
tpot_median_ms,13.96,15.35,26.80,torchinferno
tpot_p99_ms,21.59,17.98,118.52,vllm
e2e_median_ms,531.11,578.84,1050.72,torchinferno
e2e_p99_ms,1092.36,1044.71,1948.15,vllm
throughput_median_tps,65.47,60.48,35.87,torchinferno
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,0,0,34.28,17.29,51.58,2,38.78,1,,,,,,,0,,,
torchinferno,few_shot,1,1,784.45,0.00,812.71,1,1.23,1,,,,,,,1,,,
torchinferno,few_shot,29,2,341.39,0.00,664.99,1,1.50,1,,,,,,,29,,,
torchinferno,few_shot,17,3,542.47,0.00,869.31,1,1.15,1,,,,,,,17,,,
torchinferno,few_shot,11,4,642.76,0.00,971.15,1,1.03,1,,,,,,,11,,,
torchinferno,few_shot,64,5,780.95,0.00,1109.97,1,0.90,1,,,,,,,64,,,
torchinferno,few_shot,12,6,628.13,0.00,955.28,1,1.05,1,,,,,,,12,,,
torchinferno,few_shot,25,7,404.14,0.00,735.59,1,1.36,1,,,,,,,25,,,
torchinferno,few_shot,4,8,763.85,0.00,1093.20,1,0.91,1,,,,,,,4,,,
torchinferno,few_shot,7,9,710.53,0.00,1041.38,1,0.96,1,,,,,,,7,,,
torchinferno,few_shot,34,10,256.43,0.00,584.47,1,1.71,1,,,,,,,34,,,
torchinferno,few_shot,8,11,692.76,0.00,1025.32,1,0.98,1,,,,,,,8,,,
torchinferno,few_shot,28,12,354.32,0.00,687.08,1,1.46,1,,,,,,,28,,,
torchinferno,few_shot,46,13,52.65,0.00,382.91,1,2.61,1,,,,,,,46,,,
torchinferno,few_shot,2,14,764.63,366.73,1131.36,2,1.77,1,,,,,,,2,,,
torchinferno,few_shot,26,15,389.73,0.00,722.78,1,1.38,1,,,,,,,26,,,
torchinferno,few_shot,9,16,678.07,0.00,1011.56,1,0.99,1,,,,,,,9,,,
torchinferno,few_shot,39,17,167.86,0.00,503.95,1,1.98,1,,,,,,,39,,,
torchinferno,few_shot,31,18,304.34,0.00,639.98,1,1.56,1,,,,,,,31,,,
torchinferno,few_shot,10,19,658.93,0.00,996.22,1,1.00,1,,,,,,,10,,,
torchinferno,few_shot,41,20,137.30,0.00,471.55,1,2.12,1,,,,,,,41,,,
torchinferno,few_shot,42,21,117.22,0.00,455.24,1,2.20,1,,,,,,,42,,,
torchinferno,few_shot,43,22,101.34,0.00,439.84,1,2.27,1,,,,,,,43,,,
torchinferno,few_shot,5,23,743.91,0.00,1085.61,1,0.92,1,,,,,,,5,,,
torchinferno,few_shot,24,24,425.38,0.00,763.13,1,1.31,1,,,,,,,24,,,
torchinferno,few_shot,37,25,201.90,0.00,544.21,1,1.84,1,,,,,,,37,,,
torchinferno,few_shot,38,26,184.32,0.00,527.63,1,1.90,1,,,,,,,38,,,
torchinferno,few_shot,30,27,322.10,354.51,676.61,2,2.96,1,,,,,,,30,,,
torchinferno,few_shot,6,28,728.45,355.64,1084.08,2,1.84,1,,,,,,,6,,,
torchinferno,few_shot,14,29,590.76,358.09,948.85,2,2.11,1,,,,,,,14,,,
torchinferno,few_shot,32,30,290.73,353.89,644.62,2,3.10,1,,,,,,,32,,,
torchinferno,few_shot,21,31,474.03,358.01,832.04,2,2.40,1,,,,,,,21,,,
torchinferno,few_shot,3,32,781.21,357.74,1138.96,2,1.76,1,,,,,,,3,,,
torchinferno,few_shot,33,33,270.40,359.57,629.97,2,3.17,1,,,,,,,33,,,
torchinferno,few_shot,16,34,561.47,357.07,918.54,2,2.18,1,,,,,,,16,,,
torchinferno,few_shot,13,35,609.73,359.90,969.64,2,2.06,1,,,,,,,13,,,
torchinferno,few_shot,20,36,489.59,362.46,852.05,2,2.35,1,,,,,,,20,,,
torchinferno,few_shot,40,37,151.78,361.58,513.35,2,3.90,0,,,,,,,40,,,
torchinferno,few_shot,22,38,459.15,360.17,819.32,2,2.44,1,,,,,,,22,,,
torchinferno,few_shot,15,39,573.54,364.58,938.12,2,2.13,1,,,,,,,15,,,
