model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T11:03:23.176442+00:00

Build Times
provider,build_time_s
torchinferno,494.7
vllm,676.2
sglang,279.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,160.85,139.47,150.36,vllm
ttft_p99_ms,2437.07,230.81,603.77,vllm
tpot_median_ms,46.67,49.60,75.67,torchinferno
tpot_p99_ms,828.69,137.57,180.76,vllm
e2e_median_ms,198.33,178.57,226.00,vllm
e2e_p99_ms,2491.19,287.96,740.82,vllm
throughput_median_tps,5.84,7.88,5.29,vllm
total_output_tokens,1461,1454,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,249.22,210.38,220.36,vllm
ttft_p99_ms,664.81,505.25,70374.86,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,269.64,231.94,360.23,vllm
e2e_p99_ms,686.21,530.13,70440.41,vllm
throughput_median_tps,3.71,4.31,2.78,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,316.41,155.22,161.24,vllm
ttft_p99_ms,592.22,308.38,281.30,sglang
tpot_median_ms,57.78,58.51,101.51,torchinferno
tpot_p99_ms,361.22,177.35,228.89,vllm
e2e_median_ms,371.91,201.14,253.50,vllm
e2e_p99_ms,640.48,395.79,439.56,vllm
throughput_median_tps,3.59,6.95,5.28,vllm
total_output_tokens,1446,1450,1448,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,437.47,131.26,114.74,sglang
ttft_last_turn_ms,405.66,148.17,188.60,vllm
ttft_growth_ratio,0.93,1.13,1.64,torchinferno
ttft_first_turn_median_ms,440.69,129.55,109.81,sglang
ttft_first_turn_p99_ms,616.46,286.37,192.46,sglang
ttft_last_turn_median_ms,409.73,148.46,180.89,vllm
ttft_last_turn_p99_ms,464.73,279.14,299.84,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,208.23,63.02,78.67,vllm
ttft_p99_ms,430.85,2055.72,553.57,torchinferno
tpot_median_ms,59.11,31.55,52.51,vllm
tpot_p99_ms,103.12,1712.67,519.54,torchinferno
e2e_median_ms,257.50,85.55,138.54,vllm
e2e_p99_ms,494.88,3731.76,596.19,torchinferno
throughput_median_tps,5.41,14.12,9.96,vllm
total_output_tokens,1502,1464,1463,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,317.74,76.45,68.62,sglang
ttft_p99_ms,924.20,210.36,226.22,vllm
tpot_median_ms,22.91,15.04,22.11,vllm
tpot_p99_ms,58.18,19.62,26.02,vllm
e2e_median_ms,1119.76,629.65,844.11,vllm
e2e_p99_ms,2063.32,1010.30,1580.98,vllm
throughput_median_tps,32.48,57.59,42.12,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_conversation_idx,metadata_turn_idx
torchinferno,few_shot,0,1547.03,0.00,2011.26,1,0.50,1,,
torchinferno,few_shot,1,1550.15,0.00,2015.15,1,0.50,1,,
torchinferno,few_shot,2,1551.58,0.00,2020.26,1,0.49,1,,
torchinferno,few_shot,3,1554.62,0.00,2021.64,1,0.49,1,,
torchinferno,few_shot,4,1545.64,0.00,2019.75,1,0.50,1,,
torchinferno,few_shot,5,1548.17,0.00,2019.94,1,0.50,1,,
torchinferno,few_shot,6,1548.34,0.00,2024.55,1,0.49,1,,
torchinferno,few_shot,7,1543.50,0.00,2023.68,1,0.49,1,,
torchinferno,few_shot,8,1551.11,0.00,2028.00,1,0.49,1,,
torchinferno,few_shot,9,1542.70,0.00,2025.52,1,0.49,1,,
torchinferno,few_shot,10,1549.51,0.00,2029.86,1,0.49,1,,
torchinferno,few_shot,11,1551.21,0.00,2031.16,1,0.49,1,,
torchinferno,few_shot,12,1546.63,0.00,2030.39,1,0.49,1,,
torchinferno,few_shot,13,1551.20,0.00,2040.53,1,0.49,1,,
torchinferno,few_shot,14,1552.11,812.00,2364.11,2,0.85,1,,
torchinferno,few_shot,15,1545.30,815.03,2360.34,2,0.85,1,,
torchinferno,few_shot,16,1545.35,815.96,2361.30,2,0.85,1,,
torchinferno,few_shot,17,1550.39,813.81,2364.20,2,0.85,1,,
torchinferno,few_shot,18,1550.28,814.58,2364.86,2,0.85,1,,
torchinferno,few_shot,19,1549.53,815.28,2364.80,2,0.85,1,,
torchinferno,few_shot,20,1550.19,817.01,2367.20,2,0.84,1,,
torchinferno,few_shot,21,1551.30,817.91,2369.21,2,0.84,1,,
torchinferno,few_shot,22,1551.54,826.12,2377.66,2,0.84,1,,
torchinferno,few_shot,23,1544.65,828.69,2373.34,2,0.84,1,,
torchinferno,few_shot,24,1546.02,831.23,2377.25,2,0.84,1,,
torchinferno,few_shot,25,1546.95,830.29,2377.23,2,0.84,1,,
torchinferno,few_shot,26,1548.70,833.93,2382.63,2,0.84,1,,
torchinferno,few_shot,27,1547.06,831.31,2378.37,2,0.84,1,,
torchinferno,few_shot,28,2434.06,0.00,2447.23,1,0.41,1,,
torchinferno,few_shot,29,2435.90,0.00,2446.55,1,0.41,1,,
torchinferno,few_shot,30,2438.66,0.00,2451.64,1,0.41,1,,
torchinferno,few_shot,31,2434.01,0.00,2453.07,1,0.41,1,,
torchinferno,few_shot,32,2435.01,0.00,2452.33,1,0.41,1,,
torchinferno,few_shot,33,2432.19,0.00,2455.91,1,0.41,1,,
torchinferno,few_shot,34,2434.80,0.00,2454.25,1,0.41,1,,
torchinferno,few_shot,35,2432.10,28.69,2460.79,2,0.81,1,,
torchinferno,few_shot,36,2435.66,0.00,2460.19,1,0.41,1,,
torchinferno,few_shot,37,2434.40,0.00,2461.25,1,0.41,1,,
torchinferno,few_shot,38,2431.08,37.92,2468.99,2,0.81,1,,
torchinferno,few_shot,39,2430.82,0.00,2466.84,1,0.41,1,,
torchinferno,few_shot,40,2438.77,0.00,2472.19,1,0.40,1,,
torchinferno,few_shot,41,2436.75,37.20,2473.95,2,0.81,1,,
torchinferno,few_shot,42,2429.30,0.00,2472.26,1,0.40,1,,
torchinferno,few_shot,43,2438.91,0.00,2476.70,1,0.40,1,,
torchinferno,few_shot,44,2428.43,44.53,2472.95,2,0.81,1,,
torchinferno,few_shot,45,2430.33,45.18,2475.51,2,0.81,1,,
