model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-13T13:02:49.402115

Build Times
provider,build_time_s
torchinferno,438.5
vllm,1298.9
sglang,200.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,291.92,154.65,142.87,sglang
ttft_p99_ms,1845.99,265.50,651.63,vllm
tpot_median_ms,96.49,50.68,76.68,vllm
tpot_p99_ms,634.80,142.56,393.54,vllm
e2e_median_ms,381.09,205.75,209.91,vllm
e2e_p99_ms,2469.99,337.42,893.58,vllm
throughput_median_tps,3.22,7.17,5.81,vllm
total_output_tokens,1460,1456,1461,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,337.22,204.72,204.67,sglang
ttft_p99_ms,586.26,484.39,71210.32,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,451.41,227.50,338.31,vllm
e2e_p99_ms,726.50,496.64,71282.59,vllm
throughput_median_tps,2.22,4.40,2.96,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,699.77,172.85,172.88,vllm
ttft_p99_ms,1914.54,315.72,560.35,vllm
tpot_median_ms,66.59,63.31,100.87,vllm
tpot_p99_ms,198.10,195.73,524.38,vllm
e2e_median_ms,754.98,220.14,277.52,vllm
e2e_p99_ms,1969.49,415.04,638.82,vllm
throughput_median_tps,1.86,6.14,4.75,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,795.56,142.84,304.72,vllm
ttft_last_turn_ms,789.10,183.72,204.64,vllm
ttft_growth_ratio,0.99,1.29,0.67,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,283.12,60.46,83.22,vllm
ttft_p99_ms,1273.09,156.33,595.37,vllm
tpot_median_ms,60.95,27.97,45.28,vllm
tpot_p99_ms,352.86,85.47,604.27,vllm
e2e_median_ms,325.16,82.35,145.58,vllm
e2e_p99_ms,1425.85,183.64,674.08,vllm
throughput_median_tps,3.84,14.91,9.53,vllm
total_output_tokens,1469,1464,1472,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,332.49,65.37,70.44,vllm
ttft_p99_ms,1379.36,133.59,127.96,sglang
tpot_median_ms,21.60,14.82,22.11,vllm
tpot_p99_ms,39.49,23.77,26.40,vllm
e2e_median_ms,1160.67,596.50,813.06,vllm
e2e_p99_ms,2290.24,991.31,1559.09,vllm
throughput_median_tps,32.67,60.35,42.38,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1239.68,0.00,1249.10,1,0.80,1
torchinferno,few_shot,1,1240.70,0.00,1250.14,1,0.80,1
torchinferno,few_shot,2,1239.54,0.00,1252.34,1,0.80,1
torchinferno,few_shot,3,1241.15,0.00,1253.38,1,0.80,1
torchinferno,few_shot,4,1239.33,226.48,1465.81,2,1.36,1
torchinferno,few_shot,5,1243.28,226.78,1470.06,2,1.36,1
torchinferno,few_shot,6,1242.16,227.95,1470.11,2,1.36,1
torchinferno,few_shot,7,1828.66,0.00,2374.55,1,0.42,1
torchinferno,few_shot,8,1842.88,0.00,2389.53,1,0.42,1
torchinferno,few_shot,9,1821.56,0.00,2379.24,1,0.42,1
torchinferno,few_shot,10,1826.26,0.00,2384.28,1,0.42,1
torchinferno,few_shot,11,1820.22,0.00,2383.64,1,0.42,1
torchinferno,few_shot,12,1835.54,0.00,2395.64,1,0.42,1
torchinferno,few_shot,13,1824.33,0.00,2388.01,1,0.42,1
torchinferno,few_shot,14,1834.18,0.00,2406.99,1,0.42,1
torchinferno,few_shot,15,1821.82,0.00,2392.71,1,0.42,1
torchinferno,few_shot,16,1839.31,569.04,2408.34,2,0.83,1
torchinferno,few_shot,17,1845.99,568.38,2414.37,2,0.83,1
torchinferno,few_shot,18,1821.15,580.32,2401.46,2,0.83,1
torchinferno,few_shot,19,1820.07,0.00,2400.00,1,0.42,1
torchinferno,few_shot,20,1822.13,0.00,2402.15,1,0.42,1
torchinferno,few_shot,21,2401.56,0.00,2401.88,1,0.42,1
torchinferno,few_shot,22,1826.10,579.24,2405.34,2,0.83,1
torchinferno,few_shot,23,1816.26,588.50,2404.75,2,0.83,1
torchinferno,few_shot,24,1817.77,0.00,2408.62,1,0.42,1
torchinferno,few_shot,25,1832.03,0.00,2425.98,1,0.41,1
torchinferno,few_shot,26,2370.92,37.99,2408.91,2,0.83,1
torchinferno,few_shot,27,1826.78,586.73,2413.51,2,0.83,1
torchinferno,few_shot,28,2379.41,31.81,2411.22,2,0.83,1
torchinferno,few_shot,29,1828.11,601.84,2429.95,2,0.82,1
torchinferno,few_shot,30,1822.43,0.00,2419.10,1,0.41,1
torchinferno,few_shot,31,1833.09,597.90,2430.99,2,0.82,1
torchinferno,few_shot,32,1140.73,0.00,1182.73,1,0.85,1
torchinferno,few_shot,33,1838.70,594.64,2433.34,2,0.82,1
torchinferno,few_shot,34,1825.39,600.95,2426.34,2,0.82,1
torchinferno,few_shot,35,1820.54,611.67,2432.22,2,0.82,1
torchinferno,few_shot,36,1816.24,0.00,2432.21,1,0.41,1
torchinferno,few_shot,37,1141.15,0.00,1197.83,1,0.83,1
torchinferno,few_shot,38,1819.79,0.00,2438.31,1,0.41,1
torchinferno,few_shot,39,2371.31,0.00,2433.04,1,0.41,1
torchinferno,few_shot,40,1829.50,611.93,2441.43,2,0.82,1
torchinferno,few_shot,41,1819.48,0.00,2437.50,1,0.41,1
torchinferno,few_shot,42,1835.13,614.88,2450.01,2,0.82,1
torchinferno,few_shot,43,1830.97,622.23,2453.20,2,0.82,1
torchinferno,few_shot,44,1203.09,0.00,1203.37,1,0.83,1
