model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-17T05:02:52.270876+00:00

Build Times
provider,build_time_s
torchinferno,43.9
vllm,307.9
sglang,170.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,139.73,79.26,79.87,vllm
ttft_p99_ms,740.82,150.93,546.01,vllm
tpot_median_ms,32.30,40.92,68.56,torchinferno
tpot_p99_ms,45.46,88.44,844.13,torchinferno
e2e_median_ms,164.96,110.97,135.59,vllm
e2e_p99_ms,757.25,216.56,953.96,vllm
throughput_median_tps,7.08,11.99,9.91,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,54.33,71.03,127.06,torchinferno
ttft_p99_ms,322.61,384.39,70071.00,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,71.47,87.78,209.14,torchinferno
e2e_p99_ms,324.10,407.81,70135.03,torchinferno
throughput_median_tps,13.99,11.39,4.78,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.64,86.12,83.03,sglang
ttft_p99_ms,1029.88,162.34,520.61,vllm
tpot_median_ms,35.07,47.74,77.86,torchinferno
tpot_p99_ms,48.16,85.56,904.39,torchinferno
e2e_median_ms,219.94,118.55,143.19,vllm
e2e_p99_ms,1047.41,233.47,942.79,vllm
throughput_median_tps,5.14,10.83,9.33,vllm
total_output_tokens,1459,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,440.46,89.60,66.12,sglang
ttft_last_turn_ms,176.72,93.75,91.76,sglang
ttft_growth_ratio,0.40,1.05,1.39,torchinferno
ttft_first_turn_median_ms,243.74,76.60,61.64,sglang
ttft_first_turn_p99_ms,1113.10,162.92,107.83,sglang
ttft_last_turn_median_ms,185.32,80.07,94.80,vllm
ttft_last_turn_p99_ms,256.55,159.11,118.16,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.69,37.78,53.33,vllm
ttft_p99_ms,777.60,109.36,171.33,vllm
tpot_median_ms,34.89,27.31,340.77,vllm
tpot_p99_ms,73.58,35.48,1006.28,vllm
e2e_median_ms,73.52,56.17,429.94,vllm
e2e_p99_ms,813.05,142.09,1086.84,vllm
throughput_median_tps,19.40,22.41,3.40,vllm
total_output_tokens,1462,1459,1464,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,183.26,48.43,53.43,vllm
ttft_p99_ms,520.36,66.22,452.22,vllm
tpot_median_ms,19.13,15.37,25.02,vllm
tpot_p99_ms,24.79,17.53,107.47,vllm
e2e_median_ms,875.44,584.06,948.31,vllm
e2e_p99_ms,1770.73,1038.07,1820.41,vllm
throughput_median_tps,40.83,60.31,38.51,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,799.43,0.00,810.94,1,1.23,1,,,,,,,1,,,
torchinferno,few_shot,0,1,816.58,23.82,840.40,2,2.38,1,,,,,,,0,,,
torchinferno,few_shot,5,2,806.73,0.00,820.79,1,1.22,1,,,,,,,5,,,
torchinferno,few_shot,17,3,600.33,0.00,615.74,1,1.62,1,,,,,,,17,,,
torchinferno,few_shot,8,4,756.09,0.00,771.10,1,1.30,1,,,,,,,8,,,
torchinferno,few_shot,24,5,482.19,0.00,498.29,1,2.01,1,,,,,,,24,,,
torchinferno,few_shot,28,6,417.81,0.00,431.80,1,2.32,1,,,,,,,28,,,
torchinferno,few_shot,26,7,450.34,0.00,466.44,1,2.14,1,,,,,,,26,,,
torchinferno,few_shot,9,8,740.82,0.00,757.25,1,1.32,1,,,,,,,9,,,
torchinferno,few_shot,25,9,466.50,0.00,484.52,1,2.06,1,,,,,,,25,,,
torchinferno,few_shot,29,10,398.58,0.00,418.29,1,2.39,1,,,,,,,29,,,
torchinferno,few_shot,11,11,704.28,0.00,725.81,1,1.38,1,,,,,,,11,,,
torchinferno,few_shot,10,12,722.33,0.00,743.05,1,1.35,1,,,,,,,10,,,
torchinferno,few_shot,7,13,771.87,0.00,794.79,1,1.26,1,,,,,,,7,,,
torchinferno,few_shot,4,14,823.75,0.00,848.95,1,1.18,1,,,,,,,4,,,
torchinferno,few_shot,12,15,690.90,0.00,714.26,1,1.40,1,,,,,,,12,,,
torchinferno,few_shot,2,16,859.46,26.91,886.37,2,2.26,1,,,,,,,2,,,
torchinferno,few_shot,31,17,365.47,0.00,393.81,1,2.54,1,,,,,,,31,,,
torchinferno,few_shot,18,18,583.52,30.54,614.06,2,3.26,1,,,,,,,18,,,
torchinferno,few_shot,22,19,517.73,28.93,546.66,2,3.66,1,,,,,,,22,,,
torchinferno,few_shot,33,20,331.21,30.14,361.35,2,5.53,1,,,,,,,33,,,
torchinferno,few_shot,23,21,499.77,32.13,531.91,2,3.76,1,,,,,,,23,,,
torchinferno,few_shot,16,22,620.27,31.03,651.31,2,3.07,1,,,,,,,16,,,
torchinferno,few_shot,20,23,551.86,32.17,584.03,2,3.42,1,,,,,,,20,,,
torchinferno,few_shot,3,24,842.90,31.89,874.80,2,2.29,1,,,,,,,3,,,
torchinferno,few_shot,13,25,668.81,35.57,704.38,2,2.84,1,,,,,,,13,,,
torchinferno,few_shot,19,26,566.92,35.55,602.47,2,3.32,1,,,,,,,19,,,
torchinferno,few_shot,21,27,532.91,35.92,568.83,2,3.52,1,,,,,,,21,,,
torchinferno,few_shot,6,28,792.52,34.63,827.15,2,2.42,1,,,,,,,6,,,
torchinferno,few_shot,14,29,651.57,39.14,690.72,2,2.90,1,,,,,,,14,,,
torchinferno,few_shot,15,30,636.31,38.38,674.69,2,2.96,1,,,,,,,15,,,
torchinferno,few_shot,27,31,434.20,39.00,473.20,2,4.23,1,,,,,,,27,,,
torchinferno,few_shot,32,32,349.90,40.00,389.89,2,5.13,1,,,,,,,32,,,
torchinferno,few_shot,30,33,383.67,43.75,427.43,2,4.68,1,,,,,,,30,,,
torchinferno,few_shot,34,34,395.05,0.00,407.83,1,2.45,1,,,,,,,34,,,
torchinferno,few_shot,66,35,69.20,0.00,82.21,1,12.16,1,,,,,,,66,,,
torchinferno,few_shot,41,36,272.13,0.00,287.52,1,3.48,1,,,,,,,41,,,
torchinferno,few_shot,47,37,173.22,0.00,186.34,1,5.37,1,,,,,,,47,,,
torchinferno,few_shot,74,38,62.52,0.00,77.96,1,12.83,1,,,,,,,74,,,
