model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-16T09:08:58.692083

Build Times
provider,build_time_s
torchinferno,402.8
vllm,1078.9
sglang,169.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,283.47,159.86,139.67,sglang
ttft_p99_ms,1810.16,476.06,8226.30,vllm
tpot_median_ms,151.67,57.62,77.62,vllm
tpot_p99_ms,213.20,164.95,7305.43,vllm
e2e_median_ms,367.05,211.95,209.85,sglang
e2e_p99_ms,1906.98,595.16,15508.39,vllm
throughput_median_tps,3.97,6.96,5.76,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,286.17,196.20,198.37,vllm
ttft_p99_ms,1667.28,268.99,70138.60,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,308.87,263.19,332.37,vllm
e2e_p99_ms,1692.04,342.91,70217.12,vllm
throughput_median_tps,3.24,3.80,3.01,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,536.67,173.92,158.34,sglang
ttft_p99_ms,1444.87,326.14,560.91,vllm
tpot_median_ms,115.20,60.47,104.66,vllm
tpot_p99_ms,428.09,192.81,237.96,vllm
e2e_median_ms,615.47,223.42,260.27,vllm
e2e_p99_ms,1676.71,410.56,632.42,vllm
throughput_median_tps,2.06,6.33,5.15,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,786.90,133.86,108.08,sglang
ttft_last_turn_ms,498.80,164.12,184.33,vllm
ttft_growth_ratio,0.63,1.23,1.71,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,323.13,57.69,72.48,vllm
ttft_p99_ms,874.58,111.00,445.39,vllm
tpot_median_ms,130.83,26.59,66.25,vllm
tpot_p99_ms,156.23,91.29,195.17,vllm
e2e_median_ms,420.80,77.87,156.80,vllm
e2e_p99_ms,1000.08,150.72,492.15,vllm
throughput_median_tps,3.54,15.74,9.33,vllm
total_output_tokens,1479,1473,1459,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,69.04,67.65,sglang
ttft_p99_ms,,190.69,105.17,sglang
tpot_median_ms,,14.92,22.33,vllm
tpot_p99_ms,,24.80,26.86,vllm
e2e_median_ms,,618.32,830.03,vllm
e2e_p99_ms,,1021.91,1598.73,vllm
throughput_median_tps,,59.34,41.94,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,847.40,197.24,1044.64,2,1.91,1
torchinferno,few_shot,1,1514.04,0.00,1599.44,1,0.63,1
torchinferno,few_shot,2,1516.55,0.00,1604.39,1,0.62,1
torchinferno,few_shot,3,1514.95,0.00,1600.83,1,0.62,1
torchinferno,few_shot,4,1520.76,0.00,1606.93,1,0.62,1
torchinferno,few_shot,5,1514.63,0.00,1604.68,1,0.62,1
torchinferno,few_shot,6,1514.20,0.00,1609.96,1,0.62,1
torchinferno,few_shot,7,1525.83,0.00,1613.01,1,0.62,1
torchinferno,few_shot,8,1520.16,0.00,1609.89,1,0.62,1
torchinferno,few_shot,9,1523.28,0.00,1612.49,1,0.62,1
torchinferno,few_shot,10,1518.88,0.00,1616.76,1,0.62,1
torchinferno,few_shot,11,1520.42,0.00,1619.03,1,0.62,1
torchinferno,few_shot,12,1513.48,0.00,1617.36,1,0.62,1
torchinferno,few_shot,13,1519.98,0.00,1624.31,1,0.62,1
torchinferno,few_shot,14,1516.09,0.00,1626.16,1,0.61,1
torchinferno,few_shot,15,1521.71,0.00,1623.31,1,0.62,1
torchinferno,few_shot,16,1518.88,0.00,1631.11,1,0.61,1
torchinferno,few_shot,17,1514.29,0.00,1630.06,1,0.61,1
torchinferno,few_shot,18,1520.84,0.00,1626.31,1,0.61,1
torchinferno,few_shot,19,1523.46,0.00,1628.09,1,0.61,1
torchinferno,few_shot,20,1516.59,0.00,1631.39,1,0.61,1
torchinferno,few_shot,21,1510.60,0.00,1630.27,1,0.61,1
torchinferno,few_shot,22,1520.53,0.00,1636.26,1,0.61,1
torchinferno,few_shot,23,1525.03,0.00,1636.33,1,0.61,1
torchinferno,few_shot,24,1519.03,0.00,1638.97,1,0.61,1
torchinferno,few_shot,25,1513.59,0.00,1643.59,1,0.61,1
torchinferno,few_shot,26,1521.04,159.83,1680.87,2,1.19,1
torchinferno,few_shot,27,1521.08,161.51,1682.59,2,1.19,1
torchinferno,few_shot,28,1527.16,161.03,1688.19,2,1.18,1
torchinferno,few_shot,29,1518.41,165.89,1684.30,2,1.19,1
torchinferno,few_shot,30,1525.40,162.59,1687.99,2,1.18,1
torchinferno,few_shot,31,1517.72,174.99,1692.71,2,1.18,1
torchinferno,few_shot,32,1514.28,172.70,1686.98,2,1.19,1
torchinferno,few_shot,33,1514.42,175.68,1690.10,2,1.18,1
torchinferno,few_shot,34,1518.82,172.23,1691.05,2,1.18,1
torchinferno,few_shot,35,1514.81,179.25,1694.06,2,1.18,1
torchinferno,few_shot,36,1512.51,186.63,1699.14,2,1.18,1
torchinferno,few_shot,37,1528.82,178.29,1707.10,2,1.17,1
torchinferno,few_shot,38,1515.59,191.30,1706.89,2,1.17,1
torchinferno,few_shot,39,1519.36,190.59,1709.95,2,1.17,1
torchinferno,few_shot,40,1514.66,194.07,1708.73,2,1.17,1
torchinferno,few_shot,41,1529.40,187.37,1716.77,2,1.16,1
torchinferno,few_shot,42,1515.24,199.71,1714.95,2,1.17,1
torchinferno,few_shot,43,1521.76,193.28,1715.04,2,1.17,1
torchinferno,few_shot,44,1515.95,200.63,1716.58,2,1.17,1
