model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-18T11:59:52.953095+00:00

Build Times
provider,build_time_s
torchinferno,43.8
vllm,353.4
sglang,196.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,142.26,80.52,93.15,vllm
ttft_p99_ms,722.69,157.00,579.90,vllm
tpot_median_ms,31.49,36.85,73.34,torchinferno
tpot_p99_ms,42.80,93.77,851.24,torchinferno
e2e_median_ms,166.40,111.11,154.94,vllm
e2e_p99_ms,740.96,199.86,946.38,vllm
throughput_median_tps,6.93,12.00,8.31,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,76.66,74.10,162.34,vllm
ttft_p99_ms,607.63,364.58,70968.45,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,95.80,90.71,235.01,vllm
e2e_p99_ms,620.73,417.10,71005.27,vllm
throughput_median_tps,10.44,11.02,4.26,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,192.22,71.73,94.20,vllm
ttft_p99_ms,1045.57,174.72,560.99,vllm
tpot_median_ms,34.19,34.70,82.03,torchinferno
tpot_p99_ms,47.33,94.45,939.05,torchinferno
e2e_median_ms,220.81,95.83,160.21,vllm
e2e_p99_ms,1055.84,219.89,987.24,vllm
throughput_median_tps,5.17,13.71,8.25,vllm
total_output_tokens,1445,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,432.93,74.78,75.16,vllm
ttft_last_turn_ms,177.69,82.12,102.15,vllm
ttft_growth_ratio,0.41,1.10,1.36,torchinferno
ttft_first_turn_median_ms,205.29,71.20,71.11,sglang
ttft_first_turn_p99_ms,1121.06,175.62,120.79,sglang
ttft_last_turn_median_ms,188.58,70.00,98.94,vllm
ttft_last_turn_p99_ms,209.36,183.45,133.73,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.39,35.72,66.43,vllm
ttft_p99_ms,779.12,98.32,461.04,vllm
tpot_median_ms,34.95,23.44,387.61,vllm
tpot_p99_ms,79.46,34.36,1091.98,vllm
e2e_median_ms,73.43,53.98,447.36,vllm
e2e_p99_ms,807.69,133.60,1154.55,vllm
throughput_median_tps,19.36,23.81,3.18,vllm
total_output_tokens,1482,1475,1452,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,192.38,46.23,57.83,vllm
ttft_p99_ms,447.88,63.45,83.34,vllm
tpot_median_ms,19.07,15.06,27.99,vllm
tpot_p99_ms,25.00,17.35,125.86,vllm
e2e_median_ms,904.57,570.31,1097.86,vllm
e2e_p99_ms,1527.71,1021.49,2072.35,vllm
throughput_median_tps,40.90,61.71,34.50,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,781.57,0.00,793.55,1,1.26,1,,,,,,,1,,,
torchinferno,few_shot,0,1,799.33,23.91,823.25,2,2.43,1,,,,,,,0,,,
torchinferno,few_shot,7,2,755.32,0.00,770.34,1,1.30,1,,,,,,,7,,,
torchinferno,few_shot,29,3,383.37,0.00,397.77,1,2.51,1,,,,,,,29,,,
torchinferno,few_shot,10,4,706.71,0.00,721.19,1,1.39,1,,,,,,,10,,,
torchinferno,few_shot,8,5,738.24,0.00,756.06,1,1.32,1,,,,,,,8,,,
torchinferno,few_shot,17,6,585.79,0.00,603.88,1,1.66,1,,,,,,,17,,,
torchinferno,few_shot,24,7,469.75,0.00,485.55,1,2.06,1,,,,,,,24,,,
torchinferno,few_shot,9,8,722.69,0.00,740.96,1,1.35,1,,,,,,,9,,,
torchinferno,few_shot,4,9,805.86,0.00,826.20,1,1.21,1,,,,,,,4,,,
torchinferno,few_shot,5,10,790.75,0.00,809.95,1,1.23,1,,,,,,,5,,,
torchinferno,few_shot,11,11,690.25,0.00,709.04,1,1.41,1,,,,,,,11,,,
torchinferno,few_shot,26,12,433.10,0.00,454.83,1,2.20,1,,,,,,,26,,,
torchinferno,few_shot,25,13,450.29,0.00,472.73,1,2.12,1,,,,,,,25,,,
torchinferno,few_shot,12,14,670.76,0.00,695.65,1,1.44,1,,,,,,,12,,,
torchinferno,few_shot,31,15,348.98,0.00,373.53,1,2.68,1,,,,,,,31,,,
torchinferno,few_shot,28,16,401.21,0.00,426.98,1,2.34,1,,,,,,,28,,,
torchinferno,few_shot,6,17,772.25,29.74,801.99,2,2.49,1,,,,,,,6,,,
torchinferno,few_shot,16,18,603.53,29.94,633.47,2,3.16,1,,,,,,,16,,,
torchinferno,few_shot,18,19,570.47,29.57,600.05,2,3.33,1,,,,,,,18,,,
torchinferno,few_shot,27,20,417.33,30.51,447.84,2,4.47,1,,,,,,,27,,,
torchinferno,few_shot,15,21,620.91,31.45,652.36,2,3.07,1,,,,,,,15,,,
torchinferno,few_shot,23,22,487.05,29.96,517.02,2,3.87,1,,,,,,,23,,,
torchinferno,few_shot,22,23,504.19,30.38,534.56,2,3.74,1,,,,,,,22,,,
torchinferno,few_shot,3,24,825.57,32.33,857.89,2,2.33,1,,,,,,,3,,,
torchinferno,few_shot,13,25,655.41,33.37,688.78,2,2.90,1,,,,,,,13,,,
torchinferno,few_shot,19,26,551.97,35.13,587.11,2,3.41,1,,,,,,,19,,,
torchinferno,few_shot,32,27,331.78,35.70,367.47,2,5.44,1,,,,,,,32,,,
torchinferno,few_shot,20,28,537.21,35.03,572.24,2,3.50,1,,,,,,,20,,,
torchinferno,few_shot,21,29,519.66,35.94,555.60,2,3.60,1,,,,,,,21,,,
torchinferno,few_shot,30,30,365.73,37.76,403.49,2,4.96,1,,,,,,,30,,,
torchinferno,few_shot,33,31,315.68,37.46,353.14,2,5.66,1,,,,,,,33,,,
torchinferno,few_shot,2,32,843.42,42.26,885.69,2,2.26,1,,,,,,,2,,,
torchinferno,few_shot,14,33,639.30,44.12,683.42,2,2.93,1,,,,,,,14,,,
torchinferno,few_shot,34,34,384.77,0.00,395.96,1,2.53,1,,,,,,,34,,,
torchinferno,few_shot,41,35,265.47,0.00,277.53,1,3.60,1,,,,,,,41,,,
torchinferno,few_shot,43,36,231.34,0.00,244.49,1,4.09,1,,,,,,,43,,,
torchinferno,few_shot,42,37,249.02,0.00,262.01,1,3.82,1,,,,,,,42,,,
torchinferno,few_shot,67,38,71.51,0.00,85.36,1,11.72,1,,,,,,,67,,,
