model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-13T17:22:48.846364

Build Times
provider,build_time_s
torchinferno,379.7
vllm,1099.5
sglang,166.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,295.34,164.44,137.85,sglang
ttft_p99_ms,1440.58,523.71,7726.13,vllm
tpot_median_ms,276.37,56.29,73.90,vllm
tpot_p99_ms,350.95,181.55,7206.17,vllm
e2e_median_ms,555.23,216.21,205.71,sglang
e2e_p99_ms,1787.00,645.17,14909.27,vllm
throughput_median_tps,2.71,6.66,5.91,vllm
total_output_tokens,1461,1461,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,472.87,174.14,202.12,vllm
ttft_p99_ms,836.37,409.93,70250.95,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,544.70,198.01,344.50,vllm
e2e_p99_ms,956.91,429.15,70340.49,vllm
throughput_median_tps,1.84,5.05,2.90,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,671.35,167.22,156.66,sglang
ttft_p99_ms,1307.55,349.20,763.58,vllm
tpot_median_ms,241.92,53.75,98.37,vllm
tpot_p99_ms,500.80,185.43,778.21,vllm
e2e_median_ms,873.46,216.65,256.16,vllm
e2e_p99_ms,1480.64,420.95,943.88,vllm
throughput_median_tps,1.54,6.44,5.21,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,696.86,136.88,103.02,sglang
ttft_last_turn_ms,638.98,161.88,191.49,vllm
ttft_growth_ratio,0.92,1.18,1.86,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,378.75,59.12,74.88,vllm
ttft_p99_ms,1222.14,152.96,763.17,vllm
tpot_median_ms,265.32,26.75,58.69,vllm
tpot_p99_ms,294.07,42.71,151.36,vllm
e2e_median_ms,596.72,79.88,143.02,vllm
e2e_p99_ms,1365.28,168.81,809.82,vllm
throughput_median_tps,2.37,15.31,10.20,vllm
total_output_tokens,1477,1456,1501,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,712.19,68.74,67.18,sglang
ttft_p99_ms,2570.65,123.07,103.63,sglang
tpot_median_ms,28.14,14.95,22.26,vllm
tpot_p99_ms,58.46,19.70,26.52,vllm
e2e_median_ms,2019.30,606.51,851.53,vllm
e2e_p99_ms,4096.25,1022.65,1587.77,vllm
throughput_median_tps,16.82,58.78,42.21,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,909.49,0.00,989.56,1,1.01,1
torchinferno,few_shot,1,910.58,134.20,1044.78,2,1.91,1
torchinferno,few_shot,2,1436.70,0.00,1670.26,1,0.60,1
torchinferno,few_shot,3,1438.40,0.00,1665.70,1,0.60,1
torchinferno,few_shot,4,1434.10,0.00,1671.10,1,0.60,1
torchinferno,few_shot,5,1438.08,0.00,1669.56,1,0.60,1
torchinferno,few_shot,6,1430.96,0.00,1669.36,1,0.60,1
torchinferno,few_shot,7,1437.67,0.00,1668.74,1,0.60,1
torchinferno,few_shot,8,1429.69,0.00,1669.91,1,0.60,1
torchinferno,few_shot,9,1438.18,0.00,1674.56,1,0.60,1
torchinferno,few_shot,10,1431.61,0.00,1680.84,1,0.59,1
torchinferno,few_shot,11,1432.35,0.00,1681.29,1,0.59,1
torchinferno,few_shot,12,1433.69,0.00,1679.53,1,0.60,1
torchinferno,few_shot,13,1430.34,0.00,1679.53,1,0.60,1
torchinferno,few_shot,14,1430.82,0.00,1682.95,1,0.59,1
torchinferno,few_shot,15,1433.56,0.00,1684.04,1,0.59,1
torchinferno,few_shot,16,1432.98,0.00,1684.38,1,0.59,1
torchinferno,few_shot,17,1441.52,0.00,1690.63,1,0.59,1
torchinferno,few_shot,18,1437.55,0.00,1689.29,1,0.59,1
torchinferno,few_shot,19,1437.12,0.00,1690.67,1,0.59,1
torchinferno,few_shot,20,1432.10,0.00,1687.71,1,0.59,1
torchinferno,few_shot,21,1430.49,0.00,1691.36,1,0.59,1
torchinferno,few_shot,22,1436.30,0.00,1697.05,1,0.59,1
torchinferno,few_shot,23,1442.96,0.00,1698.63,1,0.59,1
torchinferno,few_shot,24,1436.95,0.00,1697.22,1,0.59,1
torchinferno,few_shot,25,1436.88,0.00,1696.26,1,0.59,1
torchinferno,few_shot,26,1435.67,0.00,1700.87,1,0.59,1
torchinferno,few_shot,27,1439.64,0.00,1701.40,1,0.59,1
torchinferno,few_shot,28,1430.33,0.00,1700.09,1,0.59,1
torchinferno,few_shot,29,1433.34,0.00,1701.41,1,0.59,1
torchinferno,few_shot,30,1436.43,0.00,1709.10,1,0.59,1
torchinferno,few_shot,31,1430.69,322.99,1753.67,2,1.14,1
torchinferno,few_shot,32,1433.09,329.63,1762.73,2,1.13,1
torchinferno,few_shot,33,1437.74,323.31,1761.05,2,1.14,1
torchinferno,few_shot,34,1435.90,323.57,1759.47,2,1.14,1
torchinferno,few_shot,35,1433.38,328.98,1762.36,2,1.13,1
torchinferno,few_shot,36,1436.24,327.95,1764.18,2,1.13,1
torchinferno,few_shot,37,1436.17,330.89,1767.06,2,1.13,1
torchinferno,few_shot,38,1438.03,330.14,1768.16,2,1.13,1
torchinferno,few_shot,39,1436.69,327.81,1764.50,2,1.13,1
torchinferno,few_shot,40,1440.58,329.94,1770.52,2,1.13,1
torchinferno,few_shot,41,1432.38,335.34,1767.72,2,1.13,1
torchinferno,few_shot,42,1436.38,336.56,1772.94,2,1.13,1
torchinferno,few_shot,43,1437.54,331.59,1769.13,2,1.13,1
torchinferno,few_shot,44,1432.42,343.55,1775.97,2,1.13,1
torchinferno,few_shot,45,1434.56,342.09,1776.65,2,1.13,1
torchinferno,few_shot,46,1434.03,339.04,1773.07,2,1.13,1
torchinferno,few_shot,47,1435.36,349.00,1784.36,2,1.12,1
torchinferno,few_shot,48,1434.11,349.92,1784.03,2,1.12,1
torchinferno,few_shot,49,1436.88,340.86,1777.75,2,1.13,1
torchinferno,few_shot,50,1438.82,345.24,1784.05,2,1.12,1
torchinferno,few_shot,51,1441.13,341.69,1782.82,2,1.12,1
torchinferno,few_shot,52,1436.32,349.83,1786.15,2,1.12,1
torchinferno,few_shot,53,1433.05,354.14,1787.19,2,1.12,1
torchinferno,few_shot,54,1438.54,346.51,1785.05,2,1.12,1
torchinferno,few_shot,55,1431.77,356.52,1788.29,2,1.12,1
torchinferno,few_shot,56,1430.41,356.59,1787.00,2,1.12,1
torchinferno,few_shot,57,1431.96,359.73,1791.70,2,1.12,1
torchinferno,few_shot,58,1874.97,0.00,2088.59,1,0.48,1
torchinferno,few_shot,59,199.09,0.00,417.36,1,2.40,1
torchinferno,few_shot,60,186.59,0.00,402.04,1,2.49,1
torchinferno,few_shot,61,201.20,0.00,428.04,1,2.34,1
torchinferno,few_shot,62,193.02,0.00,414.64,1,2.41,1
torchinferno,few_shot,63,180.28,0.00,406.10,1,2.46,1
torchinferno,few_shot,64,183.82,0.00,416.65,1,2.40,1
torchinferno,few_shot,65,183.52,0.00,414.37,1,2.41,1
torchinferno,few_shot,66,205.88,0.00,436.02,1,2.29,1
torchinferno,few_shot,67,210.22,0.00,444.85,1,2.25,1
torchinferno,few_shot,68,212.54,0.00,441.71,1,2.26,1
torchinferno,few_shot,69,890.16,0.00,1126.47,1,0.89,1
torchinferno,few_shot,70,1868.40,0.00,2108.96,1,0.47,1
torchinferno,few_shot,71,208.35,0.00,449.16,1,2.23,1
torchinferno,few_shot,72,195.58,0.00,428.98,1,2.33,1
torchinferno,few_shot,73,182.22,0.00,420.46,1,2.38,1
torchinferno,few_shot,74,201.15,0.00,437.90,1,2.28,1
torchinferno,few_shot,75,180.21,0.00,425.97,1,2.35,1
