model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-20T06:44:45.962263+00:00

Build Times
provider,build_time_s
torchinferno,0.0

few_shot
metric,torchinferno,winner
ttft_median_ms,46.45,
ttft_p99_ms,259.58,
tpot_median_ms,43.36,
tpot_p99_ms,256.58,
e2e_median_ms,75.73,
e2e_p99_ms,305.88,
throughput_median_tps,17.60,
total_output_tokens,1466,
num_requests,1000,
correctness_rate,0.98,

self_consistency
metric,torchinferno,winner
ttft_median_ms,32.47,
ttft_p99_ms,135.04,
tpot_median_ms,0.00,
tpot_p99_ms,0.00,
e2e_median_ms,48.63,
e2e_p99_ms,164.20,
throughput_median_tps,20.56,
total_output_tokens,1000,
num_requests,1000,
correctness_rate,1.00,
unique_final_answers,1,

multi_turn
metric,torchinferno,winner
ttft_median_ms,42.13,
ttft_p99_ms,327.23,
tpot_median_ms,37.75,
tpot_p99_ms,324.90,
e2e_median_ms,69.37,
e2e_p99_ms,370.25,
throughput_median_tps,17.85,
total_output_tokens,1458,
num_requests,1000,
correctness_rate,0.98,
ttft_first_turn_ms,95.61,
ttft_last_turn_ms,51.86,
ttft_growth_ratio,0.54,
ttft_first_turn_median_ms,58.10,
ttft_first_turn_p99_ms,230.35,
ttft_last_turn_median_ms,42.04,
ttft_last_turn_p99_ms,341.88,

tree_of_thought
metric,torchinferno,winner
ttft_median_ms,28.46,
ttft_p99_ms,119.49,
tpot_median_ms,18.94,
tpot_p99_ms,23.00,
e2e_median_ms,41.65,
e2e_p99_ms,131.29,
throughput_median_tps,33.37,
total_output_tokens,1470,
num_requests,992,
correctness_rate,0.97,

long_output
metric,torchinferno,winner
ttft_median_ms,48.61,
ttft_p99_ms,266.85,
tpot_median_ms,14.83,
tpot_p99_ms,26.72,
e2e_median_ms,612.52,
e2e_p99_ms,1218.26,
throughput_median_tps,61.74,
total_output_tokens,36715,
num_requests,1000,
correctness_rate,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx,response_text
torchinferno,few_shot,0,0,27.86,19.11,46.97,2,42.58,1,,,,,,,0,,,,1571
torchinferno,few_shot,1,1,167.16,0.00,181.88,1,5.50,1,,,,,,,1,,,,990
torchinferno,few_shot,2,2,151.54,25.40,176.94,2,11.30,1,,,,,,,2,,,,1348
torchinferno,few_shot,5,3,120.71,0.00,131.05,1,7.63,1,,,,,,,5,,,,8
torchinferno,few_shot,7,4,89.98,0.00,100.96,1,9.91,1,,,,,,,7,,,,30
torchinferno,few_shot,11,5,29.31,0.00,41.64,1,24.01,1,,,,,,,11,,,,923
torchinferno,few_shot,9,6,60.10,0.00,71.90,1,13.91,1,,,,,,,9,,,,613
torchinferno,few_shot,64,7,148.43,0.00,162.04,1,6.17,1,,,,,,,64,,,,50
torchinferno,few_shot,10,8,45.18,0.00,58.26,1,17.16,1,,,,,,,10,,,,777
torchinferno,few_shot,8,9,74.15,0.00,90.13,1,11.10,1,,,,,,,8,,,,198
torchinferno,few_shot,4,10,137.30,0.00,153.13,1,6.53,1,,,,,,,4,,,,254
torchinferno,few_shot,3,11,152.36,21.32,173.69,2,11.51,1,,,,,,,3,,,,2075
torchinferno,few_shot,6,12,105.09,22.50,127.58,2,15.68,1,,,,,,,6,,,,1558
torchinferno,few_shot,12,13,52.22,0.00,62.39,1,16.03,1,,,,,,,12,,,,969
torchinferno,few_shot,74,14,20.61,0.00,31.70,1,31.55,1,,,,,,,74,,,,803
torchinferno,few_shot,71,15,24.72,0.00,36.05,1,27.74,1,,,,,,,71,,,,17
torchinferno,few_shot,65,16,37.63,0.00,49.75,1,20.10,1,,,,,,,65,,,,68
torchinferno,few_shot,69,17,25.77,0.00,38.10,1,26.25,1,,,,,,,69,,,,43
torchinferno,few_shot,68,18,25.86,0.00,39.03,1,25.62,1,,,,,,,68,,,,871
torchinferno,few_shot,67,19,26.58,0.00,39.95,1,25.03,1,,,,,,,67,,,,36
torchinferno,few_shot,66,20,26.71,0.00,41.83,1,23.91,1,,,,,,,66,,,,51
torchinferno,few_shot,72,21,23.40,0.00,40.82,1,24.50,1,,,,,,,72,,,,94
torchinferno,few_shot,73,22,21.66,23.06,44.73,2,44.72,1,,,,,,,73,,,,2340
torchinferno,few_shot,70,23,24.64,23.74,48.38,2,41.34,1,,,,,,,70,,,,3944
