model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-13T23:02:48.153400

Build Times
provider,build_time_s
torchinferno,380.2
vllm,1344.9
sglang,205.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,278.45,167.83,153.31,sglang
ttft_p99_ms,1744.53,293.50,874.92,vllm
tpot_median_ms,96.77,64.31,71.26,vllm
tpot_p99_ms,620.17,149.01,544.51,vllm
e2e_median_ms,378.54,225.92,224.32,sglang
e2e_p99_ms,2359.36,355.42,981.51,vllm
throughput_median_tps,3.45,6.66,5.27,vllm
total_output_tokens,1461,1457,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,300.91,203.64,222.42,vllm
ttft_p99_ms,601.58,470.78,70986.11,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,426.08,225.06,361.97,vllm
e2e_p99_ms,732.50,498.97,71142.15,vllm
throughput_median_tps,2.35,4.44,2.76,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,675.85,183.43,161.82,sglang
ttft_p99_ms,1669.39,368.36,573.17,vllm
tpot_median_ms,70.36,68.86,105.49,vllm
tpot_p99_ms,204.34,208.41,277.03,torchinferno
e2e_median_ms,745.12,242.46,268.96,vllm
e2e_p99_ms,1721.59,453.34,667.20,vllm
throughput_median_tps,1.62,5.81,5.08,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,755.25,131.66,353.35,vllm
ttft_last_turn_ms,1095.49,170.18,171.16,vllm
ttft_growth_ratio,1.45,1.29,0.48,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,244.57,61.39,84.26,vllm
ttft_p99_ms,974.81,181.91,654.64,vllm
tpot_median_ms,35.92,28.36,50.40,vllm
tpot_p99_ms,289.25,49.32,141.54,vllm
e2e_median_ms,278.00,83.29,149.61,vllm
e2e_p99_ms,1205.80,208.67,694.78,vllm
throughput_median_tps,4.54,14.66,9.42,vllm
total_output_tokens,1452,1461,1475,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,331.58,72.50,71.85,sglang
ttft_p99_ms,1316.99,191.64,143.89,sglang
tpot_median_ms,22.01,14.88,21.91,vllm
tpot_p99_ms,42.83,23.03,25.56,vllm
e2e_median_ms,1151.20,613.78,816.66,vllm
e2e_p99_ms,2246.18,1001.78,1536.44,vllm
throughput_median_tps,31.95,59.18,42.93,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1366.75,0.00,1375.49,1,0.73,1
torchinferno,few_shot,1,1371.33,0.00,1380.51,1,0.72,1
torchinferno,few_shot,2,1370.88,0.00,1380.82,1,0.72,1
torchinferno,few_shot,3,1369.75,0.00,1381.13,1,0.72,1
torchinferno,few_shot,4,1368.90,0.00,1384.06,1,0.72,1
torchinferno,few_shot,5,1373.76,0.00,1389.03,1,0.72,1
torchinferno,few_shot,6,1369.38,0.00,1385.18,1,0.72,1
torchinferno,few_shot,7,1370.83,17.75,1388.57,2,1.44,1
torchinferno,few_shot,8,1370.92,20.01,1390.94,2,1.44,1
torchinferno,few_shot,9,1367.42,25.37,1392.79,2,1.44,1
torchinferno,few_shot,10,1373.67,27.26,1400.93,2,1.43,1
torchinferno,few_shot,11,1374.82,25.84,1400.65,2,1.43,1
torchinferno,few_shot,12,1736.54,0.00,2273.57,1,0.44,1
torchinferno,few_shot,13,1735.78,0.00,2286.50,1,0.44,1
torchinferno,few_shot,14,1730.42,0.00,2279.79,1,0.44,1
torchinferno,few_shot,15,1735.47,0.00,2286.12,1,0.44,1
torchinferno,few_shot,16,1737.94,0.00,2288.84,1,0.44,1
torchinferno,few_shot,17,1735.18,0.00,2291.44,1,0.44,1
torchinferno,few_shot,18,1737.15,0.00,2295.03,1,0.44,1
torchinferno,few_shot,19,1732.95,564.83,2297.78,2,0.87,1
torchinferno,few_shot,20,1739.52,0.00,2296.02,1,0.44,1
torchinferno,few_shot,21,1735.40,0.00,2302.98,1,0.43,1
torchinferno,few_shot,22,1739.94,558.96,2298.90,2,0.87,1
torchinferno,few_shot,23,1738.90,569.02,2307.92,2,0.87,1
torchinferno,few_shot,24,1732.08,578.17,2310.25,2,0.87,1
torchinferno,few_shot,25,1734.38,0.00,2304.81,1,0.43,1
torchinferno,few_shot,26,1750.73,564.40,2315.13,2,0.86,1
torchinferno,few_shot,27,1729.01,0.00,2312.02,1,0.43,1
torchinferno,few_shot,28,1744.76,0.00,2314.39,1,0.43,1
torchinferno,few_shot,29,1743.81,573.13,2316.94,2,0.86,1
torchinferno,few_shot,30,1731.33,582.77,2314.10,2,0.86,1
torchinferno,few_shot,31,1730.77,0.00,2316.68,1,0.43,1
torchinferno,few_shot,32,1743.92,580.22,2324.13,2,0.86,1
torchinferno,few_shot,33,1737.23,0.00,2320.24,1,0.43,1
torchinferno,few_shot,34,1740.95,0.00,2330.24,1,0.43,1
torchinferno,few_shot,35,1741.68,589.75,2331.43,2,0.86,1
torchinferno,few_shot,36,1731.13,597.53,2328.66,2,0.86,1
torchinferno,few_shot,37,1737.70,603.75,2341.45,2,0.85,1
torchinferno,few_shot,38,1727.44,0.00,2330.56,1,0.43,1
torchinferno,few_shot,39,1729.54,602.03,2331.57,2,0.86,1
torchinferno,few_shot,40,1736.38,0.00,2345.36,1,0.43,1
torchinferno,few_shot,41,1746.23,594.26,2340.49,2,0.85,1
torchinferno,few_shot,42,1734.95,605.76,2340.72,2,0.85,1
torchinferno,few_shot,43,1744.53,0.00,2342.22,1,0.43,1
torchinferno,few_shot,44,1739.94,607.95,2347.89,2,0.85,1
torchinferno,few_shot,45,1742.46,601.77,2344.23,2,0.85,1
torchinferno,few_shot,46,1748.02,604.21,2352.24,2,0.85,1
torchinferno,few_shot,47,1731.24,0.00,2351.16,1,0.43,1
torchinferno,few_shot,48,2334.63,0.00,2345.11,1,0.43,1
torchinferno,few_shot,49,2274.45,71.67,2346.12,2,0.85,1
torchinferno,few_shot,50,1733.33,0.00,2348.42,1,0.43,1
torchinferno,few_shot,51,1739.47,609.81,2349.28,2,0.85,1
torchinferno,few_shot,52,1745.66,614.33,2360.00,2,0.85,1
torchinferno,few_shot,53,1739.31,625.56,2364.88,2,0.85,1
torchinferno,few_shot,54,1735.18,620.17,2355.35,2,0.85,1
torchinferno,few_shot,55,2304.85,50.34,2355.19,2,0.85,1
torchinferno,few_shot,56,1743.81,0.00,2365.15,1,0.42,1
torchinferno,few_shot,57,2274.54,84.82,2359.36,2,0.85,1
torchinferno,few_shot,58,1733.52,629.42,2362.94,2,0.85,1
torchinferno,few_shot,59,1727.89,637.96,2365.85,2,0.85,1
torchinferno,few_shot,60,1731.37,642.37,2373.73,2,0.84,1
torchinferno,few_shot,61,1736.80,0.00,2380.08,1,0.42,1
torchinferno,few_shot,62,1739.91,0.00,2376.91,1,0.42,1
torchinferno,few_shot,63,1734.24,0.00,2380.87,1,0.42,1
torchinferno,few_shot,64,1156.77,0.00,1168.97,1,0.86,1
torchinferno,few_shot,65,1145.88,0.00,1157.25,1,0.86,1
torchinferno,few_shot,66,1156.04,0.00,1170.19,1,0.85,1
torchinferno,few_shot,67,1139.63,0.00,1156.39,1,0.86,1
torchinferno,few_shot,68,1153.55,0.00,1171.85,1,0.85,1
torchinferno,few_shot,69,1157.38,0.00,1174.69,1,0.85,1
torchinferno,few_shot,70,1148.12,0.00,1167.52,1,0.86,1
torchinferno,few_shot,71,1158.68,0.00,1183.46,1,0.84,1
torchinferno,few_shot,72,1138.69,26.25,1164.94,2,1.72,1
torchinferno,few_shot,73,1151.57,26.39,1177.96,2,1.70,1
torchinferno,few_shot,74,1143.19,29.02,1172.21,2,1.71,1
torchinferno,few_shot,75,1152.36,0.00,1182.45,1,0.85,1
torchinferno,few_shot,76,321.35,0.00,359.46,1,2.78,1
torchinferno,few_shot,77,292.21,0.00,334.67,1,2.99,1
torchinferno,few_shot,78,283.57,0.00,328.17,1,3.05,1
torchinferno,few_shot,79,298.38,0.00,340.48,1,2.94,1
torchinferno,few_shot,80,296.43,0.00,333.33,1,3.00,1
torchinferno,few_shot,81,275.94,0.00,326.25,1,3.07,1
