model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-25T02:03:24.901318

Build Times
provider,build_time_s
torchinferno,89.3
vllm,1204.8
sglang,179.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,298.09,175.30,150.17,sglang
ttft_p99_ms,2066.60,553.65,7002.87,vllm
tpot_median_ms,160.06,65.26,75.99,vllm
tpot_p99_ms,225.24,176.84,7315.55,vllm
e2e_median_ms,395.10,231.86,220.46,sglang
e2e_p99_ms,2265.86,640.22,14300.35,vllm
throughput_median_tps,3.82,6.45,5.32,vllm
total_output_tokens,1461,1459,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,273.74,186.41,216.34,vllm
ttft_p99_ms,2960.73,486.12,69829.71,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,335.50,209.44,366.25,vllm
e2e_p99_ms,3066.25,513.79,69909.75,vllm
throughput_median_tps,2.98,4.77,2.73,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1099.28,188.76,173.71,sglang
ttft_p99_ms,3067.34,387.69,626.10,vllm
tpot_median_ms,116.88,63.62,105.89,vllm
tpot_p99_ms,962.44,262.02,230.90,sglang
e2e_median_ms,1194.34,245.12,285.08,vllm
e2e_p99_ms,3330.06,461.60,744.25,vllm
throughput_median_tps,1.04,5.64,4.85,vllm
total_output_tokens,1450,1460,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1620.13,174.89,118.06,sglang
ttft_last_turn_ms,882.73,174.91,192.29,vllm
ttft_growth_ratio,0.54,1.00,1.63,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,367.50,62.72,81.65,vllm
ttft_p99_ms,1392.68,201.64,608.21,vllm
tpot_median_ms,137.23,27.86,55.74,vllm
tpot_p99_ms,158.76,42.41,208.24,vllm
e2e_median_ms,479.46,84.65,147.84,vllm
e2e_p99_ms,1517.21,232.72,748.32,vllm
throughput_median_tps,2.73,14.77,9.32,vllm
total_output_tokens,1493,1478,1473,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,83.16,79.38,sglang
ttft_p99_ms,,199.01,329.11,vllm
tpot_median_ms,,15.05,22.06,vllm
tpot_p99_ms,,26.15,38.11,vllm
e2e_median_ms,,621.10,830.82,vllm
e2e_p99_ms,,1018.00,1593.78,vllm
throughput_median_tps,,57.66,41.38,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,637.04,837.69,1474.73,2,1.36,1
torchinferno,few_shot,1,2047.41,0.00,2133.61,1,0.47,1
torchinferno,few_shot,2,2064.58,0.00,2153.27,1,0.46,1
torchinferno,few_shot,3,2055.84,0.00,2137.56,1,0.47,1
torchinferno,few_shot,4,2063.23,0.00,2144.40,1,0.47,1
torchinferno,few_shot,5,2051.78,0.00,2145.78,1,0.47,1
torchinferno,few_shot,6,2064.56,0.00,2157.91,1,0.46,1
torchinferno,few_shot,7,2060.11,0.00,2148.61,1,0.47,1
torchinferno,few_shot,8,2048.13,0.00,2146.91,1,0.47,1
torchinferno,few_shot,9,2058.40,0.00,2151.87,1,0.46,1
torchinferno,few_shot,10,2056.38,0.00,2168.27,1,0.46,1
torchinferno,few_shot,11,2077.09,0.00,2171.43,1,0.46,1
torchinferno,few_shot,12,2040.13,0.00,2148.58,1,0.47,1
torchinferno,few_shot,13,2066.80,0.00,2175.29,1,0.46,1
torchinferno,few_shot,14,2061.46,0.00,2177.23,1,0.46,1
torchinferno,few_shot,15,2062.34,0.00,2182.24,1,0.46,1
torchinferno,few_shot,16,2059.32,0.00,2165.39,1,0.46,1
torchinferno,few_shot,17,2047.45,0.00,2156.16,1,0.46,1
torchinferno,few_shot,18,2050.93,0.00,2173.91,1,0.46,1
torchinferno,few_shot,19,2045.84,0.00,2171.43,1,0.46,1
torchinferno,few_shot,20,2056.93,0.00,2184.13,1,0.46,1
torchinferno,few_shot,21,587.73,0.00,713.85,1,1.40,1
torchinferno,few_shot,22,2053.49,0.00,2175.65,1,0.46,1
torchinferno,few_shot,23,2051.41,0.00,2180.84,1,0.46,1
torchinferno,few_shot,24,2065.80,0.00,2195.32,1,0.46,1
torchinferno,few_shot,25,2044.33,0.00,2172.20,1,0.46,1
torchinferno,few_shot,26,2053.40,0.00,2185.58,1,0.46,1
torchinferno,few_shot,27,2072.82,0.00,2201.62,1,0.45,1
torchinferno,few_shot,28,2045.01,0.00,2189.01,1,0.46,1
torchinferno,few_shot,29,2040.10,0.00,2178.59,1,0.46,1
torchinferno,few_shot,30,2042.87,0.00,2182.47,1,0.46,1
torchinferno,few_shot,31,2060.89,0.00,2195.88,1,0.46,1
torchinferno,few_shot,32,2043.13,0.00,2193.99,1,0.46,1
torchinferno,few_shot,33,2050.08,0.00,2203.33,1,0.45,1
torchinferno,few_shot,34,2073.66,168.15,2241.81,2,0.89,1
torchinferno,few_shot,35,2073.31,167.81,2241.12,2,0.89,1
torchinferno,few_shot,36,2062.32,173.36,2235.68,2,0.89,1
torchinferno,few_shot,37,2042.52,178.58,2221.10,2,0.90,1
torchinferno,few_shot,38,2064.54,175.32,2239.87,2,0.89,1
torchinferno,few_shot,39,2031.33,194.51,2225.84,2,0.90,1
torchinferno,few_shot,40,2047.74,197.59,2245.34,2,0.89,1
torchinferno,few_shot,41,2049.56,183.28,2232.85,2,0.90,1
torchinferno,few_shot,42,2044.17,189.18,2233.35,2,0.90,1
torchinferno,few_shot,43,2050.32,188.90,2239.22,2,0.89,1
torchinferno,few_shot,44,2059.42,191.56,2250.98,2,0.89,1
torchinferno,few_shot,45,2067.28,198.59,2265.86,2,0.88,1
torchinferno,few_shot,46,2062.75,189.05,2251.80,2,0.89,1
torchinferno,few_shot,47,2067.17,197.37,2264.54,2,0.88,1
torchinferno,few_shot,48,2049.86,190.58,2240.44,2,0.89,1
torchinferno,few_shot,49,2048.25,210.60,2258.85,2,0.89,1
torchinferno,few_shot,50,2054.80,199.94,2254.74,2,0.89,1
torchinferno,few_shot,51,2052.86,209.49,2262.35,2,0.88,1
torchinferno,few_shot,52,2043.57,212.87,2256.44,2,0.89,1
torchinferno,few_shot,53,2055.15,207.87,2263.02,2,0.88,1
torchinferno,few_shot,54,2065.48,209.07,2274.55,2,0.88,1
torchinferno,few_shot,55,2049.31,215.13,2264.44,2,0.88,1
torchinferno,few_shot,56,2066.60,210.57,2277.17,2,0.88,1
torchinferno,few_shot,57,2060.70,208.31,2269.00,2,0.88,1
torchinferno,few_shot,58,2072.69,207.99,2280.67,2,0.88,1
torchinferno,few_shot,59,2068.15,215.25,2283.39,2,0.88,1
torchinferno,few_shot,60,2034.03,225.24,2259.27,2,0.89,1
torchinferno,few_shot,61,2051.97,222.03,2274.00,2,0.88,1
torchinferno,few_shot,62,2060.22,235.15,2295.37,2,0.87,1
torchinferno,few_shot,63,2041.81,230.32,2272.13,2,0.88,1
torchinferno,few_shot,64,2056.16,224.09,2280.26,2,0.88,1
torchinferno,few_shot,65,170.75,0.00,245.45,1,4.07,1
torchinferno,few_shot,66,211.57,0.00,287.21,1,3.48,1
torchinferno,few_shot,67,199.29,0.00,269.33,1,3.71,1
torchinferno,few_shot,68,221.21,0.00,294.16,1,3.40,1
torchinferno,few_shot,69,164.92,0.00,243.86,1,4.10,1
torchinferno,few_shot,70,225.38,0.00,306.44,1,3.26,1
torchinferno,few_shot,71,224.66,0.00,309.56,1,3.23,1
torchinferno,few_shot,72,180.36,0.00,265.73,1,3.76,1
torchinferno,few_shot,73,188.83,0.00,274.90,1,3.64,1
torchinferno,few_shot,74,195.94,0.00,284.73,1,3.51,1
torchinferno,few_shot,75,167.67,0.00,261.10,1,3.83,1
torchinferno,few_shot,76,204.57,0.00,296.03,1,3.38,1
torchinferno,few_shot,77,180.98,0.00,272.12,1,3.67,1
torchinferno,few_shot,78,172.47,0.00,263.49,1,3.80,1
torchinferno,few_shot,79,197.72,0.00,291.33,1,3.43,1
torchinferno,few_shot,80,186.65,0.00,282.36,1,3.54,1
torchinferno,few_shot,81,226.40,0.00,320.14,1,3.12,1
torchinferno,few_shot,82,218.96,0.00,320.55,1,3.12,1
torchinferno,few_shot,83,181.96,0.00,281.93,1,3.55,1
torchinferno,few_shot,84,214.84,0.00,312.99,1,3.20,1
torchinferno,few_shot,85,222.82,0.00,330.39,1,3.03,1
torchinferno,few_shot,86,188.85,0.00,299.72,1,3.34,1
torchinferno,few_shot,87,211.94,145.40,357.34,2,5.60,1
torchinferno,few_shot,88,171.67,153.20,324.88,2,6.16,1
torchinferno,few_shot,89,190.99,153.81,344.80,2,5.80,1
torchinferno,few_shot,90,202.37,151.13,353.50,2,5.66,1
torchinferno,few_shot,91,212.98,153.32,366.29,2,5.46,1
torchinferno,few_shot,92,214.24,161.46,375.70,2,5.32,1
torchinferno,few_shot,93,196.58,160.83,357.42,2,5.60,1
torchinferno,few_shot,94,177.37,158.47,335.84,2,5.96,1
torchinferno,few_shot,95,198.70,167.35,366.05,2,5.46,1
torchinferno,few_shot,96,197.35,159.61,356.96,2,5.60,1
torchinferno,few_shot,97,171.36,168.95,340.31,2,5.88,1
torchinferno,few_shot,98,225.85,0.00,283.10,1,3.53,1
torchinferno,few_shot,99,419.44,0.00,490.89,1,2.04,1
torchinferno,few_shot,100,412.47,0.00,486.09,1,2.06,1
torchinferno,few_shot,101,217.42,0.00,289.17,1,3.46,1
torchinferno,few_shot,102,401.70,0.00,477.18,1,2.10,1
torchinferno,few_shot,103,396.74,0.00,472.11,1,2.12,1
torchinferno,few_shot,104,444.37,0.00,513.04,1,1.95,1
torchinferno,few_shot,105,440.29,0.00,510.52,1,1.96,1
torchinferno,few_shot,106,402.55,0.00,488.13,1,2.05,1
torchinferno,few_shot,107,218.86,0.00,292.79,1,3.42,1
torchinferno,few_shot,108,214.05,0.00,297.76,1,3.36,1
torchinferno,few_shot,109,425.81,0.00,505.65,1,1.98,1
torchinferno,few_shot,110,416.36,0.00,499.93,1,2.00,1
torchinferno,few_shot,111,432.19,0.00,520.83,1,1.92,1
torchinferno,few_shot,112,239.24,0.00,321.58,1,3.11,1
torchinferno,few_shot,113,195.94,0.00,289.74,1,3.45,1
torchinferno,few_shot,114,386.90,0.00,487.07,1,2.05,1
torchinferno,few_shot,115,232.27,0.00,322.54,1,3.10,1
torchinferno,few_shot,116,399.49,0.00,499.88,1,2.00,1
torchinferno,few_shot,117,204.35,0.00,300.72,1,3.33,1
torchinferno,few_shot,118,379.96,0.00,485.62,1,2.06,1
torchinferno,few_shot,119,207.81,0.00,310.05,1,3.23,1
torchinferno,few_shot,120,394.22,0.00,499.77,1,2.00,1
torchinferno,few_shot,121,408.23,0.00,521.56,1,1.92,1
