model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-08T15:02:36.194336+00:00

Build Times
provider,build_time_s
torchinferno,42.8
vllm,200.2
sglang,184.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,147.82,118.71,134.33,vllm
ttft_p99_ms,809.34,235.01,576.22,vllm
tpot_median_ms,42.45,42.78,77.73,torchinferno
tpot_p99_ms,69.18,164.79,947.46,torchinferno
e2e_median_ms,186.10,152.83,210.21,vllm
e2e_p99_ms,826.58,306.63,1025.91,vllm
throughput_median_tps,6.48,9.15,5.79,vllm
total_output_tokens,1460,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,173.38,123.41,221.32,vllm
ttft_p99_ms,834.88,300.77,69865.65,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,183.92,144.93,371.07,vllm
e2e_p99_ms,971.57,341.70,69999.53,vllm
throughput_median_tps,5.44,6.90,2.69,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,143.08,165.41,vllm
ttft_p99_ms,,405.84,628.47,vllm
tpot_median_ms,,45.45,122.33,vllm
tpot_p99_ms,,306.83,1010.90,vllm
e2e_median_ms,,187.06,283.39,vllm
e2e_p99_ms,,532.43,1054.85,vllm
throughput_median_tps,,7.28,4.49,vllm
total_output_tokens,,1450,1450,
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,131.64,94.93,sglang
ttft_last_turn_ms,,148.34,210.59,vllm
ttft_growth_ratio,,1.13,2.22,vllm
ttft_first_turn_median_ms,,131.76,77.55,sglang
ttft_first_turn_p99_ms,,374.27,204.18,sglang
ttft_last_turn_median_ms,,141.49,205.91,vllm
ttft_last_turn_p99_ms,,410.54,331.21,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,32.52,47.82,vllm
ttft_p99_ms,,50.02,355.06,vllm
tpot_median_ms,,21.72,393.99,vllm
tpot_p99_ms,,32.35,1107.23,vllm
e2e_median_ms,,48.28,406.36,vllm
e2e_p99_ms,,119.35,1122.83,vllm
throughput_median_tps,,25.58,3.56,vllm
total_output_tokens,,1474,1463,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,76.96,73.48,sglang
ttft_p99_ms,,538.38,901.40,vllm
tpot_median_ms,,14.76,22.33,vllm
tpot_p99_ms,,44.82,96.86,vllm
e2e_median_ms,,604.18,953.65,vllm
e2e_p99_ms,,1507.05,2215.85,vllm
throughput_median_tps,,58.34,41.21,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,797.28,0.00,803.26,1,1.24,1,,,,,,,4,,,
torchinferno,few_shot,3,1,821.16,64.87,886.02,2,2.26,1,,,,,,,3,,,
torchinferno,few_shot,11,2,788.37,0.00,799.72,1,1.25,1,,,,,,,11,,,
torchinferno,few_shot,8,3,838.06,0.00,855.91,1,1.17,1,,,,,,,8,,,
torchinferno,few_shot,24,4,556.59,0.00,571.36,1,1.75,1,,,,,,,24,,,
torchinferno,few_shot,10,5,809.34,0.00,825.72,1,1.21,1,,,,,,,10,,,
torchinferno,few_shot,29,6,462.63,0.00,485.92,1,2.06,1,,,,,,,29,,,
torchinferno,few_shot,28,7,484.29,0.00,504.46,1,1.98,1,,,,,,,28,,,
torchinferno,few_shot,26,8,518.71,0.00,540.46,1,1.85,1,,,,,,,26,,,
torchinferno,few_shot,9,9,820.41,0.00,849.66,1,1.18,1,,,,,,,9,,,
torchinferno,few_shot,1,10,1008.83,0.00,1034.74,1,0.97,1,,,,,,,1,,,
torchinferno,few_shot,17,11,677.24,0.00,704.53,1,1.42,1,,,,,,,17,,,
torchinferno,few_shot,13,12,748.86,31.90,780.76,2,2.56,1,,,,,,,13,,,
torchinferno,few_shot,32,13,411.24,32.41,443.65,2,4.51,1,,,,,,,32,,,
torchinferno,few_shot,0,14,1031.92,28.61,1060.53,2,1.89,1,,,,,,,0,,,
torchinferno,few_shot,14,15,728.91,36.46,765.37,2,2.61,1,,,,,,,14,,,
torchinferno,few_shot,5,16,900.44,0.00,941.49,1,1.06,1,,,,,,,5,,,
torchinferno,few_shot,27,17,500.40,38.34,538.74,2,3.71,1,,,,,,,27,,,
torchinferno,few_shot,19,18,637.38,42.80,680.18,2,2.94,1,,,,,,,19,,,
torchinferno,few_shot,16,19,698.44,36.48,734.92,2,2.72,1,,,,,,,16,,,
torchinferno,few_shot,7,20,858.14,0.00,903.39,1,1.11,1,,,,,,,7,,,
torchinferno,few_shot,20,21,628.28,38.53,666.81,2,3.00,1,,,,,,,20,,,
torchinferno,few_shot,21,22,604.40,49.22,653.62,2,3.06,1,,,,,,,21,,,
torchinferno,few_shot,30,23,452.69,44.14,496.83,2,4.03,1,,,,,,,30,,,
torchinferno,few_shot,15,24,708.65,53.82,762.48,2,2.62,1,,,,,,,15,,,
torchinferno,few_shot,2,25,986.77,52.74,1039.51,2,1.92,1,,,,,,,2,,,
torchinferno,few_shot,31,26,433.91,0.00,484.12,1,2.07,1,,,,,,,31,,,
torchinferno,few_shot,25,27,541.78,0.00,590.61,1,1.69,1,,,,,,,25,,,
torchinferno,few_shot,12,28,776.09,0.00,826.58,1,1.21,1,,,,,,,12,,,
torchinferno,few_shot,18,29,662.10,53.86,715.96,2,2.79,1,,,,,,,18,,,
torchinferno,few_shot,23,30,570.88,59.49,630.36,2,3.17,1,,,,,,,23,,,
torchinferno,few_shot,33,31,399.31,55.12,454.43,2,4.40,1,,,,,,,33,,,
torchinferno,few_shot,6,32,884.09,66.45,950.54,2,2.10,1,,,,,,,6,,,
torchinferno,few_shot,22,33,586.83,67.05,653.87,2,3.06,1,,,,,,,22,,,
torchinferno,few_shot,35,34,442.42,0.00,456.33,1,2.19,1,,,,,,,35,,,
torchinferno,few_shot,38,35,395.59,0.00,404.65,1,2.47,1,,,,,,,38,,,
