model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-04T03:02:15.972049+00:00

Build Times
provider,build_time_s
torchinferno,45.5
vllm,188.4
sglang,182.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,177.24,148.12,143.36,sglang
ttft_p99_ms,839.28,260.89,614.05,vllm
tpot_median_ms,48.26,52.01,73.05,torchinferno
tpot_p99_ms,128.77,143.39,166.43,torchinferno
e2e_median_ms,234.95,194.25,218.01,vllm
e2e_p99_ms,879.28,324.32,647.19,vllm
throughput_median_tps,5.70,7.15,5.55,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,152.42,151.05,215.90,vllm
ttft_p99_ms,436.40,458.67,70006.73,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,162.63,258.71,381.10,torchinferno
e2e_p99_ms,463.14,675.94,70197.58,torchinferno
throughput_median_tps,6.15,3.87,2.62,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,344.20,181.54,169.13,sglang
ttft_p99_ms,594.23,427.16,616.81,vllm
tpot_median_ms,59.49,61.56,106.27,torchinferno
tpot_p99_ms,123.00,207.51,266.39,torchinferno
e2e_median_ms,400.40,231.42,270.92,vllm
e2e_p99_ms,656.29,500.29,717.19,vllm
throughput_median_tps,3.45,5.84,4.83,vllm
total_output_tokens,1451,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,279.21,150.08,107.43,sglang
ttft_last_turn_ms,357.53,170.92,205.58,vllm
ttft_growth_ratio,1.28,1.14,1.91,vllm
ttft_first_turn_median_ms,345.67,132.71,90.86,sglang
ttft_first_turn_p99_ms,584.36,312.12,218.01,sglang
ttft_last_turn_median_ms,358.27,164.56,201.49,vllm
ttft_last_turn_p99_ms,417.19,352.03,316.11,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,128.95,64.06,74.17,vllm
ttft_p99_ms,402.99,2076.50,600.32,torchinferno
tpot_median_ms,36.32,30.57,69.26,vllm
tpot_p99_ms,103.47,2024.57,284.84,torchinferno
e2e_median_ms,154.03,87.88,152.52,vllm
e2e_p99_ms,432.62,2122.10,644.93,torchinferno
throughput_median_tps,8.58,13.72,9.53,vllm
total_output_tokens,1484,1493,1474,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,237.70,83.55,74.55,sglang
ttft_p99_ms,614.72,263.80,392.64,vllm
tpot_median_ms,20.65,15.12,22.49,vllm
tpot_p99_ms,37.58,22.66,35.01,vllm
e2e_median_ms,963.45,650.17,855.28,vllm
e2e_p99_ms,1703.15,1027.73,1705.11,vllm
throughput_median_tps,37.44,57.13,40.92,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,12,0,689.03,0.00,695.43,1,1.44,1,,,,,,,12,,,
torchinferno,few_shot,7,1,689.62,0.00,699.28,1,1.43,1,,,,,,,7,,,
torchinferno,few_shot,1,2,691.53,0.00,706.32,1,1.42,1,,,,,,,1,,,
torchinferno,few_shot,8,3,691.69,0.00,704.71,1,1.42,1,,,,,,,8,,,
torchinferno,few_shot,10,4,689.27,0.00,705.88,1,1.42,1,,,,,,,10,,,
torchinferno,few_shot,5,5,689.41,0.00,709.52,1,1.41,1,,,,,,,5,,,
torchinferno,few_shot,4,6,693.16,0.00,711.34,1,1.41,1,,,,,,,4,,,
torchinferno,few_shot,9,7,693.15,0.00,710.52,1,1.41,1,,,,,,,9,,,
torchinferno,few_shot,11,8,692.00,0.00,712.66,1,1.40,1,,,,,,,11,,,
torchinferno,few_shot,6,9,693.97,23.55,717.53,2,2.79,1,,,,,,,6,,,
torchinferno,few_shot,16,10,683.31,26.91,710.22,2,2.82,1,,,,,,,16,,,
torchinferno,few_shot,0,11,693.47,29.36,722.83,2,2.77,1,,,,,,,0,,,
torchinferno,few_shot,14,12,688.48,30.12,718.60,2,2.78,1,,,,,,,14,,,
torchinferno,few_shot,13,13,690.37,29.81,720.19,2,2.78,1,,,,,,,13,,,
torchinferno,few_shot,3,14,691.20,36.09,727.29,2,2.75,1,,,,,,,3,,,
torchinferno,few_shot,2,15,692.11,37.12,729.22,2,2.74,1,,,,,,,2,,,
torchinferno,few_shot,17,16,760.33,0.00,777.15,1,1.29,1,,,,,,,17,,,
torchinferno,few_shot,42,17,751.95,0.00,770.07,1,1.30,1,,,,,,,42,,,
torchinferno,few_shot,48,18,750.85,0.00,769.48,1,1.30,1,,,,,,,48,,,
torchinferno,few_shot,31,19,757.20,0.00,779.83,1,1.28,1,,,,,,,31,,,
torchinferno,few_shot,28,20,760.97,0.00,783.88,1,1.28,1,,,,,,,28,,,
torchinferno,few_shot,43,21,756.73,0.00,779.29,1,1.28,1,,,,,,,43,,,
torchinferno,few_shot,34,22,763.12,0.00,787.91,1,1.27,1,,,,,,,34,,,
torchinferno,few_shot,39,23,762.84,0.00,787.74,1,1.27,1,,,,,,,39,,,
torchinferno,few_shot,46,24,751.23,0.00,783.66,1,1.28,1,,,,,,,46,,,
torchinferno,few_shot,35,25,760.03,0.00,792.26,1,1.26,1,,,,,,,35,,,
torchinferno,few_shot,24,26,765.67,0.00,796.72,1,1.26,1,,,,,,,24,,,
torchinferno,few_shot,19,27,768.79,31.16,799.95,2,2.50,1,,,,,,,19,,,
torchinferno,few_shot,20,28,761.66,39.25,800.92,2,2.50,1,,,,,,,20,,,
torchinferno,few_shot,45,29,752.26,39.47,791.73,2,2.53,1,,,,,,,45,,,
torchinferno,few_shot,40,30,758.44,41.21,799.64,2,2.50,1,,,,,,,40,,,
torchinferno,few_shot,36,31,756.07,45.97,802.04,2,2.49,1,,,,,,,36,,,
torchinferno,few_shot,32,32,761.62,42.68,804.30,2,2.49,1,,,,,,,32,,,
torchinferno,few_shot,44,33,756.70,41.13,797.82,2,2.51,1,,,,,,,44,,,
torchinferno,few_shot,22,34,767.35,42.01,809.36,2,2.47,1,,,,,,,22,,,
torchinferno,few_shot,25,35,759.63,0.00,809.85,1,1.23,1,,,,,,,25,,,
torchinferno,few_shot,15,36,767.22,52.89,820.11,2,2.44,1,,,,,,,15,,,
torchinferno,few_shot,18,37,769.49,45.60,815.08,2,2.45,1,,,,,,,18,,,
torchinferno,few_shot,30,38,759.01,53.96,812.98,2,2.46,1,,,,,,,30,,,
torchinferno,few_shot,38,39,763.90,0.00,811.98,1,1.23,1,,,,,,,38,,,
torchinferno,few_shot,27,40,761.80,54.82,816.62,2,2.45,1,,,,,,,27,,,
torchinferno,few_shot,37,41,756.88,0.00,815.63,1,1.23,1,,,,,,,37,,,
torchinferno,few_shot,26,42,762.76,0.00,820.11,1,1.22,1,,,,,,,26,,,
torchinferno,few_shot,23,43,759.29,63.38,822.67,2,2.43,1,,,,,,,23,,,
torchinferno,few_shot,29,44,759.74,0.00,822.54,1,1.22,1,,,,,,,29,,,
torchinferno,few_shot,41,45,759.18,0.00,820.29,1,1.22,1,,,,,,,41,,,
torchinferno,few_shot,33,46,762.87,62.91,825.78,2,2.42,1,,,,,,,33,,,
torchinferno,few_shot,21,47,767.01,64.39,831.40,2,2.41,1,,,,,,,21,,,
torchinferno,few_shot,58,48,834.04,0.00,850.93,1,1.18,1,,,,,,,58,,,
torchinferno,few_shot,72,49,147.99,0.00,164.70,1,6.07,1,,,,,,,72,,,
torchinferno,few_shot,57,50,843.87,0.00,855.92,1,1.17,1,,,,,,,57,,,
torchinferno,few_shot,74,51,150.10,0.00,167.34,1,5.98,1,,,,,,,74,,,
torchinferno,few_shot,67,52,160.71,0.00,183.00,1,5.46,1,,,,,,,67,,,
torchinferno,few_shot,55,53,841.82,0.00,865.28,1,1.16,1,,,,,,,55,,,
torchinferno,few_shot,73,54,148.59,26.43,175.02,2,11.43,1,,,,,,,73,,,
torchinferno,few_shot,60,55,835.08,0.00,867.07,1,1.15,1,,,,,,,60,,,
torchinferno,few_shot,66,56,160.99,0.00,190.72,1,5.24,1,,,,,,,66,,,
torchinferno,few_shot,56,57,836.70,34.68,871.38,2,2.30,1,,,,,,,56,,,
torchinferno,few_shot,59,58,839.28,35.05,874.32,2,2.29,1,,,,,,,59,,,
torchinferno,few_shot,70,59,157.04,34.03,191.06,2,10.47,1,,,,,,,70,,,
torchinferno,few_shot,50,60,844.12,35.16,879.28,2,2.27,1,,,,,,,50,,,
torchinferno,few_shot,47,61,843.68,0.00,881.46,1,1.13,1,,,,,,,47,,,
torchinferno,few_shot,52,62,842.55,38.30,880.85,2,2.27,1,,,,,,,52,,,
torchinferno,few_shot,65,63,170.23,0.00,206.41,1,4.84,1,,,,,,,65,,,
torchinferno,few_shot,77,64,139.57,45.17,184.74,2,10.83,1,,,,,,,77,,,
torchinferno,few_shot,63,65,835.71,46.63,882.34,2,2.27,1,,,,,,,63,,,
torchinferno,few_shot,69,66,154.56,0.00,202.05,1,4.95,1,,,,,,,69,,,
torchinferno,few_shot,64,67,170.55,0.00,214.85,1,4.65,1,,,,,,,64,,,
torchinferno,few_shot,79,68,142.03,45.22,187.25,2,10.68,1,,,,,,,79,,,
torchinferno,few_shot,53,69,848.34,0.00,891.94,1,1.12,1,,,,,,,53,,,
torchinferno,few_shot,62,70,846.34,44.75,891.09,2,2.24,1,,,,,,,62,,,
torchinferno,few_shot,76,71,148.39,0.00,198.05,1,5.05,1,,,,,,,76,,,
torchinferno,few_shot,68,72,155.68,0.00,213.72,1,4.68,1,,,,,,,68,,,
torchinferno,few_shot,61,73,841.07,54.90,895.97,2,2.23,1,,,,,,,61,,,
torchinferno,few_shot,51,74,840.58,60.31,900.90,2,2.22,1,,,,,,,51,,,
torchinferno,few_shot,54,75,836.32,64.74,901.06,2,2.22,1,,,,,,,54,,,
torchinferno,few_shot,49,76,837.92,66.43,904.35,2,2.21,1,,,,,,,49,,,
torchinferno,few_shot,71,77,152.97,0.00,216.77,1,4.61,1,,,,,,,71,,,
torchinferno,few_shot,75,78,147.20,62.87,210.06,2,9.52,1,,,,,,,75,,,
torchinferno,few_shot,78,79,146.63,59.96,206.59,2,9.68,1,,,,,,,78,,,
torchinferno,few_shot,92,80,151.52,0.00,158.02,1,6.33,1,,,,,,,92,,,
torchinferno,few_shot,82,81,163.72,0.00,179.52,1,5.57,1,,,,,,,82,,,
torchinferno,few_shot,81,82,161.64,0.00,184.03,1,5.43,1,,,,,,,81,,,
torchinferno,few_shot,96,83,144.01,0.00,156.96,1,6.37,1,,,,,,,96,,,
torchinferno,few_shot,109,84,123.33,0.00,140.18,1,7.13,1,,,,,,,109,,,
torchinferno,few_shot,101,85,134.96,0.00,155.25,1,6.44,1,,,,,,,101,,,
torchinferno,few_shot,105,86,128.48,0.00,150.30,1,6.65,1,,,,,,,105,,,
torchinferno,few_shot,106,87,123.18,0.00,149.95,1,6.67,1,,,,,,,106,,,
torchinferno,few_shot,85,88,158.75,0.00,184.88,1,5.41,1,,,,,,,85,,,
torchinferno,few_shot,97,89,135.68,0.00,166.45,1,6.01,1,,,,,,,97,,,
torchinferno,few_shot,86,90,152.24,0.00,184.95,1,5.41,1,,,,,,,86,,,
torchinferno,few_shot,110,91,121.53,0.00,148.84,1,6.72,1,,,,,,,110,,,
torchinferno,few_shot,88,92,150.56,0.00,184.22,1,5.43,1,,,,,,,88,,,
torchinferno,few_shot,94,93,145.29,30.38,175.67,2,11.39,1,,,,,,,94,,,
torchinferno,few_shot,90,94,142.42,0.00,185.25,1,5.40,1,,,,,,,90,,,
torchinferno,few_shot,83,95,158.50,45.26,203.76,2,9.82,1,,,,,,,83,,,
torchinferno,few_shot,91,96,143.53,45.19,188.71,2,10.60,1,,,,,,,91,,,
torchinferno,few_shot,107,97,119.01,47.01,166.02,2,12.05,1,,,,,,,107,,,
torchinferno,few_shot,87,98,149.75,0.00,197.84,1,5.05,1,,,,,,,87,,,
torchinferno,few_shot,84,99,155.96,50.93,206.89,2,9.67,1,,,,,,,84,,,
torchinferno,few_shot,100,100,132.19,0.00,181.67,1,5.50,1,,,,,,,100,,,
torchinferno,few_shot,93,101,143.53,49.59,193.11,2,10.36,1,,,,,,,93,,,
torchinferno,few_shot,108,102,124.14,47.93,172.07,2,11.62,1,,,,,,,108,,,
torchinferno,few_shot,104,103,121.30,58.04,179.34,2,11.15,1,,,,,,,104,,,
torchinferno,few_shot,89,104,152.03,0.00,203.51,1,4.91,1,,,,,,,89,,,
torchinferno,few_shot,103,105,127.60,57.78,185.38,2,10.79,1,,,,,,,103,,,
torchinferno,few_shot,102,106,131.37,0.00,187.69,1,5.33,1,,,,,,,102,,,
torchinferno,few_shot,98,107,136.16,0.00,195.76,1,5.11,1,,,,,,,98,,,
torchinferno,few_shot,80,108,175.93,0.00,231.06,1,4.33,1,,,,,,,80,,,
torchinferno,few_shot,99,109,134.91,64.75,199.66,2,10.02,1,,,,,,,99,,,
torchinferno,few_shot,95,110,136.61,0.00,205.85,1,4.86,1,,,,,,,95,,,
torchinferno,few_shot,111,111,119.61,63.30,182.91,2,10.93,1,,,,,,,111,,,
torchinferno,few_shot,122,112,138.30,0.00,158.44,1,6.31,1,,,,,,,122,,,
torchinferno,few_shot,119,113,147.43,0.00,167.27,1,5.98,1,,,,,,,119,,,
torchinferno,few_shot,127,114,137.24,0.00,156.20,1,6.40,1,,,,,,,127,,,
torchinferno,few_shot,112,115,173.65,0.00,188.30,1,5.31,1,,,,,,,112,,,
torchinferno,few_shot,133,116,132.81,0.00,150.18,1,6.66,1,,,,,,,133,,,
torchinferno,few_shot,136,117,120.62,0.00,147.02,1,6.80,1,,,,,,,136,,,
torchinferno,few_shot,130,118,138.95,0.00,159.19,1,6.28,1,,,,,,,130,,,
torchinferno,few_shot,125,119,149.11,21.70,170.81,2,11.71,1,,,,,,,125,,,
torchinferno,few_shot,134,120,126.25,0.00,157.78,1,6.34,1,,,,,,,134,,,
torchinferno,few_shot,139,121,113.65,38.02,151.67,2,13.19,1,,,,,,,139,,,
torchinferno,few_shot,116,122,160.14,30.30,190.44,2,10.50,1,,,,,,,116,,,
torchinferno,few_shot,141,123,126.55,25.41,151.96,2,13.16,1,,,,,,,141,,,
torchinferno,few_shot,138,124,133.44,0.00,157.81,1,6.34,1,,,,,,,138,,,
torchinferno,few_shot,113,125,157.55,0.00,204.94,1,4.88,1,,,,,,,113,,,
torchinferno,few_shot,137,126,120.88,0.00,163.84,1,6.10,1,,,,,,,137,,,
torchinferno,few_shot,115,127,149.89,0.00,202.27,1,4.94,1,,,,,,,115,,,
torchinferno,few_shot,140,128,111.99,51.16,163.15,2,12.26,1,,,,,,,140,,,
torchinferno,few_shot,142,129,110.46,0.00,161.81,1,6.18,1,,,,,,,142,,,
torchinferno,few_shot,129,130,130.71,0.00,184.62,1,5.42,1,,,,,,,129,,,
torchinferno,few_shot,118,131,153.13,50.04,203.17,2,9.84,1,,,,,,,118,,,
torchinferno,few_shot,124,132,138.70,55.07,193.78,2,10.32,1,,,,,,,124,,,
torchinferno,few_shot,120,133,143.22,60.11,203.33,2,9.84,1,,,,,,,120,,,
torchinferno,few_shot,131,134,125.29,0.00,187.05,1,5.35,1,,,,,,,131,,,
torchinferno,few_shot,135,135,127.65,53.36,181.01,2,11.05,1,,,,,,,135,,,
torchinferno,few_shot,126,136,141.80,55.12,196.92,2,10.16,1,,,,,,,126,,,
torchinferno,few_shot,123,137,148.78,0.00,202.97,1,4.93,1,,,,,,,123,,,
torchinferno,few_shot,121,138,140.33,68.59,208.92,2,9.57,1,,,,,,,121,,,
torchinferno,few_shot,114,139,157.58,68.20,225.78,2,8.86,1,,,,,,,114,,,
torchinferno,few_shot,132,140,136.48,57.67,194.15,2,10.30,1,,,,,,,132,,,
torchinferno,few_shot,128,141,142.07,60.41,202.48,2,9.88,1,,,,,,,128,,,
torchinferno,few_shot,143,142,118.81,60.83,179.64,2,11.13,1,,,,,,,143,,,
torchinferno,few_shot,117,143,147.05,0.00,223.64,1,4.47,1,,,,,,,117,,,
torchinferno,few_shot,156,144,136.09,0.00,158.44,1,6.31,1,,,,,,,156,,,
torchinferno,few_shot,166,145,129.55,0.00,141.90,1,7.05,1,,,,,,,166,,,
torchinferno,few_shot,162,146,139.29,0.00,149.97,1,6.67,1,,,,,,,162,,,
torchinferno,few_shot,169,147,127.48,0.00,141.20,1,7.08,1,,,,,,,169,,,
torchinferno,few_shot,170,148,122.52,0.00,143.42,1,6.97,1,,,,,,,170,,,
torchinferno,few_shot,171,149,115.66,0.00,143.02,1,6.99,1,,,,,,,171,,,
torchinferno,few_shot,153,150,144.43,0.00,175.29,1,5.70,1,,,,,,,153,,,
torchinferno,few_shot,159,151,132.50,0.00,164.95,1,6.06,1,,,,,,,159,,,
torchinferno,few_shot,157,152,149.75,0.00,172.52,1,5.80,1,,,,,,,157,,,
torchinferno,few_shot,163,153,127.68,0.00,162.37,1,6.16,1,,,,,,,163,,,
torchinferno,few_shot,145,154,158.61,0.00,196.67,1,5.08,1,,,,,,,145,,,
torchinferno,few_shot,161,155,138.70,32.71,171.41,2,11.67,1,,,,,,,161,,,
torchinferno,few_shot,165,156,127.12,0.00,166.57,1,6.00,1,,,,,,,165,,,
torchinferno,few_shot,151,157,147.17,45.13,192.30,2,10.40,1,,,,,,,151,,,
torchinferno,few_shot,160,158,138.15,0.00,177.11,1,5.65,1,,,,,,,160,,,
torchinferno,few_shot,154,159,155.60,33.96,189.56,2,10.55,1,,,,,,,154,,,
torchinferno,few_shot,164,160,128.18,44.81,172.99,2,11.56,1,,,,,,,164,,,
torchinferno,few_shot,148,161,161.81,0.00,201.35,1,4.97,1,,,,,,,148,,,
torchinferno,few_shot,146,162,158.00,48.64,206.64,2,9.68,1,,,,,,,146,,,
torchinferno,few_shot,144,163,165.88,46.68,212.57,2,9.41,1,,,,,,,144,,,
torchinferno,few_shot,174,164,118.77,42.73,161.50,2,12.38,1,,,,,,,174,,,
torchinferno,few_shot,152,165,144.12,59.04,203.16,2,9.84,1,,,,,,,152,,,
torchinferno,few_shot,168,166,117.85,59.99,177.84,2,11.25,1,,,,,,,168,,,
torchinferno,few_shot,150,167,154.39,54.68,209.07,2,9.57,1,,,,,,,150,,,
torchinferno,few_shot,158,168,139.93,0.00,198.99,1,5.03,1,,,,,,,158,,,
torchinferno,few_shot,155,169,138.47,66.58,205.05,2,9.75,1,,,,,,,155,,,
torchinferno,few_shot,167,170,129.51,58.41,187.92,2,10.64,1,,,,,,,167,,,
torchinferno,few_shot,172,171,123.38,57.73,181.11,2,11.04,1,,,,,,,172,,,
torchinferno,few_shot,173,172,109.46,71.79,181.25,2,11.03,1,,,,,,,173,,,
torchinferno,few_shot,175,173,112.48,67.82,180.30,2,11.09,1,,,,,,,175,,,
torchinferno,few_shot,149,174,154.23,74.97,229.20,2,8.73,1,,,,,,,149,,,
torchinferno,few_shot,147,175,160.25,88.44,337.12,3,8.90,0,,,,,,,147,,,
torchinferno,few_shot,200,176,264.47,0.00,280.28,1,3.57,1,,,,,,,200,,,
torchinferno,few_shot,183,177,293.30,0.00,310.78,1,3.22,1,,,,,,,183,,,
torchinferno,few_shot,176,178,316.27,0.00,328.28,1,3.05,1,,,,,,,176,,,
torchinferno,few_shot,206,179,262.08,0.00,277.23,1,3.61,1,,,,,,,206,,,
torchinferno,few_shot,179,180,303.01,0.00,325.72,1,3.07,1,,,,,,,179,,,
torchinferno,few_shot,207,181,261.62,0.00,278.46,1,3.59,1,,,,,,,207,,,
torchinferno,few_shot,191,182,280.85,0.00,305.54,1,3.27,1,,,,,,,191,,,
torchinferno,few_shot,189,183,284.22,0.00,311.20,1,3.21,1,,,,,,,189,,,
torchinferno,few_shot,177,184,306.06,30.34,336.40,2,5.95,1,,,,,,,177,,,
torchinferno,few_shot,205,185,266.65,0.00,288.61,1,3.46,1,,,,,,,205,,,
torchinferno,few_shot,196,186,274.55,0.00,303.27,1,3.30,1,,,,,,,196,,,
torchinferno,few_shot,185,187,292.24,0.00,325.35,1,3.07,1,,,,,,,185,,,
torchinferno,few_shot,181,188,300.53,36.13,336.66,2,5.94,1,,,,,,,181,,,
torchinferno,few_shot,186,189,293.10,0.00,327.05,1,3.06,1,,,,,,,186,,,
torchinferno,few_shot,204,190,259.12,40.06,299.17,2,6.69,1,,,,,,,204,,,
torchinferno,few_shot,182,191,299.40,39.81,339.20,2,5.90,1,,,,,,,182,,,
torchinferno,few_shot,187,192,289.68,40.86,330.54,2,6.05,1,,,,,,,187,,,
