model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-10T14:01:41.275285+00:00

Build Times
provider,build_time_s
torchinferno,3.5
vllm,82.9
sglang,102.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,173.99,69.61,63.83,sglang
ttft_p99_ms,432.04,180.56,435.58,vllm
tpot_median_ms,34.54,39.91,89.17,torchinferno
tpot_p99_ms,67.28,99.51,330.53,torchinferno
e2e_median_ms,203.38,100.00,129.86,vllm
e2e_p99_ms,469.10,254.20,464.13,vllm
throughput_median_tps,5.69,13.56,10.05,vllm
total_output_tokens,1454,1452,1455,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,135.92,60.23,103.49,vllm
ttft_p99_ms,1798.92,154.90,56876.10,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,136.06,75.45,186.01,vllm
e2e_p99_ms,2003.86,186.23,56909.48,vllm
throughput_median_tps,7.35,13.25,5.38,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,255.82,72.78,68.25,sglang
ttft_p99_ms,1286.27,121.52,684.03,vllm
tpot_median_ms,39.69,40.87,100.14,torchinferno
tpot_p99_ms,220.92,67.77,241.27,vllm
e2e_median_ms,290.34,99.77,145.25,vllm
e2e_p99_ms,1313.90,174.90,709.90,vllm
throughput_median_tps,4.10,13.27,9.04,vllm
total_output_tokens,1440,1462,1447,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,637.47,73.19,60.01,sglang
ttft_last_turn_ms,275.37,73.94,95.51,vllm
ttft_growth_ratio,0.43,1.01,1.59,torchinferno
ttft_first_turn_median_ms,618.87,71.49,60.84,sglang
ttft_first_turn_p99_ms,1405.52,116.74,90.67,sglang
ttft_last_turn_median_ms,247.00,69.01,66.55,sglang
ttft_last_turn_p99_ms,528.65,121.52,682.08,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,61.72,37.92,38.21,vllm
ttft_p99_ms,442.20,76.03,70.23,sglang
tpot_median_ms,39.68,26.70,131.12,vllm
tpot_p99_ms,229.12,29.72,350.50,vllm
e2e_median_ms,92.21,55.87,114.82,vllm
e2e_p99_ms,460.72,134.98,389.29,vllm
throughput_median_tps,16.16,21.66,11.90,vllm
total_output_tokens,1457,1472,1466,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,217.15,50.28,45.46,sglang
ttft_p99_ms,1192.21,112.27,543.77,vllm
tpot_median_ms,21.69,16.83,25.31,vllm
tpot_p99_ms,47.65,17.82,43.35,vllm
e2e_median_ms,1011.66,640.16,909.17,vllm
e2e_p99_ms,2436.57,1124.66,1700.97,vllm
throughput_median_tps,35.70,55.49,38.68,vllm
total_output_tokens,36715,36715,36691,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,393.63,0.00,404.30,1,2.47,1,,,,,,,1,,,
torchinferno,few_shot,0,1,407.46,125.00,532.46,2,3.76,1,,,,,,,0,,,
torchinferno,few_shot,7,2,495.59,0.00,507.49,1,1.97,1,,,,,,,7,,,
torchinferno,few_shot,5,3,527.25,0.00,539.24,1,1.85,1,,,,,,,5,,,
torchinferno,few_shot,28,4,174.04,0.00,187.22,1,5.34,1,,,,,,,28,,,
torchinferno,few_shot,26,5,203.83,0.00,222.33,1,4.50,1,,,,,,,26,,,
torchinferno,few_shot,12,6,419.36,0.00,438.21,1,2.28,1,,,,,,,12,,,
torchinferno,few_shot,10,7,449.74,0.00,469.10,1,2.13,1,,,,,,,10,,,
torchinferno,few_shot,8,8,477.05,0.00,500.73,1,2.00,1,,,,,,,8,,,
torchinferno,few_shot,25,9,222.45,0.00,244.09,1,4.10,1,,,,,,,25,,,
torchinferno,few_shot,29,10,157.19,0.00,180.29,1,5.55,1,,,,,,,29,,,
torchinferno,few_shot,64,11,181.91,0.00,205.65,1,4.86,1,,,,,,,64,,,
torchinferno,few_shot,31,12,127.34,0.00,151.17,1,6.62,1,,,,,,,31,,,
torchinferno,few_shot,11,13,432.04,0.00,459.80,1,2.17,1,,,,,,,11,,,
torchinferno,few_shot,13,14,405.73,26.42,432.15,2,4.63,1,,,,,,,13,,,
torchinferno,few_shot,32,15,111.12,28.69,139.81,2,14.30,1,,,,,,,32,,,
torchinferno,few_shot,30,16,143.41,28.43,171.84,2,11.64,1,,,,,,,30,,,
torchinferno,few_shot,21,17,279.68,31.45,311.12,2,6.43,1,,,,,,,21,,,
torchinferno,few_shot,9,18,462.14,0.00,495.89,1,2.02,1,,,,,,,9,,,
torchinferno,few_shot,3,19,557.89,30.24,588.13,2,3.40,1,,,,,,,3,,,
torchinferno,few_shot,22,20,267.39,31.87,299.26,2,6.68,1,,,,,,,22,,,
torchinferno,few_shot,2,21,568.90,37.76,606.66,2,3.30,1,,,,,,,2,,,
torchinferno,few_shot,19,22,312.29,35.08,347.37,2,5.76,1,,,,,,,19,,,
torchinferno,few_shot,17,23,341.73,0.00,380.60,1,2.63,1,,,,,,,17,,,
torchinferno,few_shot,16,24,356.48,40.41,396.89,2,5.04,1,,,,,,,16,,,
torchinferno,few_shot,18,25,326.00,40.77,366.78,2,5.45,1,,,,,,,18,,,
torchinferno,few_shot,6,26,510.69,40.41,551.10,2,3.63,1,,,,,,,6,,,
torchinferno,few_shot,27,27,190.61,40.15,230.76,2,8.67,1,,,,,,,27,,,
torchinferno,few_shot,23,28,251.41,43.53,294.94,2,6.78,1,,,,,,,23,,,
torchinferno,few_shot,20,29,294.94,45.41,340.34,2,5.88,1,,,,,,,20,,,
torchinferno,few_shot,15,30,375.23,43.88,419.11,2,4.77,1,,,,,,,15,,,
torchinferno,few_shot,4,31,537.88,0.00,586.24,1,1.71,1,,,,,,,4,,,
torchinferno,few_shot,14,32,387.57,49.51,437.08,2,4.58,1,,,,,,,14,,,
torchinferno,few_shot,24,33,238.95,0.00,289.14,1,3.46,1,,,,,,,24,,,
torchinferno,few_shot,34,34,174.40,0.00,187.80,1,5.32,1,,,,,,,34,,,
torchinferno,few_shot,39,35,98.71,0.00,112.62,1,8.88,1,,,,,,,39,,,
torchinferno,few_shot,35,36,161.49,0.00,174.00,1,5.75,1,,,,,,,35,,,
torchinferno,few_shot,37,37,131.07,0.00,144.83,1,6.90,1,,,,,,,37,,,
torchinferno,few_shot,68,38,77.21,0.00,92.76,1,10.78,1,,,,,,,68,,,
