model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-31T17:23:54.377493

Build Times
provider,build_time_s
torchinferno,4.4

few_shot
metric,torchinferno,winner
ttft_median_ms,662.37,
ttft_p99_ms,8723.64,
tpot_median_ms,56.21,
tpot_p99_ms,1378.93,
e2e_median_ms,708.50,
e2e_p99_ms,10031.51,
throughput_median_tps,1.50,
total_output_tokens,1461,
num_requests,1000,
correctness_rate,0.98,

long_output
metric,torchinferno,winner
ttft_median_ms,1315.39,
ttft_p99_ms,152933.21,
tpot_median_ms,53.52,
tpot_p99_ms,299.79,
e2e_median_ms,4318.88,
e2e_p99_ms,155657.25,
throughput_median_tps,6.17,
total_output_tokens,36715,
num_requests,1000,
correctness_rate,1.00,

multi_turn
metric,torchinferno,winner
ttft_median_ms,1530.39,
ttft_p99_ms,4730.56,
tpot_median_ms,106.45,
tpot_p99_ms,944.74,
e2e_median_ms,1591.01,
e2e_p99_ms,5433.12,
throughput_median_tps,0.71,
total_output_tokens,1450,
num_requests,1000,
correctness_rate,0.98,
ttft_first_turn_ms,1462.56,
ttft_last_turn_ms,2574.39,
ttft_growth_ratio,1.76,

tree_of_thought
metric,torchinferno,winner
ttft_median_ms,1277.04,
ttft_p99_ms,4294.43,
tpot_median_ms,39.04,
tpot_p99_ms,653.50,
e2e_median_ms,1345.47,
e2e_p99_ms,4620.19,
throughput_median_tps,0.99,
total_output_tokens,1474,
num_requests,992,
correctness_rate,0.97,

self_consistency
metric,torchinferno,winner
ttft_median_ms,1634.34,
ttft_p99_ms,2470.13,
tpot_median_ms,0.00,
tpot_p99_ms,0.00,
e2e_median_ms,1851.58,
e2e_p99_ms,2692.43,
throughput_median_tps,0.54,
total_output_tokens,1000,
num_requests,1000,
correctness_rate,1.00,
unique_final_answers,1,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1123.06,0.00,1135.24,1,0.88,1
torchinferno,few_shot,1,1122.21,0.00,1134.89,1,0.88,1
torchinferno,few_shot,2,1118.41,0.00,1137.43,1,0.88,1
torchinferno,few_shot,3,1119.23,0.00,1140.55,1,0.88,1
torchinferno,few_shot,4,1115.12,0.00,1135.03,1,0.88,1
torchinferno,few_shot,5,1120.90,0.00,1143.51,1,0.87,1
torchinferno,few_shot,6,1114.40,0.00,1139.55,1,0.88,1
torchinferno,few_shot,7,1120.62,0.00,1147.81,1,0.87,1
torchinferno,few_shot,8,1125.37,210.64,1336.02,2,1.50,1
torchinferno,few_shot,9,1118.95,219.35,1338.30,2,1.49,1
torchinferno,few_shot,10,1119.91,220.51,1340.42,2,1.49,1
torchinferno,few_shot,11,1121.10,219.80,1340.90,2,1.49,1
torchinferno,few_shot,12,1757.60,0.00,1778.09,1,0.56,1
torchinferno,few_shot,13,1751.19,0.00,1768.15,1,0.57,1
torchinferno,few_shot,14,1754.57,0.00,1781.76,1,0.56,1
torchinferno,few_shot,15,1759.83,0.00,1782.21,1,0.56,1
torchinferno,few_shot,16,1755.58,0.00,1782.49,1,0.56,1
torchinferno,few_shot,17,1748.09,0.00,1776.30,1,0.56,1
torchinferno,few_shot,18,1758.45,0.00,1783.96,1,0.56,1
torchinferno,few_shot,19,1757.42,0.00,1789.70,1,0.56,1
torchinferno,few_shot,20,1756.02,0.00,1792.17,1,0.56,1
torchinferno,few_shot,21,1751.82,0.00,1787.15,1,0.56,1
torchinferno,few_shot,22,1757.84,45.15,1802.99,2,1.11,1
torchinferno,few_shot,23,1761.67,0.00,1802.69,1,0.55,1
torchinferno,few_shot,24,1765.61,41.62,1807.23,2,1.11,1
torchinferno,few_shot,25,1748.97,0.00,1796.78,1,0.56,1
torchinferno,few_shot,26,1758.12,54.32,1812.43,2,1.10,1
torchinferno,few_shot,27,1754.34,52.35,1806.69,2,1.11,1
torchinferno,few_shot,28,1760.09,54.88,1814.97,2,1.10,1
torchinferno,few_shot,29,1769.59,49.01,1818.60,2,1.10,1
torchinferno,few_shot,30,1757.32,51.71,1809.03,2,1.11,1
torchinferno,few_shot,31,1763.94,55.64,1819.58,2,1.10,1
torchinferno,few_shot,32,1748.69,59.76,1808.46,2,1.11,1
torchinferno,few_shot,33,1749.69,58.50,1808.19,2,1.11,1
torchinferno,few_shot,34,1755.81,0.00,1822.55,1,0.55,1
torchinferno,few_shot,35,1757.68,0.00,1816.37,1,0.55,1
torchinferno,few_shot,36,1764.59,0.00,1832.42,1,0.55,1
torchinferno,few_shot,37,1752.06,62.76,1814.81,2,1.10,1
torchinferno,few_shot,38,1752.86,0.00,1817.23,1,0.55,1
torchinferno,few_shot,39,1753.29,72.95,1826.24,2,1.10,1
torchinferno,few_shot,40,1765.61,71.58,1837.19,2,1.09,1
torchinferno,few_shot,41,1758.58,71.18,1829.76,2,1.09,1
torchinferno,few_shot,42,1763.33,77.71,1841.04,2,1.09,1
torchinferno,few_shot,43,1757.25,87.48,1844.73,2,1.08,1
torchinferno,few_shot,44,2312.35,0.00,2328.60,1,0.43,1
torchinferno,few_shot,45,2305.35,0.00,2326.97,1,0.43,1
torchinferno,few_shot,46,1203.28,0.00,1221.38,1,0.82,1
torchinferno,few_shot,47,1194.17,0.00,1215.22,1,0.82,1
torchinferno,few_shot,48,2317.55,0.00,2337.48,1,0.43,1
torchinferno,few_shot,49,1205.11,0.00,1233.75,1,0.81,1
torchinferno,few_shot,50,1197.22,0.00,1226.84,1,0.82,1
torchinferno,few_shot,51,2314.11,0.00,2342.35,1,0.43,1
torchinferno,few_shot,52,1195.34,0.00,1229.92,1,0.81,1
torchinferno,few_shot,53,1202.70,0.00,1235.57,1,0.81,1
torchinferno,few_shot,54,2306.05,0.00,2347.43,1,0.43,1
torchinferno,few_shot,55,1210.06,0.00,1244.06,1,0.80,1
torchinferno,few_shot,56,2309.69,41.95,2351.64,2,0.85,1
torchinferno,few_shot,57,2307.54,47.69,2355.23,2,0.85,1
torchinferno,few_shot,58,2311.86,0.00,2357.92,1,0.42,1
torchinferno,few_shot,59,2310.83,48.30,2359.13,2,0.85,1
torchinferno,few_shot,60,2311.06,48.10,2359.16,2,0.85,1
torchinferno,few_shot,61,2306.41,55.07,2361.48,2,0.85,1
