model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-20T07:02:33.549101+00:00

Build Times
provider,build_time_s
torchinferno,51.8
vllm,294.0
sglang,224.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,139.61,73.32,87.05,vllm
ttft_p99_ms,731.18,157.44,501.39,vllm
tpot_median_ms,31.87,36.47,70.75,torchinferno
tpot_p99_ms,44.15,90.27,812.49,torchinferno
e2e_median_ms,163.85,99.45,147.09,vllm
e2e_p99_ms,748.67,192.99,901.73,vllm
throughput_median_tps,7.07,12.70,9.33,vllm
total_output_tokens,1460,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,57.36,77.87,174.75,torchinferno
ttft_p99_ms,280.74,452.39,71816.35,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,75.68,97.38,246.54,torchinferno
e2e_p99_ms,311.43,452.44,71874.83,torchinferno
throughput_median_tps,13.21,10.27,4.06,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,193.37,74.26,93.75,vllm
ttft_p99_ms,1716.53,157.73,485.92,vllm
tpot_median_ms,35.35,42.63,78.97,torchinferno
tpot_p99_ms,160.11,87.08,912.22,vllm
e2e_median_ms,222.27,103.88,157.04,vllm
e2e_p99_ms,1749.71,232.47,917.36,vllm
throughput_median_tps,5.13,11.85,8.41,vllm
total_output_tokens,1465,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,784.09,82.98,72.24,sglang
ttft_last_turn_ms,198.45,91.21,102.67,vllm
ttft_growth_ratio,0.25,1.10,1.42,torchinferno
ttft_first_turn_median_ms,782.03,67.64,68.24,vllm
ttft_first_turn_p99_ms,1835.86,154.55,117.12,sglang
ttft_last_turn_median_ms,190.02,71.39,99.27,vllm
ttft_last_turn_p99_ms,306.92,159.38,128.82,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.23,36.19,68.27,vllm
ttft_p99_ms,762.31,104.03,646.96,vllm
tpot_median_ms,34.70,23.71,373.70,vllm
tpot_p99_ms,71.79,37.95,1059.99,vllm
e2e_median_ms,73.93,54.80,486.00,vllm
e2e_p99_ms,785.97,141.66,1172.43,vllm
throughput_median_tps,19.83,23.82,2.94,vllm
total_output_tokens,1486,1469,1470,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,184.32,46.07,57.33,vllm
ttft_p99_ms,441.15,64.69,148.57,vllm
tpot_median_ms,18.85,15.46,27.54,vllm
tpot_p99_ms,24.72,17.61,123.30,vllm
e2e_median_ms,827.04,578.45,1055.93,vllm
e2e_p99_ms,1496.90,1045.20,1918.66,vllm
throughput_median_tps,41.55,60.41,35.21,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,847.63,0.00,859.86,1,1.16,1,,,,,,,1,,,
torchinferno,few_shot,0,1,869.94,24.01,893.95,2,2.24,1,,,,,,,0,,,
torchinferno,few_shot,10,2,712.86,0.00,727.88,1,1.37,1,,,,,,,10,,,
torchinferno,few_shot,4,3,857.32,0.00,873.45,1,1.14,1,,,,,,,4,,,
torchinferno,few_shot,26,4,391.75,0.00,406.38,1,2.46,1,,,,,,,26,,,
torchinferno,few_shot,11,5,681.84,0.00,698.73,1,1.43,1,,,,,,,11,,,
torchinferno,few_shot,8,6,763.10,0.00,778.77,1,1.28,1,,,,,,,8,,,
torchinferno,few_shot,9,7,731.18,0.00,748.67,1,1.34,1,,,,,,,9,,,
torchinferno,few_shot,24,8,425.91,0.00,443.28,1,2.26,1,,,,,,,24,,,
torchinferno,few_shot,5,9,827.13,0.00,847.71,1,1.18,1,,,,,,,5,,,
torchinferno,few_shot,28,10,359.19,0.00,377.45,1,2.65,1,,,,,,,28,,,
torchinferno,few_shot,17,11,543.56,0.00,563.32,1,1.78,1,,,,,,,17,,,
torchinferno,few_shot,31,12,308.10,0.00,328.35,1,3.05,1,,,,,,,31,,,
torchinferno,few_shot,7,13,779.83,0.00,801.41,1,1.25,1,,,,,,,7,,,
torchinferno,few_shot,29,14,340.69,0.00,363.12,1,2.75,1,,,,,,,29,,,
torchinferno,few_shot,25,15,409.82,0.00,431.28,1,2.32,1,,,,,,,25,,,
torchinferno,few_shot,18,16,525.18,28.55,553.74,2,3.61,1,,,,,,,18,,,
torchinferno,few_shot,21,17,474.67,29.76,504.44,2,3.96,1,,,,,,,21,,,
torchinferno,few_shot,12,18,666.98,0.00,696.11,1,1.44,1,,,,,,,12,,,
torchinferno,few_shot,23,19,442.05,30.21,472.26,2,4.23,1,,,,,,,23,,,
torchinferno,few_shot,14,20,619.56,31.19,650.74,2,3.07,1,,,,,,,14,,,
torchinferno,few_shot,27,21,375.56,30.78,406.34,2,4.92,1,,,,,,,27,,,
torchinferno,few_shot,22,22,458.97,31.88,490.85,2,4.07,1,,,,,,,22,,,
torchinferno,few_shot,6,23,813.10,31.64,844.73,2,2.37,1,,,,,,,6,,,
torchinferno,few_shot,15,24,588.44,34.54,622.99,2,3.21,1,,,,,,,15,,,
torchinferno,few_shot,33,25,271.35,33.36,304.71,2,6.56,1,,,,,,,33,,,
torchinferno,few_shot,3,26,875.77,35.19,910.97,2,2.20,1,,,,,,,3,,,
torchinferno,few_shot,20,27,491.15,36.17,527.32,2,3.79,1,,,,,,,20,,,
torchinferno,few_shot,2,28,910.23,34.15,944.38,2,2.12,1,,,,,,,2,,,
torchinferno,few_shot,13,29,635.35,37.72,673.07,2,2.97,1,,,,,,,13,,,
torchinferno,few_shot,19,30,510.55,35.48,546.03,2,3.66,1,,,,,,,19,,,
torchinferno,few_shot,16,31,573.42,37.64,611.06,2,3.27,1,,,,,,,16,,,
torchinferno,few_shot,30,32,325.47,38.82,364.29,2,5.49,1,,,,,,,30,,,
torchinferno,few_shot,32,33,289.88,44.05,333.93,2,5.99,1,,,,,,,32,,,
torchinferno,few_shot,37,34,285.96,0.00,299.43,1,3.34,1,,,,,,,37,,,
torchinferno,few_shot,76,35,63.05,0.00,75.41,1,13.26,1,,,,,,,76,,,
torchinferno,few_shot,38,36,271.86,0.00,283.92,1,3.52,1,,,,,,,38,,,
torchinferno,few_shot,48,37,98.99,0.00,111.42,1,8.97,1,,,,,,,48,,,
torchinferno,few_shot,74,38,63.95,0.00,78.18,1,12.79,1,,,,,,,74,,,
