model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-03T11:02:06.466780+00:00

Build Times
provider,build_time_s
torchinferno,48.0
vllm,265.9
sglang,148.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,148.49,142.73,141.08,sglang
ttft_p99_ms,784.08,246.59,578.92,vllm
tpot_median_ms,45.47,52.12,83.16,torchinferno
tpot_p99_ms,99.48,142.66,493.26,torchinferno
e2e_median_ms,187.10,189.74,218.37,torchinferno
e2e_p99_ms,830.88,313.01,643.58,vllm
throughput_median_tps,6.51,7.66,5.76,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,146.02,218.37,217.88,torchinferno
ttft_p99_ms,414.70,420.84,69796.17,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,155.25,244.13,380.29,torchinferno
e2e_p99_ms,422.56,454.40,70009.39,torchinferno
throughput_median_tps,6.44,4.10,2.63,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,296.90,176.85,163.02,sglang
ttft_p99_ms,418.90,386.28,344.76,sglang
tpot_median_ms,59.63,57.64,112.18,vllm
tpot_p99_ms,129.61,265.02,518.70,torchinferno
e2e_median_ms,347.48,231.61,269.39,vllm
e2e_p99_ms,478.09,477.96,715.74,vllm
throughput_median_tps,4.21,5.95,4.94,vllm
total_output_tokens,1446,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,250.26,146.91,107.16,sglang
ttft_last_turn_ms,362.27,162.73,192.20,vllm
ttft_growth_ratio,1.45,1.11,1.79,vllm
ttft_first_turn_median_ms,256.00,141.86,91.30,sglang
ttft_first_turn_p99_ms,415.65,406.67,225.96,sglang
ttft_last_turn_median_ms,365.49,163.57,191.92,vllm
ttft_last_turn_p99_ms,425.79,283.85,289.97,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,128.96,62.67,74.62,vllm
ttft_p99_ms,219.16,2098.87,240.82,torchinferno
tpot_median_ms,40.91,29.95,79.55,vllm
tpot_p99_ms,130.32,1753.73,544.75,torchinferno
e2e_median_ms,155.27,87.00,158.78,vllm
e2e_p99_ms,281.01,2142.85,615.02,torchinferno
throughput_median_tps,8.55,14.03,9.09,vllm
total_output_tokens,1479,1462,1464,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,228.41,79.07,77.40,sglang
ttft_p99_ms,500.65,271.19,420.94,vllm
tpot_median_ms,20.89,15.10,22.61,vllm
tpot_p99_ms,40.24,23.05,35.39,vllm
e2e_median_ms,915.73,627.15,834.14,vllm
e2e_p99_ms,1807.22,1078.40,1677.13,vllm
throughput_median_tps,37.25,57.15,41.41,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,707.47,0.00,710.69,1,1.41,1,,,,,,,4,,,
torchinferno,few_shot,17,1,702.33,0.00,710.48,1,1.41,1,,,,,,,17,,,
torchinferno,few_shot,5,2,705.66,0.00,715.14,1,1.40,1,,,,,,,5,,,
torchinferno,few_shot,1,3,701.49,0.00,718.53,1,1.39,1,,,,,,,1,,,
torchinferno,few_shot,11,4,704.64,0.00,718.71,1,1.39,1,,,,,,,11,,,
torchinferno,few_shot,8,5,707.73,0.00,720.90,1,1.39,1,,,,,,,8,,,
torchinferno,few_shot,10,6,702.00,0.00,722.71,1,1.38,1,,,,,,,10,,,
torchinferno,few_shot,24,7,699.13,0.00,721.11,1,1.39,1,,,,,,,24,,,
torchinferno,few_shot,18,8,697.97,26.31,724.28,2,2.76,1,,,,,,,18,,,
torchinferno,few_shot,9,9,707.06,0.00,727.84,1,1.37,1,,,,,,,9,,,
torchinferno,few_shot,12,10,703.11,0.00,729.41,1,1.37,1,,,,,,,12,,,
torchinferno,few_shot,2,11,702.38,31.46,733.84,2,2.73,1,,,,,,,2,,,
torchinferno,few_shot,15,12,700.40,31.37,731.76,2,2.73,1,,,,,,,15,,,
torchinferno,few_shot,14,13,705.49,27.67,733.16,2,2.73,1,,,,,,,14,,,
torchinferno,few_shot,16,14,704.58,29.40,733.97,2,2.72,1,,,,,,,16,,,
torchinferno,few_shot,22,15,697.51,36.29,733.80,2,2.73,1,,,,,,,22,,,
torchinferno,few_shot,0,16,704.33,36.93,741.26,2,2.70,1,,,,,,,0,,,
torchinferno,few_shot,3,17,707.42,33.55,740.97,2,2.70,1,,,,,,,3,,,
torchinferno,few_shot,6,18,702.13,39.55,741.67,2,2.70,1,,,,,,,6,,,
torchinferno,few_shot,21,19,700.40,38.94,739.34,2,2.71,1,,,,,,,21,,,
torchinferno,few_shot,13,20,703.53,38.98,742.50,2,2.69,1,,,,,,,13,,,
torchinferno,few_shot,19,21,697.29,44.65,741.94,2,2.70,1,,,,,,,19,,,
torchinferno,few_shot,20,22,702.73,41.76,744.49,2,2.69,1,,,,,,,20,,,
torchinferno,few_shot,23,23,697.66,49.16,746.82,2,2.68,1,,,,,,,23,,,
torchinferno,few_shot,29,24,771.37,0.00,786.16,1,1.27,1,,,,,,,29,,,
torchinferno,few_shot,7,25,784.08,0.00,798.22,1,1.25,1,,,,,,,7,,,
torchinferno,few_shot,31,26,770.49,0.00,790.03,1,1.27,1,,,,,,,31,,,
torchinferno,few_shot,26,27,785.19,0.00,798.29,1,1.25,1,,,,,,,26,,,
torchinferno,few_shot,48,28,767.51,0.00,789.95,1,1.27,1,,,,,,,48,,,
torchinferno,few_shot,47,29,775.34,0.00,792.30,1,1.26,1,,,,,,,47,,,
torchinferno,few_shot,41,30,770.84,0.00,795.21,1,1.26,1,,,,,,,41,,,
torchinferno,few_shot,28,31,779.93,0.00,800.38,1,1.25,1,,,,,,,28,,,
torchinferno,few_shot,38,32,775.72,0.00,799.24,1,1.25,1,,,,,,,38,,,
torchinferno,few_shot,30,33,776.72,26.77,803.49,2,2.49,1,,,,,,,30,,,
torchinferno,few_shot,56,34,769.10,28.22,797.32,2,2.51,1,,,,,,,56,,,
torchinferno,few_shot,36,35,776.37,28.42,804.79,2,2.49,1,,,,,,,36,,,
torchinferno,few_shot,44,36,772.65,32.08,804.73,2,2.49,1,,,,,,,44,,,
torchinferno,few_shot,33,37,770.80,39.00,809.80,2,2.47,1,,,,,,,33,,,
torchinferno,few_shot,53,38,766.25,0.00,805.57,1,1.24,1,,,,,,,53,,,
