model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-04T01:02:20.637255+00:00

Build Times
provider,build_time_s
torchinferno,39.5
vllm,280.0
sglang,149.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,158.70,172.91,140.20,sglang
ttft_p99_ms,852.03,314.34,580.30,vllm
tpot_median_ms,45.81,75.41,79.27,torchinferno
tpot_p99_ms,70.87,165.40,181.88,torchinferno
e2e_median_ms,200.90,232.30,217.58,torchinferno
e2e_p99_ms,875.28,385.06,669.99,vllm
throughput_median_tps,5.81,6.15,5.58,vllm
total_output_tokens,1461,1461,1460,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,178.29,233.01,224.02,torchinferno
ttft_p99_ms,486.73,558.98,70319.27,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,189.03,264.20,371.52,torchinferno
e2e_p99_ms,497.29,597.54,70477.72,torchinferno
throughput_median_tps,5.29,3.79,2.69,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,324.24,182.10,161.90,sglang
ttft_p99_ms,550.93,433.85,646.23,vllm
tpot_median_ms,59.76,55.23,103.68,vllm
tpot_p99_ms,119.55,194.94,285.79,torchinferno
e2e_median_ms,381.44,235.85,271.84,vllm
e2e_p99_ms,602.64,481.84,694.91,vllm
throughput_median_tps,3.88,5.79,4.91,vllm
total_output_tokens,1442,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,245.81,159.51,108.85,sglang
ttft_last_turn_ms,358.69,179.11,192.83,vllm
ttft_growth_ratio,1.46,1.12,1.77,vllm
ttft_first_turn_median_ms,194.66,151.92,100.58,sglang
ttft_first_turn_p99_ms,426.94,433.85,228.88,sglang
ttft_last_turn_median_ms,359.86,170.72,188.27,vllm
ttft_last_turn_p99_ms,418.52,337.96,287.90,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,138.54,65.84,73.83,vllm
ttft_p99_ms,411.66,2089.04,564.02,torchinferno
tpot_median_ms,40.64,30.13,61.56,vllm
tpot_p99_ms,116.88,1797.37,150.93,torchinferno
e2e_median_ms,164.22,90.30,141.53,vllm
e2e_p99_ms,438.99,2134.47,626.83,torchinferno
throughput_median_tps,8.35,13.45,10.06,vllm
total_output_tokens,1469,1470,1458,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,237.08,77.01,73.80,sglang
ttft_p99_ms,850.48,245.37,486.07,vllm
tpot_median_ms,21.02,15.30,22.28,vllm
tpot_p99_ms,37.63,24.93,48.03,vllm
e2e_median_ms,958.90,612.60,877.20,vllm
e2e_p99_ms,1745.34,1026.92,1612.57,vllm
throughput_median_tps,35.94,57.52,41.41,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,9,0,705.89,0.00,717.64,1,1.39,1,,,,,,,9,,,
torchinferno,few_shot,10,1,706.77,0.00,718.62,1,1.39,1,,,,,,,10,,,
torchinferno,few_shot,12,2,705.88,0.00,719.53,1,1.39,1,,,,,,,12,,,
torchinferno,few_shot,7,3,709.79,0.00,722.55,1,1.38,1,,,,,,,7,,,
torchinferno,few_shot,11,4,711.49,0.00,722.55,1,1.38,1,,,,,,,11,,,
torchinferno,few_shot,5,5,708.81,0.00,726.08,1,1.38,1,,,,,,,5,,,
torchinferno,few_shot,17,6,708.48,0.00,724.26,1,1.38,1,,,,,,,17,,,
torchinferno,few_shot,4,7,708.40,0.00,729.67,1,1.37,1,,,,,,,4,,,
torchinferno,few_shot,8,8,709.75,0.00,729.38,1,1.37,1,,,,,,,8,,,
torchinferno,few_shot,19,9,708.53,18.93,727.47,2,2.75,1,,,,,,,19,,,
torchinferno,few_shot,18,10,708.53,21.35,729.89,2,2.74,1,,,,,,,18,,,
torchinferno,few_shot,15,11,709.14,22.68,731.82,2,2.73,1,,,,,,,15,,,
torchinferno,few_shot,13,12,705.42,28.96,734.37,2,2.72,1,,,,,,,13,,,
torchinferno,few_shot,2,13,712.58,27.95,740.54,2,2.70,1,,,,,,,2,,,
torchinferno,few_shot,16,14,705.77,31.26,737.04,2,2.71,1,,,,,,,16,,,
torchinferno,few_shot,6,15,711.03,30.18,741.21,2,2.70,1,,,,,,,6,,,
torchinferno,few_shot,3,16,711.17,33.64,744.81,2,2.69,1,,,,,,,3,,,
torchinferno,few_shot,1,17,713.68,0.00,746.83,1,1.34,1,,,,,,,1,,,
torchinferno,few_shot,14,18,710.61,32.93,743.54,2,2.69,1,,,,,,,14,,,
torchinferno,few_shot,0,19,712.24,37.97,750.21,2,2.67,1,,,,,,,0,,,
torchinferno,few_shot,42,20,776.18,0.00,784.67,1,1.27,1,,,,,,,42,,,
torchinferno,few_shot,34,21,772.75,0.00,788.46,1,1.27,1,,,,,,,34,,,
torchinferno,few_shot,38,22,771.44,0.00,790.29,1,1.27,1,,,,,,,38,,,
torchinferno,few_shot,25,23,784.34,0.00,804.58,1,1.24,1,,,,,,,25,,,
torchinferno,few_shot,31,24,776.17,0.00,795.85,1,1.26,1,,,,,,,31,,,
torchinferno,few_shot,24,25,787.71,0.00,808.26,1,1.24,1,,,,,,,24,,,
torchinferno,few_shot,47,26,770.91,0.00,794.97,1,1.26,1,,,,,,,47,,,
torchinferno,few_shot,28,27,778.73,0.00,801.65,1,1.25,1,,,,,,,28,,,
torchinferno,few_shot,48,28,770.74,0.00,796.97,1,1.25,1,,,,,,,48,,,
torchinferno,few_shot,41,29,774.74,0.00,800.72,1,1.25,1,,,,,,,41,,,
torchinferno,few_shot,26,30,777.61,0.00,806.55,1,1.24,1,,,,,,,26,,,
torchinferno,few_shot,50,31,774.12,26.95,801.07,2,2.50,1,,,,,,,50,,,
torchinferno,few_shot,37,32,776.79,0.00,806.76,1,1.24,1,,,,,,,37,,,
torchinferno,few_shot,20,33,783.93,38.72,822.65,2,2.43,1,,,,,,,20,,,
torchinferno,few_shot,43,34,771.22,0.00,808.52,1,1.24,1,,,,,,,43,,,
torchinferno,few_shot,21,35,789.61,35.73,825.34,2,2.42,1,,,,,,,21,,,
torchinferno,few_shot,49,36,774.85,34.86,809.71,2,2.47,1,,,,,,,49,,,
torchinferno,few_shot,35,37,773.09,0.00,814.73,1,1.23,1,,,,,,,35,,,
torchinferno,few_shot,39,38,778.30,0.00,815.49,1,1.23,1,,,,,,,39,,,
