model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-31T17:49:27.147966

Build Times
provider,build_time_s
torchinferno,253.7
vllm,1233.3
sglang,181.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,245.05,154.14,155.31,vllm
ttft_p99_ms,3464.46,282.73,1315.64,vllm
tpot_median_ms,45.87,56.26,80.78,torchinferno
tpot_p99_ms,709.11,141.59,7436.26,vllm
e2e_median_ms,281.92,206.34,229.05,vllm
e2e_p99_ms,3946.86,343.37,8716.54,vllm
throughput_median_tps,4.69,7.04,5.31,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,359.85,210.63,209.70,sglang
ttft_p99_ms,935.60,469.98,72322.06,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,453.91,232.95,351.09,vllm
e2e_p99_ms,1023.92,497.16,72438.55,vllm
throughput_median_tps,2.20,4.29,2.85,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,844.75,176.35,165.26,sglang
ttft_p99_ms,2758.70,356.97,708.22,vllm
tpot_median_ms,78.82,53.84,110.87,vllm
tpot_p99_ms,907.07,200.20,226.20,vllm
e2e_median_ms,1179.70,231.36,268.63,vllm
e2e_p99_ms,3360.09,456.22,892.00,vllm
throughput_median_tps,1.28,6.08,4.97,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,704.80,154.03,123.85,sglang
ttft_last_turn_ms,1736.64,179.83,175.21,sglang
ttft_growth_ratio,2.46,1.17,1.41,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,398.52,60.95,80.49,vllm
ttft_p99_ms,1373.70,112.77,756.01,vllm
tpot_median_ms,30.59,28.02,43.61,vllm
tpot_p99_ms,412.35,97.26,146.00,vllm
e2e_median_ms,439.95,82.24,134.58,vllm
e2e_p99_ms,1484.74,166.68,799.31,vllm
throughput_median_tps,3.04,14.91,9.79,vllm
total_output_tokens,1466,1469,1476,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,421.34,70.95,75.52,vllm
ttft_p99_ms,25248.41,212.05,161.28,sglang
tpot_median_ms,28.52,14.95,23.89,vllm
tpot_p99_ms,61.81,21.32,28.59,vllm
e2e_median_ms,1451.76,623.46,890.57,vllm
e2e_p99_ms,26235.97,1016.57,1731.53,vllm
throughput_median_tps,21.44,58.43,39.39,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1046.44,0.00,1053.38,1,0.95,1
torchinferno,few_shot,1,1046.17,0.00,1055.34,1,0.95,1
torchinferno,few_shot,2,1048.90,0.00,1059.15,1,0.94,1
torchinferno,few_shot,3,1047.10,131.12,1178.22,2,1.70,1
torchinferno,few_shot,4,1045.86,130.86,1176.72,2,1.70,1
torchinferno,few_shot,5,1046.05,133.37,1179.42,2,1.70,1
torchinferno,few_shot,6,1483.75,0.00,1499.50,1,0.67,1
torchinferno,few_shot,7,1473.24,0.00,1490.38,1,0.67,1
torchinferno,few_shot,8,1489.63,0.00,1503.15,1,0.67,1
torchinferno,few_shot,9,1481.31,0.00,1505.57,1,0.66,1
torchinferno,few_shot,10,1478.06,0.00,1501.76,1,0.67,1
torchinferno,few_shot,11,1488.06,0.00,1507.76,1,0.66,1
torchinferno,few_shot,12,1491.32,0.00,1510.77,1,0.66,1
torchinferno,few_shot,13,1482.44,0.00,1508.53,1,0.66,1
torchinferno,few_shot,14,1474.01,0.00,1501.62,1,0.67,1
torchinferno,few_shot,15,1481.09,34.57,1515.67,2,1.32,1
torchinferno,few_shot,16,1477.26,28.60,1505.86,2,1.33,1
torchinferno,few_shot,17,1486.42,30.00,1516.42,2,1.32,1
torchinferno,few_shot,18,1471.33,0.00,1505.55,1,0.66,1
torchinferno,few_shot,19,1482.82,0.00,1523.53,1,0.66,1
torchinferno,few_shot,20,1485.92,34.09,1520.01,2,1.32,1
torchinferno,few_shot,21,1469.18,0.00,1511.32,1,0.66,1
torchinferno,few_shot,22,1483.13,0.00,1524.71,1,0.66,1
torchinferno,few_shot,23,1476.37,0.00,1517.24,1,0.66,1
torchinferno,few_shot,24,1472.49,46.40,1518.89,2,1.32,1
torchinferno,few_shot,25,1471.09,47.75,1518.84,2,1.32,1
torchinferno,few_shot,26,1478.30,52.55,1530.85,2,1.31,1
torchinferno,few_shot,27,1482.73,49.34,1532.07,2,1.31,1
torchinferno,few_shot,28,1482.64,51.81,1534.45,2,1.30,1
torchinferno,few_shot,29,1471.39,54.51,1525.91,2,1.31,1
torchinferno,few_shot,30,1490.25,53.87,1544.12,2,1.30,1
torchinferno,few_shot,31,1483.66,53.97,1537.63,2,1.30,1
torchinferno,few_shot,32,1481.20,61.29,1542.50,2,1.30,1
torchinferno,few_shot,33,1484.34,0.00,1542.26,1,0.65,1
torchinferno,few_shot,34,1486.20,61.64,1547.84,2,1.29,1
torchinferno,few_shot,35,1476.37,0.00,1535.27,1,0.65,1
torchinferno,few_shot,36,1471.26,0.00,1538.40,1,0.65,1
torchinferno,few_shot,37,1474.15,0.00,1544.11,1,0.65,1
torchinferno,few_shot,38,1553.34,0.00,1559.81,1,0.64,1
torchinferno,few_shot,39,1552.35,0.00,1559.80,1,0.64,1
torchinferno,few_shot,40,401.19,0.00,406.46,1,2.46,1
torchinferno,few_shot,41,515.83,0.00,532.04,1,1.88,1
torchinferno,few_shot,42,1554.74,0.00,1572.72,1,0.64,1
torchinferno,few_shot,43,1541.24,36.27,1577.51,2,1.27,1
torchinferno,few_shot,44,1549.82,26.59,1576.41,2,1.27,1
torchinferno,few_shot,45,1562.05,0.00,1579.17,1,0.63,1
