model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-30T05:03:23.434408+00:00

Build Times
provider,build_time_s
torchinferno,697.6
vllm,627.8
sglang,355.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,163.36,141.36,149.29,vllm
ttft_p99_ms,2259.36,240.41,643.99,vllm
tpot_median_ms,45.55,47.19,71.42,torchinferno
tpot_p99_ms,787.99,131.62,322.14,vllm
e2e_median_ms,202.84,179.51,221.04,vllm
e2e_p99_ms,2285.77,299.25,677.52,vllm
throughput_median_tps,5.78,7.95,5.51,vllm
total_output_tokens,1461,1454,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,231.07,192.64,214.27,vllm
ttft_p99_ms,531.33,420.44,72479.64,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,247.58,216.16,347.51,vllm
e2e_p99_ms,569.93,458.24,72570.52,vllm
throughput_median_tps,4.04,4.63,2.88,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,307.65,163.84,173.06,vllm
ttft_p99_ms,586.44,327.06,636.24,vllm
tpot_median_ms,61.13,55.35,108.01,vllm
tpot_p99_ms,399.48,167.53,549.01,vllm
e2e_median_ms,370.93,207.74,275.76,vllm
e2e_p99_ms,665.88,409.32,716.15,vllm
throughput_median_tps,3.47,6.56,4.78,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,419.13,141.25,118.04,sglang
ttft_last_turn_ms,386.14,155.67,208.31,vllm
ttft_growth_ratio,0.92,1.10,1.76,torchinferno
ttft_first_turn_median_ms,399.19,131.43,110.79,sglang
ttft_first_turn_p99_ms,608.08,296.39,193.76,sglang
ttft_last_turn_median_ms,387.74,151.16,201.52,vllm
ttft_last_turn_p99_ms,441.23,318.63,310.19,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,214.03,65.05,82.05,vllm
ttft_p99_ms,450.42,2051.52,796.27,torchinferno
tpot_median_ms,57.04,32.81,60.05,vllm
tpot_p99_ms,97.78,1732.52,162.65,torchinferno
e2e_median_ms,259.17,90.79,154.56,vllm
e2e_p99_ms,491.41,2137.10,829.55,torchinferno
throughput_median_tps,5.58,13.46,9.23,vllm
total_output_tokens,1484,1473,1462,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,284.02,70.29,69.29,sglang
ttft_p99_ms,1312.08,197.50,154.95,sglang
tpot_median_ms,22.88,14.77,22.73,vllm
tpot_p99_ms,63.26,19.69,28.63,vllm
e2e_median_ms,1082.80,612.92,865.36,vllm
e2e_p99_ms,2032.50,1001.25,1730.07,vllm
throughput_median_tps,33.36,59.76,40.93,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,9,0,1305.97,0.00,1758.42,1,0.57,1,,,,,,,9,,,
torchinferno,few_shot,17,1,1305.66,0.00,1761.50,1,0.57,1,,,,,,,17,,,
torchinferno,few_shot,10,2,1309.74,0.00,1764.22,1,0.57,1,,,,,,,10,,,
torchinferno,few_shot,7,3,1307.14,0.00,1766.13,1,0.57,1,,,,,,,7,,,
torchinferno,few_shot,4,4,1311.53,0.00,1769.01,1,0.57,1,,,,,,,4,,,
torchinferno,few_shot,1,5,1310.89,0.00,1771.98,1,0.56,1,,,,,,,1,,,
torchinferno,few_shot,12,6,1312.57,0.00,1769.27,1,0.57,1,,,,,,,12,,,
torchinferno,few_shot,8,7,1310.96,0.00,1771.29,1,0.56,1,,,,,,,8,,,
torchinferno,few_shot,11,8,1311.24,0.00,1772.56,1,0.56,1,,,,,,,11,,,
torchinferno,few_shot,5,9,1309.96,0.00,1776.13,1,0.56,1,,,,,,,5,,,
torchinferno,few_shot,3,10,1312.09,780.34,2092.43,2,0.96,1,,,,,,,3,,,
torchinferno,few_shot,13,11,1305.49,786.29,2091.79,2,0.96,1,,,,,,,13,,,
torchinferno,few_shot,0,12,1310.12,787.98,2098.09,2,0.95,1,,,,,,,0,,,
torchinferno,few_shot,15,13,1310.98,782.71,2093.69,2,0.96,1,,,,,,,15,,,
torchinferno,few_shot,14,14,1308.04,787.99,2096.04,2,0.95,1,,,,,,,14,,,
torchinferno,few_shot,6,15,1308.60,790.80,2099.40,2,0.95,1,,,,,,,6,,,
torchinferno,few_shot,16,16,1311.10,787.41,2098.51,2,0.95,1,,,,,,,16,,,
torchinferno,few_shot,2,17,1310.17,794.41,2104.58,2,0.95,1,,,,,,,2,,,
torchinferno,few_shot,20,18,1306.12,794.74,2100.86,2,0.95,1,,,,,,,20,,,
torchinferno,few_shot,21,19,1308.64,794.94,2103.58,2,0.95,1,,,,,,,21,,,
torchinferno,few_shot,29,20,2179.66,0.00,2189.45,1,0.46,1,,,,,,,29,,,
torchinferno,few_shot,46,21,2174.93,0.00,2187.54,1,0.46,1,,,,,,,46,,,
torchinferno,few_shot,28,22,2175.79,0.00,2192.87,1,0.46,1,,,,,,,28,,,
torchinferno,few_shot,38,23,2177.43,0.00,2192.04,1,0.46,1,,,,,,,38,,,
torchinferno,few_shot,25,24,2184.06,0.00,2201.64,1,0.45,1,,,,,,,25,,,
torchinferno,few_shot,47,25,2172.04,0.00,2193.26,1,0.46,1,,,,,,,47,,,
torchinferno,few_shot,26,26,2183.02,0.00,2203.68,1,0.45,1,,,,,,,26,,,
torchinferno,few_shot,53,27,2171.65,0.00,2194.82,1,0.46,1,,,,,,,53,,,
torchinferno,few_shot,41,28,2173.50,0.00,2198.18,1,0.45,1,,,,,,,41,,,
torchinferno,few_shot,31,29,2178.48,0.00,2201.64,1,0.45,1,,,,,,,31,,,
torchinferno,few_shot,43,30,2173.02,0.00,2200.49,1,0.45,1,,,,,,,43,,,
torchinferno,few_shot,34,31,2175.57,0.00,2203.60,1,0.45,1,,,,,,,34,,,
torchinferno,few_shot,24,32,2185.15,0.00,2212.30,1,0.45,1,,,,,,,24,,,
torchinferno,few_shot,40,33,2176.20,29.05,2205.25,2,0.91,1,,,,,,,40,,,
torchinferno,few_shot,27,34,2179.68,34.85,2214.53,2,0.90,1,,,,,,,27,,,
torchinferno,few_shot,48,35,2173.84,0.00,2206.15,1,0.45,1,,,,,,,48,,,
torchinferno,few_shot,35,36,2178.81,0.00,2209.42,1,0.45,1,,,,,,,35,,,
