model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-23T20:03:48.496816

Build Times
provider,build_time_s
torchinferno,395.5
vllm,1342.9
sglang,194.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,273.91,163.47,141.24,sglang
ttft_p99_ms,1830.07,961.36,7621.73,vllm
tpot_median_ms,155.19,57.74,76.80,vllm
tpot_p99_ms,206.93,143.29,7420.55,vllm
e2e_median_ms,372.74,215.99,212.67,sglang
e2e_p99_ms,2021.56,1009.20,15023.67,vllm
throughput_median_tps,4.01,6.87,5.66,vllm
total_output_tokens,1460,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,280.14,204.62,218.47,vllm
ttft_p99_ms,1810.18,265.00,72082.95,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,309.22,270.91,353.18,vllm
e2e_p99_ms,1887.73,363.21,72213.90,vllm
throughput_median_tps,3.23,3.69,2.83,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,752.68,173.91,162.17,sglang
ttft_p99_ms,2000.29,333.91,594.54,vllm
tpot_median_ms,193.09,56.72,102.35,vllm
tpot_p99_ms,587.44,179.90,238.84,vllm
e2e_median_ms,890.43,224.19,265.42,vllm
e2e_p99_ms,2258.57,422.84,654.49,vllm
throughput_median_tps,1.46,6.24,4.97,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1034.20,147.77,112.88,sglang
ttft_last_turn_ms,728.98,166.56,197.43,vllm
ttft_growth_ratio,0.70,1.13,1.75,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,324.51,58.24,77.28,vllm
ttft_p99_ms,933.01,156.75,659.54,vllm
tpot_median_ms,134.14,26.33,47.28,vllm
tpot_p99_ms,155.56,46.35,158.29,vllm
e2e_median_ms,422.49,78.87,136.16,vllm
e2e_p99_ms,1052.09,170.98,710.81,vllm
throughput_median_tps,3.41,15.66,10.15,vllm
total_output_tokens,1474,1453,1493,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,781.16,72.78,69.62,sglang
ttft_p99_ms,2825.02,206.88,117.79,sglang
tpot_median_ms,15.65,15.03,22.04,vllm
tpot_p99_ms,49.96,21.27,25.93,vllm
e2e_median_ms,1585.68,622.80,836.81,vllm
e2e_p99_ms,4115.76,1018.38,1542.95,vllm
throughput_median_tps,23.27,58.15,42.50,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,902.47,0.00,1159.43,1,0.86,1
torchinferno,few_shot,1,1819.05,0.00,1908.69,1,0.52,1
torchinferno,few_shot,2,1821.21,0.00,1912.92,1,0.52,1
torchinferno,few_shot,3,1823.57,0.00,1914.01,1,0.52,1
torchinferno,few_shot,4,1827.41,0.00,1919.15,1,0.52,1
torchinferno,few_shot,5,1817.02,0.00,1906.65,1,0.52,1
torchinferno,few_shot,6,1822.86,0.00,1922.19,1,0.52,1
torchinferno,few_shot,7,1830.14,0.00,1924.49,1,0.52,1
torchinferno,few_shot,8,1812.05,0.00,1913.58,1,0.52,1
torchinferno,few_shot,9,669.99,0.00,769.07,1,1.30,1
torchinferno,few_shot,10,1823.68,0.00,1926.94,1,0.52,1
torchinferno,few_shot,11,1821.98,0.00,1918.18,1,0.52,1
torchinferno,few_shot,12,1819.05,0.00,1931.96,1,0.52,1
torchinferno,few_shot,13,1819.06,0.00,1918.92,1,0.52,1
torchinferno,few_shot,14,1822.22,0.00,1936.77,1,0.52,1
torchinferno,few_shot,15,1817.24,0.00,1929.43,1,0.52,1
torchinferno,few_shot,16,1816.24,0.00,1932.73,1,0.52,1
torchinferno,few_shot,17,1820.80,0.00,1935.14,1,0.52,1
torchinferno,few_shot,18,1824.54,0.00,1942.90,1,0.51,1
torchinferno,few_shot,19,1821.73,0.00,1939.42,1,0.52,1
torchinferno,few_shot,20,1817.29,0.00,1938.57,1,0.52,1
torchinferno,few_shot,21,1830.07,0.00,1945.45,1,0.51,1
torchinferno,few_shot,22,1837.41,0.00,1948.16,1,0.51,1
torchinferno,few_shot,23,1812.07,0.00,1934.92,1,0.52,1
torchinferno,few_shot,24,1816.64,0.00,1937.76,1,0.52,1
torchinferno,few_shot,25,1808.10,0.00,1935.95,1,0.52,1
torchinferno,few_shot,26,1828.94,0.00,1947.29,1,0.51,1
torchinferno,few_shot,27,1825.88,0.00,1948.22,1,0.51,1
torchinferno,few_shot,28,1828.45,0.00,1949.94,1,0.51,1
torchinferno,few_shot,29,1820.69,0.00,1952.23,1,0.51,1
torchinferno,few_shot,30,1815.16,0.00,1946.62,1,0.51,1
torchinferno,few_shot,31,1815.67,0.00,1948.15,1,0.51,1
torchinferno,few_shot,32,1823.30,0.00,1963.51,1,0.51,1
torchinferno,few_shot,33,1805.81,172.68,1978.50,2,1.01,1
torchinferno,few_shot,34,1821.42,169.09,1990.51,2,1.00,1
torchinferno,few_shot,35,1818.41,177.56,1995.97,2,1.00,1
torchinferno,few_shot,36,1826.63,166.31,1992.94,2,1.00,1
torchinferno,few_shot,37,1819.61,176.63,1996.24,2,1.00,1
torchinferno,few_shot,38,1834.19,171.59,2005.79,2,1.00,1
torchinferno,few_shot,39,1832.52,171.09,2003.61,2,1.00,1
torchinferno,few_shot,40,1828.30,178.33,2006.63,2,1.00,1
torchinferno,few_shot,41,1817.49,176.18,1993.67,2,1.00,1
torchinferno,few_shot,42,1822.40,173.32,1995.72,2,1.00,1
torchinferno,few_shot,43,1818.75,178.81,1997.56,2,1.00,1
torchinferno,few_shot,44,1831.19,179.21,2010.40,2,0.99,1
torchinferno,few_shot,45,1823.85,184.85,2008.69,2,1.00,1
torchinferno,few_shot,46,1829.72,181.19,2010.92,2,0.99,1
torchinferno,few_shot,47,1813.44,191.29,2004.73,2,1.00,1
torchinferno,few_shot,48,1818.19,197.31,2015.50,2,0.99,1
torchinferno,few_shot,49,1821.80,199.62,2021.43,2,0.99,1
torchinferno,few_shot,50,1827.28,192.99,2020.27,2,0.99,1
torchinferno,few_shot,51,1829.11,192.45,2021.56,2,0.99,1
torchinferno,few_shot,52,1809.75,201.90,2011.65,2,0.99,1
torchinferno,few_shot,53,1820.45,189.07,2009.52,2,1.00,1
torchinferno,few_shot,54,1835.82,190.38,2026.20,2,0.99,1
torchinferno,few_shot,55,1820.10,206.88,2026.99,2,0.99,1
torchinferno,few_shot,56,1817.10,200.27,2017.38,2,0.99,1
torchinferno,few_shot,57,1824.47,206.21,2030.68,2,0.98,1
torchinferno,few_shot,58,1817.51,201.10,2018.61,2,0.99,1
torchinferno,few_shot,59,1832.68,199.97,2032.65,2,0.98,1
torchinferno,few_shot,60,1833.64,206.93,2040.57,2,0.98,1
torchinferno,few_shot,61,1813.19,211.55,2024.73,2,0.99,1
torchinferno,few_shot,62,1831.72,205.93,2037.65,2,0.98,1
torchinferno,few_shot,63,1808.36,220.64,2029.00,2,0.99,1
torchinferno,few_shot,64,1814.94,215.33,2030.27,2,0.99,1
torchinferno,few_shot,65,190.06,0.00,253.77,1,3.94,1
torchinferno,few_shot,66,150.26,0.00,215.00,1,4.65,1
torchinferno,few_shot,67,184.64,0.00,247.22,1,4.05,1
torchinferno,few_shot,68,152.19,0.00,218.50,1,4.58,1
torchinferno,few_shot,69,142.98,0.00,209.57,1,4.77,1
torchinferno,few_shot,70,174.38,0.00,248.22,1,4.03,1
torchinferno,few_shot,71,173.26,0.00,249.14,1,4.01,1
torchinferno,few_shot,72,154.83,0.00,230.57,1,4.34,1
torchinferno,few_shot,73,180.24,0.00,256.24,1,3.90,1
torchinferno,few_shot,74,146.23,0.00,227.35,1,4.40,1
torchinferno,few_shot,75,181.80,0.00,264.65,1,3.78,1
torchinferno,few_shot,76,144.85,0.00,225.85,1,4.43,1
torchinferno,few_shot,77,172.40,0.00,254.21,1,3.93,1
torchinferno,few_shot,78,161.43,0.00,247.44,1,4.04,1
torchinferno,few_shot,79,153.51,0.00,238.91,1,4.19,1
torchinferno,few_shot,80,137.09,0.00,219.18,1,4.56,1
torchinferno,few_shot,81,154.31,0.00,242.93,1,4.12,1
torchinferno,few_shot,82,164.13,0.00,249.98,1,4.00,1
torchinferno,few_shot,83,182.45,0.00,275.19,1,3.63,1
torchinferno,few_shot,84,165.76,0.00,261.59,1,3.82,1
torchinferno,few_shot,85,161.38,0.00,258.02,1,3.88,1
torchinferno,few_shot,86,173.14,135.91,309.04,2,6.47,1
torchinferno,few_shot,87,169.38,137.87,307.26,2,6.51,1
torchinferno,few_shot,88,145.14,141.02,286.16,2,6.99,1
torchinferno,few_shot,89,169.76,141.75,311.51,2,6.42,1
torchinferno,few_shot,90,182.44,139.78,322.22,2,6.21,1
torchinferno,few_shot,91,146.55,141.49,288.04,2,6.94,1
torchinferno,few_shot,92,168.92,144.93,313.85,2,6.37,1
torchinferno,few_shot,93,149.71,146.27,295.98,2,6.76,1
torchinferno,few_shot,94,155.79,153.48,309.28,2,6.47,1
torchinferno,few_shot,95,172.74,151.87,324.61,2,6.16,1
torchinferno,few_shot,96,159.56,150.79,310.34,2,6.44,1
torchinferno,few_shot,97,379.09,0.00,446.32,1,2.24,1
torchinferno,few_shot,98,365.56,0.00,431.51,1,2.32,1
torchinferno,few_shot,99,199.24,0.00,263.18,1,3.80,1
torchinferno,few_shot,100,221.70,0.00,282.76,1,3.54,1
torchinferno,few_shot,101,194.60,0.00,263.33,1,3.80,1
torchinferno,few_shot,102,377.76,0.00,442.38,1,2.26,1
torchinferno,few_shot,103,348.38,0.00,427.82,1,2.34,1
torchinferno,few_shot,104,394.53,0.00,467.74,1,2.14,1
