model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T09:03:15.511556+00:00

Build Times
provider,build_time_s
torchinferno,604.7
vllm,642.0
sglang,267.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,160.83,138.18,157.49,vllm
ttft_p99_ms,2246.94,244.26,644.06,vllm
tpot_median_ms,47.17,45.29,71.54,vllm
tpot_p99_ms,825.06,119.07,170.33,vllm
e2e_median_ms,201.91,174.89,223.86,vllm
e2e_p99_ms,2305.69,289.21,790.75,vllm
throughput_median_tps,5.65,8.17,5.41,vllm
total_output_tokens,1461,1448,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,251.72,198.96,219.34,vllm
ttft_p99_ms,620.15,444.44,70522.33,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,269.12,224.62,368.49,vllm
e2e_p99_ms,630.80,470.09,70632.99,vllm
throughput_median_tps,3.72,4.45,2.71,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,312.28,165.85,172.38,vllm
ttft_p99_ms,459.78,308.04,627.13,vllm
tpot_median_ms,58.11,53.79,106.75,vllm
tpot_p99_ms,112.25,219.05,561.13,torchinferno
e2e_median_ms,365.59,210.50,276.93,vllm
e2e_p99_ms,499.90,441.86,740.80,vllm
throughput_median_tps,3.87,6.43,4.77,vllm
total_output_tokens,1458,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,286.50,134.82,123.09,sglang
ttft_last_turn_ms,408.07,146.44,210.16,vllm
ttft_growth_ratio,1.42,1.09,1.71,vllm
ttft_first_turn_median_ms,259.52,144.33,116.76,sglang
ttft_first_turn_p99_ms,452.03,245.24,186.49,sglang
ttft_last_turn_median_ms,410.51,149.05,208.39,vllm
ttft_last_turn_p99_ms,471.48,240.36,302.28,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.79,62.15,86.07,vllm
ttft_p99_ms,504.17,4212.28,525.75,torchinferno
tpot_median_ms,56.98,31.34,39.86,vllm
tpot_p99_ms,89.46,130.50,142.72,torchinferno
e2e_median_ms,235.20,85.55,139.16,vllm
e2e_p99_ms,532.17,4318.90,566.77,torchinferno
throughput_median_tps,6.12,14.16,9.82,vllm
total_output_tokens,1470,1471,1482,sglang
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,314.86,76.75,70.41,sglang
ttft_p99_ms,1303.69,193.00,220.42,vllm
tpot_median_ms,23.24,14.81,22.31,vllm
tpot_p99_ms,65.13,18.93,26.96,vllm
e2e_median_ms,1121.29,619.63,833.42,vllm
e2e_p99_ms,2139.53,1008.87,1607.12,vllm
throughput_median_tps,32.19,58.58,41.90,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_conversation_idx,metadata_turn_idx
torchinferno,few_shot,0,1358.31,0.00,1831.20,1,0.55,1,,
torchinferno,few_shot,1,1350.15,0.00,1825.90,1,0.55,1,,
torchinferno,few_shot,2,1350.25,0.00,1828.95,1,0.55,1,,
torchinferno,few_shot,3,1350.41,0.00,1833.52,1,0.55,1,,
torchinferno,few_shot,4,1358.61,0.00,1838.34,1,0.54,1,,
torchinferno,few_shot,5,1350.83,0.00,1835.89,1,0.54,1,,
torchinferno,few_shot,6,1351.61,0.00,1838.41,1,0.54,1,,
torchinferno,few_shot,7,1349.74,0.00,1840.95,1,0.54,1,,
torchinferno,few_shot,8,1358.05,0.00,1845.43,1,0.54,1,,
torchinferno,few_shot,9,1344.17,0.00,1838.12,1,0.54,1,,
torchinferno,few_shot,10,1349.27,0.00,1843.54,1,0.54,1,,
torchinferno,few_shot,11,1352.12,0.00,1846.52,1,0.54,1,,
torchinferno,few_shot,12,1346.74,814.95,2161.69,2,0.93,1,,
torchinferno,few_shot,13,1352.57,815.35,2167.92,2,0.92,1,,
torchinferno,few_shot,14,1358.68,812.21,2170.89,2,0.92,1,,
torchinferno,few_shot,15,1349.42,816.80,2166.21,2,0.92,1,,
torchinferno,few_shot,16,1350.34,815.59,2165.92,2,0.92,1,,
torchinferno,few_shot,17,1350.93,818.07,2169.00,2,0.92,1,,
torchinferno,few_shot,18,1348.65,823.86,2172.51,2,0.92,1,,
torchinferno,few_shot,19,1352.01,820.74,2172.75,2,0.92,1,,
torchinferno,few_shot,20,1355.76,827.56,2183.32,2,0.92,1,,
torchinferno,few_shot,21,1349.08,825.06,2174.14,2,0.92,1,,
torchinferno,few_shot,22,1353.59,822.98,2176.57,2,0.92,1,,
torchinferno,few_shot,23,1348.47,830.75,2179.22,2,0.92,1,,
torchinferno,few_shot,24,1351.65,828.60,2180.25,2,0.92,1,,
torchinferno,few_shot,25,1360.40,831.65,2192.05,2,0.91,1,,
torchinferno,few_shot,26,2242.01,0.00,2253.61,1,0.44,1,,
torchinferno,few_shot,27,2245.19,0.00,2259.44,1,0.44,1,,
torchinferno,few_shot,28,2238.16,0.00,2260.09,1,0.44,1,,
torchinferno,few_shot,29,2243.30,0.00,2259.91,1,0.44,1,,
torchinferno,few_shot,30,2241.56,0.00,2262.73,1,0.44,1,,
torchinferno,few_shot,31,2239.55,0.00,2263.18,1,0.44,1,,
torchinferno,few_shot,32,2239.07,0.00,2265.06,1,0.44,1,,
torchinferno,few_shot,33,2238.51,0.00,2265.82,1,0.44,1,,
torchinferno,few_shot,34,2241.00,29.81,2270.80,2,0.88,1,,
torchinferno,few_shot,35,2245.30,0.00,2271.66,1,0.44,1,,
torchinferno,few_shot,36,2238.89,0.00,2273.99,1,0.44,1,,
torchinferno,few_shot,37,2244.89,0.00,2277.34,1,0.44,1,,
torchinferno,few_shot,38,2244.47,28.73,2273.20,2,0.88,1,,
torchinferno,few_shot,39,2243.12,35.22,2278.34,2,0.88,1,,
torchinferno,few_shot,40,2243.93,39.36,2283.30,2,0.88,1,,
torchinferno,few_shot,41,2243.71,0.00,2283.99,1,0.44,1,,
torchinferno,few_shot,42,2242.09,38.78,2280.87,2,0.88,1,,
torchinferno,few_shot,43,2237.01,48.27,2285.28,2,0.88,1,,
torchinferno,few_shot,44,2246.94,0.00,2297.77,1,0.44,1,,
torchinferno,few_shot,45,2235.53,0.00,2285.01,1,0.44,1,,
